VC:46e9e7d BD:Jun  9 2016 SN:US4300170200001328
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  12/31/2001 19:03:21.881,    4.18874e+01,    0.00000e+00,    4.18874e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.12841e+04,    0.00000e+00,    7.28621e+02,    0.00000e+00,    4.27983e+01,    0.00000e+00,    7.44467e+02,    0.00000e+00,    1.40554e+02,    0.00000e+00,    1.84255e+01,    0.00000e+00,    2.05187e+01,    0.00000e+00,    1.20521e+01,    0.00000e+00,    1.09137e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:03:22.876,    4.18770e+01,    0.00000e+00,    4.18770e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.13672e+04,    0.00000e+00,    7.28711e+02,    0.00000e+00,    4.27913e+01,    0.00000e+00,    7.44622e+02,    0.00000e+00,    1.40595e+02,    0.00000e+00,    1.84263e+01,    0.00000e+00,    2.05238e+01,    0.00000e+00,    1.20526e+01,    0.00000e+00,    1.09169e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:03:23.872,    4.19442e+01,    0.00000e+00,    4.19442e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.13638e+04,    0.00000e+00,    7.30009e+02,    0.00000e+00,    4.28598e+01,    0.00000e+00,    7.45945e+02,    0.00000e+00,    1.40577e+02,    0.00000e+00,    1.84270e+01,    0.00000e+00,    2.05275e+01,    0.00000e+00,    1.20477e+01,    0.00000e+00,    1.09113e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:03:24.868,    4.19182e+01,    0.00000e+00,    4.19182e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.13340e+04,    0.00000e+00,    7.29891e+02,    0.00000e+00,    4.28319e+01,    0.00000e+00,    7.45802e+02,    0.00000e+00,    1.40610e+02,    0.00000e+00,    1.84277e+01,    0.00000e+00,    2.05323e+01,    0.00000e+00,    1.20487e+01,    0.00000e+00,    1.09222e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:03:25.863,    4.19639e+01,    0.00000e+00,    4.19639e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.13609e+04,    0.00000e+00,    7.30903e+02,    0.00000e+00,    4.28798e+01,    0.00000e+00,    7.46856e+02,    0.00000e+00,    1.40535e+02,    0.00000e+00,    1.84287e+01,    0.00000e+00,    2.05435e+01,    0.00000e+00,    1.20530e+01,    0.00000e+00,    1.09163e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:03:26.858,    4.19452e+01,    0.00000e+00,    4.19452e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.13684e+04,    0.00000e+00,    7.31905e+02,    0.00000e+00,    4.28611e+01,    0.00000e+00,    7.47886e+02,    0.00000e+00,    1.40603e+02,    0.00000e+00,    1.84291e+01,    0.00000e+00,    2.05466e+01,    0.00000e+00,    1.20515e+01,    0.00000e+00,    1.09165e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:03:27.854,    4.19946e+01,    0.00000e+00,    4.19946e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.13882e+04,    0.00000e+00,    7.32783e+02,    0.00000e+00,    4.29124e+01,    0.00000e+00,    7.48799e+02,    0.00000e+00,    1.40555e+02,    0.00000e+00,    1.84300e+01,    0.00000e+00,    2.05508e+01,    0.00000e+00,    1.20496e+01,    0.00000e+00,    1.09196e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:03:28.849,    4.20092e+01,    0.00000e+00,    4.20092e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.13828e+04,    0.00000e+00,    7.33937e+02,    0.00000e+00,    4.29271e+01,    0.00000e+00,    7.49973e+02,    0.00000e+00,    1.40629e+02,    0.00000e+00,    1.84307e+01,    0.00000e+00,    2.05576e+01,    0.00000e+00,    1.20504e+01,    0.00000e+00,    1.09126e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:03:29.844,    4.20681e+01,    0.00000e+00,    4.20681e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.13477e+04,    0.00000e+00,    7.34858e+02,    0.00000e+00,    4.29857e+01,    0.00000e+00,    7.50888e+02,    0.00000e+00,    1.40518e+02,    0.00000e+00,    1.84317e+01,    0.00000e+00,    2.05739e+01,    0.00000e+00,    1.20467e+01,    0.00000e+00,    1.09188e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:03:30.839,    4.20626e+01,    0.00000e+00,    4.20626e+01,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.13131e+04,    0.00000e+00,    7.35694e+02,    0.00000e+00,    4.29786e+01,    0.00000e+00,    7.51715e+02,    0.00000e+00,    1.40613e+02,    0.00000e+00,    1.84320e+01,    0.00000e+00,    2.05674e+01,    0.00000e+00,    1.20442e+01,    0.00000e+00,    1.09160e+01,    0.00000e+00,              3,              0,       1 meters
