TOA5	CR1000	CR1000	93112	CR1000.Std.32.03	CPU:JacksonLaneV2.CR1	20188	Table1	
TIMESTAMP	RECORD	BattV	PTemp_C	GP_CO2Conc	GP_CO2HiConc	GP_Temp		
TS	RN	Volts	Deg C	ppm CO2	ppm CO2	Deg C		
		Smp	Smp	Smp	Smp	Smp		
9/15/2021 14:30	0	12.91	31.51	3893.85	3964.1	28.594		
9/15/2021 15:00	1	12.89	31.47	5194.76	5221.77	29.039		
9/15/2021 15:30	2	12.88	31.02	6332.41	6229.21	29.231		
9/15/2021 16:00	3	12.87	30.46	7899.58	7467.45	29.312		
9/15/2021 16:30	4	12.87	30.4	9349.58	8460.78	29.082		
9/15/2021 17:00	5	12.86	29.85	0	9153.09	28.976		
9/15/2021 17:30	6	12.85	29.32	0	10082.79	29.163		
9/15/2021 18:00	7	12.84	28.89	0	11607.38	29.152		
9/15/2021 18:30	8	12.84	28.53	0	12680.57	29.168		
9/15/2021 19:00	9	12.83	28.14	0	13305.04	29.163		
9/15/2021 19:30	10	12.82	27.66	0	13677.49	29.131		
9/15/2021 20:00	11	12.81	27.15	0	13980	29.064		
9/15/2021 20:30	12	12.81	26.68	0	14229.19	28.983		
9/15/2021 21:00	13	12.8	26.25	0	14245.2	28.895		
9/15/2021 21:30	14	12.79	25.92	0	13915.14	28.811		
9/15/2021 22:00	15	12.78	25.67	0	13941.85	28.728		
9/15/2021 22:30	16	12.78	25.46	0	13359.93	28.64		
9/15/2021 23:00	17	12.78	25.28	0	12594.19	28.567		
9/15/2021 23:30	18	12.78	25.13	0	11581.93	28.506		
9/16/2021 0:00	19	12.77	24.98	0	10646.04	28.447		
9/16/2021 0:30	20	12.76	24.87	0	10082.04	28.389		
9/16/2021 1:00	21	12.77	24.75	0	9448.59	28.335		
9/16/2021 1:30	22	12.76	24.63	9935.98	8822.79	28.294		
9/16/2021 2:00	23	12.76	24.57	9241.82	8391.72	28.263		
9/16/2021 2:30	24	12.76	24.57	9396.83	8490.69	28.243		
9/16/2021 3:00	25	12.76	24.51	9378.12	8478.83	28.211		
9/16/2021 3:30	26	12.76	24.39	9914.81	8810.1	28.167		
9/16/2021 4:00	27	12.75	24.25	9855.03	8774.13	28.119		
9/16/2021 4:30	28	12.74	24.13	0	8881	28.068		
9/16/2021 5:00	29	12.75	24.01	9575.01	8602.54	28.018		
9/16/2021 5:30	30	12.75	23.93	9016.75	8245.2	27.986		
9/16/2021 6:00	31	12.74	23.81	8661.13	8006.76	27.941		
9/16/2021 6:30	32	12.74	23.7	8140.16	7641.95	27.891		
9/16/2021 7:00	33	12.74	23.61	7904.77	7470.97	27.841		
9/16/2021 7:30	34	12.74	23.5	7810.02	7401.05	27.797		
9/16/2021 8:00	35	12.74	23.44	7583.98	7231.71	27.77		
9/16/2021 8:30	36	12.73	23.47	7399.56	7090.91	27.773		
9/16/2021 9:00	37	12.73	23.58	7262.85	6984.97	27.793		
9/16/2021 9:30	38	12.74	23.9	7265.14	6986.77	27.832		
9/16/2021 10:00	39	12.74	24.16	7468.85	7144.1	27.866		
9/16/2021 10:30	40	12.73	24.48	8405.55	7830.11	27.937		
9/16/2021 11:00	41	12.73	24.87	9701.18	8680.48	28.022		
9/16/2021 11:30	42	12.74	25.22	0	9689.23	28.116		
9/16/2021 12:00	43	12.73	25.58	0	10752.61	28.234		
9/16/2021 12:30	44	12.73	25.98	0	11463.53	28.389		
9/16/2021 13:00	45	12.73	26.28	0	12083.84	28.522		
9/16/2021 13:30	46	12.73	26.65	0	12841.11	28.692		
9/16/2021 14:00	47	12.73	26.78	0	13290.63	28.839		
9/16/2021 14:30	48	12.73	27.09	0	13326.34	29.013		
9/16/2021 15:00	49	12.73	27.21	0	13213.3	29.122		
9/16/2021 15:30	50	12.73	27.06	0	13260.46	29.189		
9/16/2021 16:00	51	12.73	26.84	0	13384.07	29.23		
9/16/2021 16:30	52	12.73	26.59	0	13342.8	29.244		
9/16/2021 17:00	53	12.73	26.41	0	13278.22	29.243		
9/16/2021 17:30	54	12.72	26.19	0	13502.03	29.224		
9/16/2021 18:00	55	12.73	25.95	0	13748.36	29.202		
9/16/2021 18:30	56	12.73	25.58	0	13921.82	29.165		
9/16/2021 19:00	57	12.72	25.13	0	13437.35	29.055		
9/16/2021 19:30	58	12.72	24.63	0	12902.92	28.935		
9/16/2021 20:00	59	12.73	24.25	0	11877.23	28.792		
9/16/2021 20:30	60	12.72	23.99	0	11055.48	28.671		
9/16/2021 21:00	61	12.72	23.81	0	10385.42	28.591		
9/16/2021 21:30	62	12.72	23.75	0	10101.7	28.518		
9/16/2021 22:00	63	12.72	23.67	0	9828.66	28.445		
9/16/2021 22:30	64	12.72	23.55	0	9626.15	28.35		
9/16/2021 23:00	65	12.72	23.41	0	9410.87	28.275		
9/16/2021 23:30	66	12.72	23.32	0	9336.32	28.215		
9/17/2021 0:00	67	12.72	23.24	0	9018.09	28.149		
9/17/2021 0:30	68	12.72	23.15	9875.66	8786.56	28.089		
9/17/2021 1:00	69	12.71	23.1	9585.18	8608.86	28.032		
9/17/2021 1:30	70	12.71	23.07	9351.96	8462.22	27.981		
9/17/2021 2:00	71	12.72	23.01	9224.62	8380.65	27.943		
9/17/2021 2:30	72	12.72	22.98	9077.56	8285.12	27.9		
9/17/2021 3:00	73	12.71	22.95	8934.79	8191	27.864		
9/17/2021 3:30	74	12.71	22.9	8742	8061.73	27.825		
9/17/2021 4:00	75	12.71	22.87	8613.9	7974.46	27.779		
9/17/2021 4:30	76	12.71	22.81	8430.31	7847.42	27.733		
9/17/2021 5:00	77	12.71	22.75	8301.66	7757.04	27.685		
9/17/2021 5:30	78	12.71	22.7	8180.9	7671.15	27.655		
9/17/2021 6:00	79	12.71	22.67	8111.97	7621.67	27.619		
9/17/2021 6:30	80	12.71	22.64	8027.61	7560.68	27.595		
9/17/2021 7:00	81	12.71	22.61	7993.88	7536.15	27.559		
9/17/2021 7:30	82	12.7	22.59	7886.93	7457.85	27.529		
9/17/2021 8:00	83	12.7	22.59	7813.95	7403.96	27.523		
9/17/2021 8:30	84	12.71	22.61	7803.08	7395.92	27.529		
9/17/2021 9:00	85	12.71	22.7	7849.51	7430.26	27.555		
9/17/2021 9:30	86	12.69	22.81	7866.46	7442.77	27.597		
9/17/2021 10:00	87	12.69	22.92	7907.81	7473.19	27.624		
9/17/2021 10:30	88	12.71	23.04	7996.97	7538.39	27.658		
9/17/2021 11:00	89	12.7	23.18	8082.13	7600.15	27.697		
9/17/2021 11:30	90	12.7	23.35	8190.82	7678.24	27.754		
9/17/2021 12:00	91	12.69	23.47	8319.22	7769.43	27.817		
9/17/2021 12:30	92	12.69	23.72	8360.75	7798.69	27.92		
9/17/2021 13:00	93	12.7	23.93	8448.11	7859.84	27.997		
9/17/2021 13:30	94	12.7	24.07	8754.94	8070.48	28.06		
9/17/2021 14:00	95	12.69	24.22	9292.23	8424.08	28.154		
9/17/2021 14:30	96	12.69	24.22	9957.39	8835.6	28.244		
9/17/2021 15:00	97	12.7	24.36	0	9192.18	28.328		
9/17/2021 15:30	98	12.7	24.51	0	9598.05	28.459		
9/17/2021 16:00	99	12.69	24.63	0	9837.25	28.538		
9/17/2021 16:30	100	12.69	24.72	0	10082.15	28.595		
9/17/2021 17:00	101	12.7	24.72	0	10326.27	28.615		
9/17/2021 17:30	102	12.7	24.66	0	10698.61	28.613		
9/17/2021 18:00	103	12.69	24.57	0	11148.99	28.615		
9/17/2021 18:30	104	12.69	24.45	0	11708.15	28.598		
9/17/2021 19:00	105	12.69	24.22	0	12191.26	28.559		
9/17/2021 19:30	106	12.69	23.96	0	12236.89	28.488		
9/17/2021 20:00	107	12.69	23.67	0	12150.19	28.38		
9/17/2021 20:30	108	12.69	23.41	0	11780.42	28.264		
9/17/2021 21:00	109	12.69	23.15	0	10645.42	28.133		
