"TOA5","DK_SW","CR1000","93111","CR1000.Std.32.03","CPU:JacksonLaneV2.CR1","20188","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","GP_CO2Conc","GP_CO2HiConc","GP_Temp"
"TS","RN","Volts","Deg C","ppm CO2","ppm CO2","Deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2021-05-20 18:00:00",919,12.82,24.81,7421.98,7118.67,27.089
"2021-05-20 18:30:00",920,12.81,24.33,6592.45,6458.98,27.063
"2021-05-20 19:00:00",921,12.8,23.75,5819.87,5800.13,26.814
"2021-05-20 19:30:00",922,12.8,23.18,5693.94,5688.9,26.521
"2021-05-20 20:00:00",923,12.81,22.53,5455.63,5475.06,26.202
"2021-05-20 20:30:00",924,12.8,21.92,5445.93,5466.49,25.891
"2021-05-20 21:00:00",925,12.8,21.26,5611.3,5615.85,25.602
"2021-05-20 21:30:00",926,12.8,20.58,6165.81,6102.23,25.325
"2021-05-20 22:00:00",927,12.8,20.02,6024.12,5980.38,25.041
"2021-05-20 22:30:00",928,12.8,19.39,6326.37,6239.56,24.792
"2021-05-20 23:00:00",929,12.78,18.66,6559.98,6435.58,24.521
"2021-05-20 23:30:00",930,12.78,18.05,6720.49,6568.13,24.266
"2021-05-21 00:00:00",931,12.78,17.49,6889.41,6705.63,24.053
"2021-05-21 00:30:00",932,12.78,17.01,7014.38,6806.14,23.856
"2021-05-21 01:00:00",933,12.78,16.59,7101.65,6875.81,23.651
"2021-05-21 01:30:00",934,12.77,16.12,7234.86,6980.91,23.467
"2021-05-21 02:00:00",935,12.78,15.65,7312.14,7041.48,23.288
"2021-05-21 02:30:00",936,12.78,15.21,7462.35,7157.69,23.112
"2021-05-21 03:00:00",937,12.78,14.8,7658.42,7306.93,22.929
"2021-05-21 03:30:00",938,12.76,14.4,7946.67,7521.27,22.772
"2021-05-21 04:00:00",939,12.76,14.09,8246.89,7738.37,22.631
"2021-05-21 04:30:00",940,12.75,13.8,8470.14,7895.93,22.486
"2021-05-21 05:00:00",941,12.77,13.56,8614.07,7995.87,22.354
"2021-05-21 05:30:00",942,12.76,13.28,8638.43,8013.02,22.218
"2021-05-21 06:00:00",943,12.76,13.05,8698.41,8054.45,22.083
"2021-05-21 06:30:00",944,12.76,12.84,8698.36,8054.82,21.967
"2021-05-21 07:00:00",945,12.76,12.74,8694.17,8052.32,21.858
"2021-05-21 07:30:00",946,12.76,12.81,8724.56,8073.27,21.781
"2021-05-21 08:00:00",947,12.75,13.14,8741.62,8085.04,21.733
"2021-05-21 08:30:00",948,12.75,13.68,8872.83,8173.59,21.706
"2021-05-21 09:00:00",949,12.75,14.4,8974.14,8241.06,21.715
"2021-05-21 09:30:00",950,12.75,15.31,8982.75,8246.42,21.807
"2021-05-21 10:00:00",951,12.75,16.76,8948.71,8222.97,22.04
"2021-05-21 10:30:00",952,12.75,18.25,8980.27,8242.95,22.294
"2021-05-21 11:00:00",953,12.75,19.65,8933.09,8210.34,22.656
"2021-05-21 11:30:00",954,12.75,22.19,9062.9,8293.66,23.281
"2021-05-21 12:00:00",955,12.75,25.43,9341.63,8470.46,24.069
"2021-05-21 12:30:00",956,12.75,27.34,9747.32,8718.85,24.978
"2021-05-21 13:00:00",957,12.75,26.78,-0,8966.18,25.928
"2021-05-21 13:30:00",958,12.76,25.92,-0,9227.5,26.635
"2021-05-21 14:00:00",959,12.76,25.7,-0,9484.66,27.144
"2021-05-21 14:30:00",960,12.77,25.76,-0,9698.58,27.552
"2021-05-21 15:00:00",961,12.76,25.79,-0,9890.48,27.858
"2021-05-21 15:30:00",962,12.76,25.92,-0,9849.15,28.009
"2021-05-21 16:00:00",963,12.77,26.04,-0,9553.49,28.026
"2021-05-21 16:30:00",964,12.77,25.95,-0,9281.14,28.022
"2021-05-21 17:00:00",965,12.77,25.79,-0,9030.27,27.975
"2021-05-21 17:30:00",966,12.77,25.67,9946.47,8825.25,27.888
"2021-05-21 18:00:00",967,12.77,25.46,9676.59,8663.67,27.772
"2021-05-21 18:30:00",968,12.77,25.16,9523.67,8570.27,27.633
"2021-05-21 19:00:00",969,12.77,24.81,9421.58,8507.24,27.487
"2021-05-21 19:30:00",970,12.77,24.39,9324.83,8447.06,27.296
"2021-05-21 20:00:00",971,12.77,23.87,8722.76,8054.45,27.075
"2021-05-21 20:30:00",972,12.77,23.29,8778.49,8092.79,26.798
"2021-05-21 21:00:00",973,12.77,22.61,8692.25,8035.65,26.507
"2021-05-21 21:30:00",974,12.76,21.95,8531.43,7926.94,26.186
"2021-05-21 22:00:00",975,12.76,21.34,8375.04,7819.41,25.864
"2021-05-21 22:30:00",976,12.77,20.8,7433.99,7130.93,25.563
"2021-05-21 23:00:00",977,12.77,20.4,6973.83,6771.35,25.317
"2021-05-21 23:30:00",978,12.76,20.05,6775.03,6611.42,25.09
"2021-05-22 00:00:00",979,12.76,19.76,6818.79,6647.27,24.878
"2021-05-22 00:30:00",980,12.76,19.44,6878.09,6695.5,24.688
"2021-05-22 01:00:00",981,12.76,19.18,6941.65,6746.92,24.498
"2021-05-22 01:30:00",982,12.75,18.92,7071.07,6850.41,24.324
"2021-05-22 02:00:00",983,12.75,18.58,7119.58,6889.11,24.151
"2021-05-22 02:30:00",984,12.75,18.28,7222.28,6970.1,23.992
"2021-05-22 03:00:00",985,12.76,17.97,7356.72,7074.94,23.841
"2021-05-22 03:30:00",986,12.75,17.64,7558.47,7229.73,23.694
"2021-05-22 04:00:00",987,12.75,17.34,7632.01,7285.67,23.547
"2021-05-22 04:30:00",988,12.75,17.06,7723.52,7354.64,23.41
"2021-05-22 05:00:00",989,12.75,16.81,7846.32,7446.18,23.283
"2021-05-22 05:30:00",990,12.75,16.54,7982.99,7546.81,23.157
"2021-05-22 06:00:00",991,12.74,16.32,8098.75,7631.12,23.033
"2021-05-22 06:30:00",992,12.74,16.12,8212.35,7712.9,22.931
"2021-05-22 07:00:00",993,12.75,16.07,8198.33,7703.11,22.857
"2021-05-22 07:30:00",994,12.74,16.27,8199.11,7703.79,22.809
"2021-05-22 08:00:00",995,12.74,16.66,8162.32,7677.47,22.799
"2021-05-22 08:30:00",996,12.74,17.21,8112.62,7641.65,22.84
"2021-05-22 09:00:00",997,12.74,17.95,8086.96,7622.85,22.943
"2021-05-22 09:30:00",998,12.74,18.92,8124.41,7649.36,23.117
"2021-05-22 10:00:00",999,12.74,20.37,8167.37,7679.42,23.403
"2021-05-22 10:30:00",1000,12.73,21.81,8275.79,7755.64,23.758
"2021-05-22 11:00:00",1001,12.73,23.04,8425.82,7859.96,24.145
"2021-05-22 11:30:00",1002,12.75,24.33,8608.29,7984.56,24.623
"2021-05-22 12:00:00",1003,12.74,26.19,8768.1,8091.06,25.216
"2021-05-22 12:30:00",1004,12.74,27.53,8976.04,8227.14,25.879
"2021-05-22 13:00:00",1005,12.74,27.91,9282.27,8422.59,26.636
"2021-05-22 13:30:00",1006,12.74,28.14,9782.66,8729.94,27.308
"2021-05-22 14:00:00",1007,12.75,28.4,-0,8886.8,27.782
"2021-05-22 14:30:00",1008,12.75,28.53,-0,9038.11,28.189
"2021-05-22 15:00:00",1009,12.75,28.85,-0,9135.71,28.578
"2021-05-22 15:30:00",1010,12.75,29.25,-0,9229.31,28.882
"2021-05-22 16:00:00",1011,12.76,29.48,-0,9386.52,29.1
"2021-05-22 16:30:00",1012,12.76,29.45,-0,9450.58,29.208
"2021-05-22 17:00:00",1013,12.76,29.25,-0,9638.85,29.231
"2021-05-22 17:30:00",1014,12.76,28.85,-0,9767.15,29.167
"2021-05-22 18:00:00",1015,12.76,28.43,-0,9837.74,29.097
"2021-05-22 18:30:00",1016,12.76,28.01,-0,9731.65,29.004
"2021-05-22 19:00:00",1017,12.76,27.63,-0,9652,28.903
"2021-05-22 19:30:00",1018,12.76,27.21,-0,9546.51,28.782
"2021-05-22 20:00:00",1019,12.75,26.81,-0,9499,28.62
"2021-05-22 20:30:00",1020,12.76,26.31,-0,9479.04,28.436
"2021-05-22 21:00:00",1021,12.76,25.79,-0,9367.69,28.216
"2021-05-22 21:30:00",1022,12.75,25.37,-0,9087.69,27.991
"2021-05-22 22:00:00",1023,12.75,24.98,9602.7,8618.51,27.762
"2021-05-22 22:30:00",1024,12.76,24.63,9224.88,8382.47,27.565
"2021-05-22 23:00:00",1025,12.76,24.36,8406.07,7836.64,27.386
"2021-05-22 23:30:00",1026,12.75,24.13,8015.43,7559.98,27.234
"2021-05-23 00:00:00",1027,12.75,23.93,7797.75,7401.24,27.09
"2021-05-23 00:30:00",1028,12.75,23.78,8166.17,7668.92,26.956
"2021-05-23 01:00:00",1029,12.75,23.64,8157.43,7663.02,26.834
"2021-05-23 01:30:00",1030,12.75,23.38,7440.21,7133.43,26.677
"2021-05-23 02:00:00",1031,12.75,23.04,6829.6,6653.52,26.503
"2021-05-23 02:30:00",1032,12.75,22.73,6485.63,6371.39,26.319
"2021-05-23 03:00:00",1033,12.75,22.42,6246.87,6170.52,26.162
"2021-05-23 03:30:00",1034,12.75,22.19,6226.11,6153.01,26.012
"2021-05-23 04:00:00",1035,12.74,22,6119.74,6062.09,25.881
"2021-05-23 04:30:00",1036,12.74,21.81,5957.99,5922.18,25.752
"2021-05-23 05:00:00",1037,12.75,21.59,6022.3,5978.21,25.626
"2021-05-23 05:30:00",1038,12.75,21.45,6072.76,6022,25.509
"2021-05-23 06:00:00",1039,12.74,21.37,6046.04,5999.01,25.408
"2021-05-23 06:30:00",1040,12.74,21.31,6090.61,6037.57,25.337
"2021-05-23 07:00:00",1041,12.73,21.31,6206.54,6137.13,25.289
"2021-05-23 07:30:00",1042,12.74,21.34,6205.11,6135.95,25.252
"2021-05-23 08:00:00",1043,12.74,21.4,6124.4,6066.77,25.256
"2021-05-23 08:30:00",1044,12.74,21.59,6076.29,6025.25,25.314
"2021-05-23 09:00:00",1045,12.74,22.03,6112.6,6056.47,25.396
"2021-05-23 09:30:00",1046,12.74,22.61,6116.57,6059.72,25.537
"2021-05-23 10:00:00",1047,12.74,23.72,6209.94,6139.46,25.8
"2021-05-23 10:30:00",1048,12.73,25.01,6496.29,6380.56,26.09
"2021-05-23 11:00:00",1049,12.73,26.07,6700.11,6548.26,26.472
"2021-05-23 11:30:00",1050,12.74,28.14,6815.95,6641.5,27.13
"2021-05-23 12:00:00",1051,12.74,31.12,7010.15,6795.98,27.895
"2021-05-23 12:30:00",1052,12.73,32.95,7265.92,6995.12,28.801
"2021-05-23 13:00:00",1053,12.74,32.4,7649.06,7284.94,29.695
"2021-05-23 13:30:00",1054,12.73,31.55,8002.64,7542.9,30.394
"2021-05-23 14:00:00",1055,12.74,31.26,8844.8,8124.19,30.743
"2021-05-23 14:30:00",1056,12.74,31.23,9606.88,8607.36,31.164
"2021-05-23 15:00:00",1057,12.74,31.26,-0,8984.23,31.444
"2021-05-23 15:30:00",1058,12.74,31.37,-0,9457.01,31.61
"2021-05-23 16:00:00",1059,12.75,31.47,-0,9910.57,31.683
"2021-05-23 16:30:00",1060,12.75,31.26,-0,10140.51,31.625
"2021-05-23 17:00:00",1061,12.74,31.12,-0,10134.55,31.529
"2021-05-23 17:30:00",1062,12.75,31.05,-0,10017.23,31.468
"2021-05-23 18:00:00",1063,12.75,30.78,-0,9927.88,31.336
"2021-05-23 18:30:00",1064,12.75,30.5,-0,9886.41,31.162
"2021-05-23 19:00:00",1065,12.74,30.09,-0,9691.47,30.989
"2021-05-23 19:30:00",1066,12.74,29.68,-0,9703.44,30.809
"2021-05-23 20:00:00",1067,12.75,29.12,-0,9693.86,30.612
"2021-05-23 20:30:00",1068,12.75,28.59,-0,9758.83,30.393
"2021-05-23 21:00:00",1069,12.75,27.98,-0,9838.57,30.12
"2021-05-23 21:30:00",1070,12.74,27.44,-0,9848.04,29.852
"2021-05-23 22:00:00",1071,12.74,26.9,-0,9737.72,29.589
"2021-05-23 22:30:00",1072,12.75,26.47,-0,9630.91,29.353
"2021-05-23 23:00:00",1073,12.75,26.04,-0,9541.1,29.105
"2021-05-23 23:30:00",1074,12.74,25.61,-0,9290.49,28.884
"2021-05-24 00:00:00",1075,12.74,25.25,-0,8969.81,28.675
"2021-05-24 00:30:00",1076,12.74,24.98,9797.64,8733.79,28.504
"2021-05-24 01:00:00",1077,12.74,24.87,9427.7,8507.65,28.366
"2021-05-24 01:30:00",1078,12.73,24.78,9003.19,8236.69,28.242
"2021-05-24 02:00:00",1079,12.73,24.78,8825.2,8119.6,28.141
"2021-05-24 02:30:00",1080,12.74,24.75,8936.46,8193.58,28.049
"2021-05-24 03:00:00",1081,12.74,24.84,8926.57,8187.33,27.974
"2021-05-24 03:30:00",1082,12.73,24.69,9082.37,8289.69,27.834
"2021-05-24 04:00:00",1083,12.73,24.1,9244.88,8395.01,27.621
"2021-05-24 04:30:00",1084,12.73,23.44,9411.96,8501.56,27.399
"2021-05-24 05:00:00",1085,12.73,22.81,9494.53,8554.14,27.15
"2021-05-24 05:30:00",1086,12.73,22.25,9714.15,8690.17,26.922
"2021-05-24 06:00:00",1087,12.72,21.78,9940.22,8826.91,26.711
"2021-05-24 06:30:00",1088,12.72,21.42,-0,8960.27,26.517
"2021-05-24 07:00:00",1089,12.72,21.12,-0,9009.16,26.351
"2021-05-24 07:30:00",1090,12.72,20.88,-0,9021.95,26.207
"2021-05-24 08:00:00",1091,12.72,20.8,-0,9034.32,26.113
"2021-05-24 08:30:00",1092,12.72,20.77,-0,9020.45,26.024
"2021-05-24 09:00:00",1093,12.71,20.77,-0,9035.21,25.962
"2021-05-24 09:30:00",1094,12.72,20.66,-0,9041.86,25.868
"2021-05-24 10:00:00",1095,12.72,20.56,-0,9094.13,25.789
"2021-05-24 10:30:00",1096,12.71,20.48,-0,9167.25,25.72
