"TOA5","CR1000","CR1000","93111","CR1000.Std.32.03","CPU:JacksonLaneV2.CR1","20188","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","GP_CO2Conc","GP_CO2HiConc","GP_Temp"
"TS","RN","Volts","Deg C","ppm CO2","ppm CO2","Deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2022-04-28 18:00:00",7410,12.85,15.31,-0,9499.67,20.631
"2022-04-28 18:30:00",7411,12.85,15.26,-0,10056.28,20.39
"2022-04-28 19:00:00",7412,12.85,14.95,-0,10309.39,20.12
"2022-04-28 19:30:00",7413,12.84,14.44,-0,10544.45,19.881
"2022-04-28 20:00:00",7414,12.84,13.73,-0,10661.54,19.671
"2022-04-28 20:30:00",7415,12.84,12.84,-0,10684.82,19.453
"2022-04-28 21:00:00",7416,12.84,12,-0,10720.38,19.284
"2022-04-28 21:30:00",7417,12.84,11.31,-0,10705.3,19.11
"2022-04-28 22:00:00",7418,12.83,10.58,-0,10779.59,18.97
"2022-04-28 22:30:00",7419,12.83,9.82,-0,10837.96,18.794
"2022-04-28 23:00:00",7420,12.83,9.06,-0,10896.85,18.625
"2022-04-28 23:30:00",7421,12.83,8.52,-0,10910.82,18.47
"2022-04-29 00:00:00",7422,12.83,7.97,-0,10931.25,18.323
"2022-04-29 00:30:00",7423,12.82,7.421,-0,10952.24,18.196
"2022-04-29 01:00:00",7424,12.82,6.963,-0,10929.59,18.06
"2022-04-29 01:30:00",7425,12.82,6.547,-0,10939.7,17.911
"2022-04-29 02:00:00",7426,12.81,6.156,-0,10932.47,17.776
"2022-04-29 02:30:00",7427,12.81,5.851,-0,10927.54,17.645
"2022-04-29 03:00:00",7428,12.81,5.548,-0,10901.72,17.51
"2022-04-29 03:30:00",7429,12.81,5.182,-0,10908.84,17.35
"2022-04-29 04:00:00",7430,12.81,4.708,-0,10865.13,17.233
"2022-04-29 04:30:00",7431,12.8,4.213,-0,10842.48,17.093
"2022-04-29 05:00:00",7432,12.8,3.807,-0,10813.17,16.947
"2022-04-29 05:30:00",7433,12.8,3.463,-0,10787.28,16.813
"2022-04-29 06:00:00",7434,12.8,3.079,-0,10752.27,16.662
"2022-04-29 06:30:00",7435,12.8,2.844,-0,10721.23,16.538
"2022-04-29 07:00:00",7436,12.79,2.736,-0,10699.08,16.439
"2022-04-29 07:30:00",7437,12.79,3.122,-0,10690.73,16.35
"2022-04-29 08:00:00",7438,12.8,4.084,-0,10643.7,16.304
"2022-04-29 08:30:00",7439,12.79,6.005,-0,10624.62,16.296
"2022-04-29 09:00:00",7440,12.79,7.839,-0,10628.61,16.321
"2022-04-29 09:30:00",7441,12.79,9.62,-0,10646.09,16.4
"2022-04-29 10:00:00",7442,12.8,12.77,-0,10625.09,16.713
"2022-04-29 10:30:00",7443,12.8,14.23,-0,10661.4,17.102
"2022-04-29 11:00:00",7444,12.81,14.75,-0,10763,17.428
"2022-04-29 11:30:00",7445,12.81,17.19,-0,10878.97,17.923
"2022-04-29 12:00:00",7446,12.82,19.47,-0,11022.8,18.532
"2022-04-29 12:30:00",7447,12.82,20.64,-0,11237.9,19.365
"2022-04-29 13:00:00",7448,12.83,19.78,-0,11524.36,20.183
"2022-04-29 13:30:00",7449,12.83,18.33,-0,11772.05,20.791
"2022-04-29 14:00:00",7450,12.83,17.89,-0,12015.14,21.116
"2022-04-29 14:30:00",7451,12.83,17.84,-0,12193.11,21.485
"2022-04-29 15:00:00",7452,12.84,18.05,-0,12322.61,21.8
"2022-04-29 15:30:00",7453,12.84,18.56,-0,12163.43,21.928
"2022-04-29 16:00:00",7454,12.84,18.66,-0,11955.5,22.026
"2022-04-29 16:30:00",7455,12.84,18.89,-0,11721.98,22.059
"2022-04-29 17:00:00",7456,12.85,19.52,-0,11419.31,22.031
"2022-04-29 17:30:00",7457,12.85,19.28,-0,11164.02,21.97
"2022-04-29 18:00:00",7458,12.84,18.97,-0,10890.6,21.786
"2022-04-29 18:30:00",7459,12.84,18.3,-0,10611.58,21.565
"2022-04-29 19:00:00",7460,12.83,17.51,-0,10420.8,21.272
"2022-04-29 19:30:00",7461,12.85,16.69,-0,10179.29,20.965
"2022-04-29 20:00:00",7462,12.85,15.68,-0,9955.5,20.643
"2022-04-29 20:30:00",7463,12.84,14.59,-0,9771.44,20.283
"2022-04-29 21:00:00",7464,12.84,13.59,-0,9634.16,19.937
"2022-04-29 21:30:00",7465,12.84,12.65,-0,9507.58,19.607
"2022-04-29 22:00:00",7466,12.84,11.77,-0,9449.44,19.309
"2022-04-29 22:30:00",7467,12.83,10.99,-0,9406.52,19.02
"2022-04-29 23:00:00",7468,12.83,10.25,-0,9287.55,18.761
"2022-04-29 23:30:00",7469,12.82,9.57,-0,9350.31,18.515
"2022-04-30 00:00:00",7470,12.83,8.92,-0,9417.02,18.289
"2022-04-30 00:30:00",7471,12.83,8.3,-0,9539.94,18.075
"2022-04-30 01:00:00",7472,12.82,7.751,-0,9616.53,17.857
"2022-04-30 01:30:00",7473,12.82,7.225,-0,9753.11,17.689
"2022-04-30 02:00:00",7474,12.82,6.832,-0,9867.06,17.513
"2022-04-30 02:30:00",7475,12.82,6.57,-0,9851.54,17.359
"2022-04-30 03:00:00",7476,12.81,6.351,-0,9863.31,17.197
"2022-04-30 03:30:00",7477,12.81,6.048,-0,9851.76,17.06
"2022-04-30 04:00:00",7478,12.8,5.765,-0,9848.63,16.896
"2022-04-30 04:30:00",7479,12.81,5.548,-0,9834.67,16.816
"2022-04-30 05:00:00",7480,12.81,5.354,-0,9821.59,16.667
"2022-04-30 05:30:00",7481,12.8,5.14,-0,9814.18,16.572
"2022-04-30 06:00:00",7482,12.79,4.794,-0,9823.29,16.474
"2022-04-30 06:30:00",7483,12.8,4.451,-0,9785.96,16.367
"2022-04-30 07:00:00",7484,12.8,4.256,-0,9784.96,16.271
"2022-04-30 07:30:00",7485,12.79,4.408,-0,9756.53,16.187
"2022-04-30 08:00:00",7486,12.79,5.117,-0,9715.44,16.135
"2022-04-30 08:30:00",7487,12.79,7.114,-0,9713.45,16.14
"2022-04-30 09:00:00",7488,12.8,9.08,-0,9723.83,16.196
"2022-04-30 09:30:00",7489,12.8,10.88,-0,9733.05,16.285
"2022-04-30 10:00:00",7490,12.8,14.64,-0,9756.32,16.642
"2022-04-30 10:30:00",7491,12.8,16.49,-0,9787.7,17
"2022-04-30 11:00:00",7492,12.8,17.95,-0,9852.98,17.439
"2022-04-30 11:30:00",7493,12.81,20.91,-0,9980.69,18.048
"2022-04-30 12:00:00",7494,12.82,22.95,-0,10148.53,18.836
"2022-04-30 12:30:00",7495,12.82,24.1,-0,10357.69,19.693
"2022-04-30 13:00:00",7496,12.82,22.75,-0,10589.61,20.499
"2022-04-30 13:30:00",7497,12.83,21.18,-0,10828.55,21.142
"2022-04-30 14:00:00",7498,12.84,20.66,-0,11058.02,21.643
"2022-04-30 14:30:00",7499,12.83,20.64,-0,11260.8,22.015
"2022-04-30 15:00:00",7500,12.83,20.74,-0,11342.62,22.286
"2022-04-30 15:30:00",7501,12.83,21.02,-0,11295.24,22.423
"2022-04-30 16:00:00",7502,12.84,21.12,-0,11020.2,21.232
"2022-04-30 16:30:00",7503,12.84,21.26,-0,11064.52,21.303
"2022-04-30 17:00:00",7504,12.83,21.64,-0,11113.56,21.4
"2022-04-30 17:30:00",7505,12.83,21.56,-0,11204.49,21.444
"2022-04-30 18:00:00",7506,12.84,21.18,-0,11237.32,21.458
"2022-04-30 18:30:00",7507,12.84,20.4,-0,11218.32,21.428
"2022-04-30 19:00:00",7508,12.83,19.73,-0,11183.53,21.37
"2022-04-30 19:30:00",7509,12.83,18.79,-0,11082.83,21.266
"2022-04-30 20:00:00",7510,12.82,17.62,-0,10939.7,21.1
"2022-04-30 20:30:00",7511,12.84,16.39,-0,10674.96,20.853
"2022-04-30 21:00:00",7512,12.83,15.29,-0,10219.25,20.572
"2022-04-30 21:30:00",7513,12.83,14.37,-0,9859.87,20.277
"2022-04-30 22:00:00",7514,12.83,13.54,-0,9635.33,19.971
"2022-04-30 22:30:00",7515,12.83,12.77,-0,9454.39,19.676
"2022-04-30 23:00:00",7516,12.83,11.98,-0,9372.68,19.389
"2022-04-30 23:30:00",7517,12.82,11.29,-0,9325.47,19.146
"2022-05-01 00:00:00",7518,12.82,10.7,-0,9295.27,18.908
"2022-05-01 00:30:00",7519,12.81,10.13,-0,9268.29,18.674
"2022-05-01 01:00:00",7520,12.82,9.64,-0,9233.21,18.445
"2022-05-01 01:30:00",7521,12.82,9.21,-0,9130.95,18.284
"2022-05-01 02:00:00",7522,12.81,8.83,-0,9027.2,18.075
"2022-05-01 02:30:00",7523,12.81,8.5,9991.71,8901.29,17.933
"2022-05-01 03:00:00",7524,12.81,8.15,9921.33,8859.63,17.77
"2022-05-01 03:30:00",7525,12.81,7.839,9868.43,8828.2,17.625
"2022-05-01 04:00:00",7526,12.8,7.51,9848.66,8816.78,17.497
"2022-05-01 04:30:00",7527,12.8,7.245,9874.26,8833.13,17.36
"2022-05-01 05:00:00",7528,12.79,7.049,9981.54,8898.93,17.231
"2022-05-01 05:30:00",7529,12.8,6.809,-0,8913.33,17.144
"2022-05-01 06:00:00",7530,12.8,6.613,-0,8922.58,17.02
"2022-05-01 06:30:00",7531,12.79,6.416,-0,8948.87,16.915
"2022-05-01 07:00:00",7532,12.79,6.416,-0,8960.49,16.82
"2022-05-01 07:30:00",7533,12.79,6.832,-0,8943.83,16.781
"2022-05-01 08:00:00",7534,12.79,7.774,-0,8954.87,16.79
"2022-05-01 08:30:00",7535,12.79,9.73,-0,9029.82,16.857
"2022-05-01 09:00:00",7536,12.79,11.93,-0,9063.89,16.936
"2022-05-01 09:30:00",7537,12.79,13.78,-0,9107.38,17.062
"2022-05-01 10:00:00",7538,12.8,15.65,-0,9168.71,17.208
"2022-05-01 10:30:00",7539,12.8,17.04,-0,9210.58,17.364
"2022-05-01 11:00:00",7540,12.8,17.95,-0,9264.11,17.535
"2022-05-01 11:30:00",7541,12.8,19.65,-0,9349.46,17.824
"2022-05-01 12:00:00",7542,12.81,20.64,-0,9429.69,18.086
"2022-05-01 12:30:00",7543,12.81,20.8,-0,9527.97,18.34
"2022-05-01 13:00:00",7544,12.81,20.99,-0,9621.42,18.582
"2022-05-01 13:30:00",7545,12.81,20.99,-0,9678.34,18.8
"2022-05-01 14:00:00",7546,12.81,21.56,-0,9781.79,19.062
"2022-05-01 14:30:00",7547,12.82,21.48,-0,9860.65,19.24
"2022-05-01 15:00:00",7548,12.82,21.1,-0,9927.27,19.4
"2022-05-01 15:30:00",7549,12.82,20.42,-0,10005.31,19.506
"2022-05-01 16:00:00",7550,12.82,18.87,-0,10078.22,19.622
"2022-05-01 16:30:00",7551,12.81,17.41,-0,10046.47,19.619
"2022-05-01 17:00:00",7552,12.82,16.22,-0,10085.7,19.92
"2022-05-01 17:30:00",7553,12.82,15.46,-0,10069.98,19.707
"2022-05-01 18:00:00",7554,12.81,15,-0,10071.11,19.662
"2022-05-01 18:30:00",7555,12.81,14.75,-0,10115.73,19.626
"2022-05-01 19:00:00",7556,12.82,14.59,-0,10158.74,19.606
"2022-05-01 19:30:00",7557,12.82,14.23,-0,10200.68,19.57
"2022-05-01 20:00:00",7558,12.81,13.87,-0,10143.91,19.488
"2022-05-01 20:30:00",7559,12.81,13.52,-0,10056.17,19.389
"2022-05-01 21:00:00",7560,12.8,13.21,-0,9835.79,19.282
"2022-05-01 21:30:00",7561,12.81,13,-0,9575.46,19.185
"2022-05-01 22:00:00",7562,12.81,12.79,-0,9317.98,19.073
"2022-05-01 22:30:00",7563,12.8,12.6,-0,9079.23,18.972
"2022-05-01 23:00:00",7564,12.8,12.42,9817.67,8790.8,18.874
"2022-05-01 23:30:00",7565,12.81,12.28,9419.23,8542.44,18.782
"2022-05-02 00:00:00",7566,12.8,12.19,9144.98,8365.52,18.703
"2022-05-02 00:30:00",7567,12.8,12.12,8968.11,8248.87,18.622
"2022-05-02 01:00:00",7568,12.8,12.05,8752.17,8103.5,18.546
"2022-05-02 01:30:00",7569,12.8,11.96,8556.98,7969.68,18.384
"2022-05-02 02:00:00",7570,12.8,11.93,8418.27,7872.78,18.331
"2022-05-02 02:30:00",7571,12.81,11.93,8291.38,7782.97,18.285
"2022-05-02 03:00:00",7572,12.8,11.89,8134.35,7670.25,18.235
"2022-05-02 03:30:00",7573,12.79,11.79,8063.34,7618.81,18.18
"2022-05-02 04:00:00",7574,12.8,11.68,7971.48,7551.69,18.122
"2022-05-02 04:30:00",7575,12.8,11.59,7888.22,7490.36,18.066
"2022-05-02 05:00:00",7576,12.79,11.59,7870.87,7477.58,18.03
"2022-05-02 05:30:00",7577,12.79,11.68,7829.71,7447.02,18.01
"2022-05-02 06:00:00",7578,12.79,11.82,7868.75,7476.1,17.998
"2022-05-02 06:30:00",7579,12.8,11.93,7881.26,7485.4,17.99
"2022-05-02 07:00:00",7580,12.8,12.05,7870.71,7477.59,17.983
"2022-05-02 07:30:00",7581,12.79,12.23,7892,7493.36,17.99
"2022-05-02 08:00:00",7582,12.79,12.53,7893.26,7494.24,18.012
"2022-05-02 08:30:00",7583,12.8,12.88,7840.51,7454.96,18.048
"2022-05-02 09:00:00",7584,12.8,13.28,7821.61,7440.75,18.098
"2022-05-02 09:30:00",7585,12.8,13.78,7830.97,7447.55,18.164
"2022-05-02 10:00:00",7586,12.79,14.25,7774.63,7405.28,18.24
"2022-05-02 10:30:00",7587,12.79,14.75,7783.77,7411.87,18.341
"2022-05-02 11:00:00",7588,12.8,15.26,7751.44,7387.34,18.463
"2022-05-02 11:30:00",7589,12.8,15.95,7783.79,7411.17,18.628
"2022-05-02 12:00:00",7590,12.79,16.81,7850.21,7460.18,18.831
