"TOA5","DK_SW","CR1000","93111","CR1000.Std.32.03","CPU:JacksonLaneV2.CR1","20188","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2021-05-02 00:00:00",0,12.15
"2021-05-03 00:00:00",1,12.13
"2021-05-04 00:00:00",2,12.13
"2021-05-05 00:00:00",3,12.13
"2021-05-06 00:00:00",4,12.1
"2021-05-07 00:00:00",5,12.08
"2021-05-08 00:00:00",6,12.06
"2021-05-09 00:00:00",7,12.04
"2021-05-10 00:00:00",8,12.03
"2021-05-11 00:00:00",9,12.03
"2021-05-12 00:00:00",10,12.02
"2021-05-13 00:00:00",11,12
"2021-05-14 00:00:00",12,11.99
"2021-05-15 00:00:00",13,11.98
"2021-05-16 00:00:00",14,11.96
"2021-05-17 00:00:00",15,11.95
"2021-05-18 00:00:00",16,11.94
"2021-05-19 00:00:00",17,11.93
"2021-05-20 00:00:00",18,11.92
