"TOA5","CR1000","CR1000","93111","CR1000.Std.32.03","CPU:JacksonLaneV2.CR1","20188","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","GP_CO2Conc","GP_CO2HiConc","GP_Temp"
"TS","RN","Volts","Deg C","ppm CO2","ppm CO2","Deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2021-09-15 13:30:00",0,12.99,31.83,2270.42,2277.36,28.449
"2021-09-15 14:00:00",1,12.96,31.16,3594.9,3672.13,29.701
"2021-09-15 14:30:00",2,12.95,30.98,4369.44,4448.18,29.979
"2021-09-15 15:00:00",3,12.94,30.88,5648.34,5645,30.178
"2021-09-15 15:30:00",4,12.93,30.53,6000.31,5954.23,30.286
"2021-09-15 16:00:00",5,12.91,30.74,7520.01,7187.26,30.023
"2021-09-15 16:30:00",6,12.89,30.16,9226.78,8374.66,30.024
"2021-09-15 17:00:00",7,12.89,29.65,-0,9325.46,30.193
"2021-09-15 17:30:00",8,12.88,29.18,-0,9940.75,30.211
"2021-09-15 18:00:00",9,12.86,28.72,-0,10397.36,30.213
"2021-09-15 18:30:00",10,12.85,28.36,-0,10783.73,30.198
"2021-09-15 19:00:00",11,12.83,27.98,-0,11067.55,30.144
"2021-09-15 19:30:00",12,12.83,27.5,-0,11420.99,30.054
"2021-09-15 20:00:00",13,12.82,27,-0,11628.7,29.937
"2021-09-15 20:30:00",14,12.81,26.53,-0,11877.28,29.801
"2021-09-15 21:00:00",15,12.81,26.16,-0,12181.23,29.662
"2021-09-15 21:30:00",16,12.8,25.79,-0,12281.24,29.481
"2021-09-15 22:00:00",17,12.8,25.55,-0,12391.9,29.39
"2021-09-15 22:30:00",18,12.78,25.37,-0,12255.99,29.277
"2021-09-15 23:00:00",19,12.78,25.19,-0,12539.6,29.192
"2021-09-15 23:30:00",20,12.78,25.04,-0,12377.33,29.11
"2021-09-16 00:00:00",21,12.78,24.87,-0,11780.83,29.031
"2021-09-16 00:30:00",22,12.77,24.72,-0,11265.09,28.941
"2021-09-16 01:00:00",23,12.77,24.6,-0,10805.23,28.879
"2021-09-16 01:30:00",24,12.77,24.51,-0,10097.31,28.823
"2021-09-16 02:00:00",25,12.77,24.45,-0,9410.73,28.785
"2021-09-16 02:30:00",26,12.77,24.45,9997.93,8851.7,28.752
"2021-09-16 03:00:00",27,12.76,24.42,9489.76,8544.89,28.72
"2021-09-16 03:30:00",28,12.76,24.33,9348.02,8456.51,28.66
"2021-09-16 04:00:00",29,12.76,24.19,9611.7,8620.58,28.603
"2021-09-16 04:30:00",30,12.76,24.04,9831.01,8753.62,28.547
"2021-09-16 05:00:00",31,12.75,23.93,-0,8990.94,28.492
"2021-09-16 05:30:00",32,12.75,23.87,9599.16,8613.5,28.447
"2021-09-16 06:00:00",33,12.76,23.75,8939.66,8194.52,28.392
"2021-09-16 06:30:00",34,12.76,23.64,8608.41,7973.05,28.335
"2021-09-16 07:00:00",35,12.75,23.55,8382.86,7817.92,28.282
"2021-09-16 07:30:00",36,12.75,23.47,8195.69,7686.51,28.233
"2021-09-16 08:00:00",37,12.75,23.41,8090.05,7611.24,28.203
"2021-09-16 08:30:00",38,12.75,23.44,8061.66,7590.88,28.197
"2021-09-16 09:00:00",39,12.75,23.61,8061.79,7590.86,28.239
"2021-09-16 09:30:00",40,12.75,23.99,8032.81,7569.85,28.298
"2021-09-16 10:00:00",41,12.75,24.3,8133.09,7641.62,28.359
"2021-09-16 10:30:00",42,12.75,24.66,8099.05,7617.05,28.453
"2021-09-16 11:00:00",43,12.75,25.16,8027.03,7565,28.569
"2021-09-16 11:30:00",44,12.75,25.61,8123.69,7634.04,28.696
"2021-09-16 12:00:00",45,12.75,25.98,8627.85,7984.72,28.836
"2021-09-16 12:30:00",46,12.75,26.65,8931.65,8187.1,29.032
"2021-09-16 13:00:00",47,12.75,27,9312.48,8432.03,29.201
"2021-09-16 13:30:00",48,12.74,27.34,-0,9025.42,29.416
"2021-09-16 14:00:00",49,12.75,27.37,-0,9549.02,29.57
"2021-09-16 14:30:00",50,12.75,27.69,-0,9838.7,29.781
"2021-09-16 15:00:00",51,12.75,27.75,-0,10167.71,29.894
"2021-09-16 15:30:00",52,12.75,27.4,-0,10605.18,29.948
"2021-09-16 16:00:00",53,12.75,27.03,-0,11080.69,29.965
"2021-09-16 16:30:00",54,12.75,26.72,-0,11317.51,29.939
"2021-09-16 17:00:00",55,12.75,26.53,-0,11339.4,29.933
"2021-09-16 17:30:00",56,12.75,26.28,-0,11299.75,29.874
"2021-09-16 18:00:00",57,12.74,26.04,-0,11393.64,29.816
"2021-09-16 18:30:00",58,12.75,25.67,-0,11429.82,29.72
"2021-09-16 19:00:00",59,12.75,25.19,-0,11421.04,29.587
"2021-09-16 19:30:00",60,12.75,24.66,-0,10483.09,29.407
"2021-09-16 20:00:00",61,12.74,24.25,-0,9699.2,29.264
"2021-09-16 20:30:00",62,12.74,23.96,-0,9011.57,29.139
"2021-09-16 21:00:00",63,12.75,23.81,9675.36,8657.6,29.045
"2021-09-16 21:30:00",64,12.75,23.72,9331.49,8444.94,28.962
"2021-09-16 22:00:00",65,12.74,23.64,9052.47,8266.6,28.878
"2021-09-16 22:30:00",66,12.74,23.5,8845.47,8130.97,28.785
"2021-09-16 23:00:00",67,12.74,23.38,8697.64,8032.34,28.702
"2021-09-16 23:30:00",68,12.74,23.29,8632.38,7988.43,28.633
"2021-09-17 00:00:00",69,12.74,23.24,8844.22,8130.82,28.575
"2021-09-17 00:30:00",70,12.73,23.15,8911.88,8175.82,28.512
"2021-09-17 01:00:00",71,12.73,23.1,8979.01,8220.13,28.457
"2021-09-17 01:30:00",72,12.74,23.04,8998.9,8233.31,28.405
"2021-09-17 02:00:00",73,12.74,22.98,9008.09,8239.52,28.356
"2021-09-17 02:30:00",74,12.73,22.95,9077.5,8284.82,28.318
"2021-09-17 03:00:00",75,12.73,22.92,9007.31,8239.29,28.271
"2021-09-17 03:30:00",76,12.74,22.9,9119.92,8312.57,28.231
"2021-09-17 04:00:00",77,12.73,22.84,9119.78,8312.65,28.187
"2021-09-17 04:30:00",78,12.73,22.78,9290.99,8422.41,28.137
"2021-09-17 05:00:00",79,12.72,22.73,9539.82,8578.38,28.098
"2021-09-17 05:30:00",80,12.72,22.7,-0,8877.49,28.064
"2021-09-17 06:00:00",81,12.73,22.67,-0,8972.07,28.024
"2021-09-17 06:30:00",82,12.73,22.64,-0,9052.54,27.992
"2021-09-17 07:00:00",83,12.72,22.61,-0,9174.71,27.956
"2021-09-17 07:30:00",84,12.72,22.59,-0,9221,27.927
"2021-09-17 08:00:00",85,12.73,22.59,-0,9263.38,27.908
"2021-09-17 08:30:00",86,12.73,22.61,-0,9187.16,27.908
"2021-09-17 09:00:00",87,12.72,22.7,-0,9211.42,27.935
"2021-09-17 09:30:00",88,12.72,22.87,-0,9325.76,27.972
"2021-09-17 10:00:00",89,12.72,23.01,-0,9340.01,28.01
"2021-09-17 10:30:00",90,12.73,23.15,-0,9444.3,28.056
"2021-09-17 11:00:00",91,12.72,23.32,-0,9460.79,28.11
"2021-09-17 11:30:00",92,12.72,23.5,-0,9533.28,28.182
"2021-09-17 12:00:00",93,12.72,23.64,-0,9600.52,28.252
"2021-09-17 12:30:00",94,12.72,24.01,-0,9617.61,28.381
"2021-09-17 13:00:00",95,12.72,24.25,-0,9751.67,28.473
"2021-09-17 13:30:00",96,12.72,24.36,-0,10177.47,28.561
"2021-09-17 14:00:00",97,12.72,24.54,-0,10438.78,28.648
"2021-09-17 14:30:00",98,12.72,24.48,-0,10757.46,28.733
"2021-09-17 15:00:00",99,12.72,24.63,-0,11037.18,28.852
"2021-09-17 15:30:00",100,12.72,24.84,-0,11196.74,28.974
"2021-09-17 16:00:00",101,12.72,24.92,-0,11360.57,29.07
"2021-09-17 16:30:00",102,12.72,25.07,-0,11237.32,29.146
"2021-09-17 17:00:00",103,12.72,25.04,-0,11265.53,29.176
"2021-09-17 17:30:00",104,12.72,24.92,-0,11345.31,29.179
"2021-09-17 18:00:00",105,12.72,24.78,-0,11526.78,29.165
"2021-09-17 18:30:00",106,12.72,24.6,-0,11698.94,29.121
"2021-09-17 19:00:00",107,12.72,24.36,-0,11638.77,29.04
"2021-09-17 19:30:00",108,12.72,24.04,-0,11666.75,28.922
"2021-09-17 20:00:00",109,12.72,23.75,-0,12017.95,28.805
"2021-09-17 20:30:00",110,12.72,23.5,-0,11281.34,28.676
"2021-09-17 21:00:00",111,12.72,23.24,-0,10648.56,28.549
"2021-09-17 21:30:00",112,12.72,23.01,-0,10359.86,28.433
"2021-09-17 22:00:00",113,12.71,22.84,-0,10165.9,28.337
"2021-09-17 22:30:00",114,12.71,22.7,-0,10134.72,28.244
"2021-09-17 23:00:00",115,12.72,22.56,-0,10149.13,28.16
"2021-09-17 23:30:00",116,12.72,22.39,-0,10338.53,28.076
"2021-09-18 00:00:00",117,12.72,22.22,-0,10610.06,27.994
"2021-09-18 00:30:00",118,12.71,22.03,-0,10841.16,27.901
"2021-09-18 01:00:00",119,12.71,21.86,-0,11575.75,27.826
"2021-09-18 01:30:00",120,12.71,21.7,-0,12050.45,27.754
"2021-09-18 02:00:00",121,12.71,21.67,-0,12152.17,27.702
"2021-09-18 02:30:00",122,12.71,21.67,-0,12244.32,27.65
"2021-09-18 03:00:00",123,12.71,21.64,-0,12356.69,27.602
"2021-09-18 03:30:00",124,12.71,21.53,-0,12718.31,27.54
"2021-09-18 04:00:00",125,12.71,21.45,-0,12789.79,27.482
"2021-09-18 04:30:00",126,12.71,21.37,-0,13094.68,27.432
"2021-09-18 05:00:00",127,12.7,21.29,-0,13216.84,27.376
"2021-09-18 05:30:00",128,12.71,21.18,-0,13438.24,27.326
"2021-09-18 06:00:00",129,12.71,21.15,-0,13448.21,27.282
"2021-09-18 06:30:00",130,12.71,21.1,-0,13493.91,27.235
"2021-09-18 07:00:00",131,12.7,21.02,-0,13821.42,27.192
"2021-09-18 07:30:00",132,12.7,20.93,-0,14197.44,27.143
"2021-09-18 08:00:00",133,12.71,20.93,-0,14975.34,27.113
"2021-09-18 08:30:00",134,12.71,21.02,-0,15392.3,27.102
"2021-09-18 09:00:00",135,12.7,21.18,-0,15464.3,27.116
"2021-09-18 09:30:00",136,12.7,21.53,-0,14973.02,27.183
"2021-09-18 10:00:00",137,12.7,21.89,-0,14689.76,27.237
"2021-09-18 10:30:00",138,12.7,22.36,-0,14545.25,27.321
"2021-09-18 11:00:00",139,12.7,23.01,-0,14468.84,27.441
"2021-09-18 11:30:00",140,12.7,23.75,-0,14544.24,27.624
"2021-09-18 12:00:00",141,12.7,24.33,-0,14486.33,27.871
"2021-09-18 12:30:00",142,12.71,25.49,-0,14492.62,28.147
"2021-09-18 13:00:00",143,12.71,25.92,-0,14522.4,28.341
"2021-09-18 13:30:00",144,12.7,25.98,-0,14773.44,28.519
"2021-09-18 14:00:00",145,12.7,26.04,-0,14927.77,28.742
"2021-09-18 14:30:00",146,12.71,26.25,-0,14934.21,28.956
"2021-09-18 15:00:00",147,12.71,26.47,-0,15063.09,29.103
"2021-09-18 15:30:00",148,12.7,26.5,-0,15373.48,29.228
"2021-09-18 16:00:00",149,12.7,26.56,-0,16135.06,29.33
"2021-09-18 16:30:00",150,12.71,26.56,-0,16444.21,29.41
"2021-09-18 17:00:00",151,12.71,26.37,-0,16644.89,29.432
"2021-09-18 17:30:00",152,12.7,26.16,-0,17003.39,29.439
"2021-09-18 18:00:00",153,12.7,25.92,-0,17307.55,29.426
"2021-09-18 18:30:00",154,12.71,25.67,-0,17532.49,29.394
"2021-09-18 19:00:00",155,12.71,25.37,-0,17893.06,29.335
"2021-09-18 19:30:00",156,12.71,24.98,-0,18068.65,29.246
"2021-09-18 20:00:00",157,12.7,24.63,-0,18217.68,29.122
"2021-09-18 20:30:00",158,12.7,24.28,-0,17824.47,28.987
"2021-09-18 21:00:00",159,12.7,23.96,-0,17201.27,28.854
"2021-09-18 21:30:00",160,12.7,23.67,-0,16513.99,28.713
"2021-09-18 22:00:00",161,12.7,23.41,-0,16470.68,28.581
"2021-09-18 22:30:00",162,12.7,23.18,-0,15842.36,28.453
"2021-09-18 23:00:00",163,12.7,22.92,-0,15122.24,28.336
"2021-09-18 23:30:00",164,12.7,22.7,-0,14695.61,28.217
"2021-09-19 00:00:00",165,12.7,22.53,-0,14646.96,28.112
"2021-09-19 00:30:00",166,12.69,22.36,-0,14172.39,28.018
"2021-09-19 01:00:00",167,12.7,22.22,-0,14245.64,27.929
"2021-09-19 01:30:00",168,12.7,22.06,-0,13885.33,27.836
"2021-09-19 02:00:00",169,12.7,21.92,-0,13947.49,27.753
"2021-09-19 02:30:00",170,12.69,21.75,-0,14145.06,27.67
"2021-09-19 03:00:00",171,12.69,21.59,-0,14303.38,27.588
"2021-09-19 03:30:00",172,12.7,21.48,-0,14183.71,27.517
"2021-09-19 04:00:00",173,12.7,21.4,-0,14088.15,27.447
"2021-09-19 04:30:00",174,12.69,21.29,-0,13946.07,27.382
"2021-09-19 05:00:00",175,12.69,21.18,-0,13881.53,27.318
"2021-09-19 05:30:00",176,12.69,21.07,-0,13826.76,27.251
"2021-09-19 06:00:00",177,12.69,20.96,-0,13950.78,27.192
"2021-09-19 06:30:00",178,12.69,20.8,-0,14306.15,27.128
"2021-09-19 07:00:00",179,12.69,20.66,-0,14876.5,27.068
"2021-09-19 07:30:00",180,12.69,20.53,-0,15659.2,27.003
"2021-09-19 08:00:00",181,12.69,20.48,-0,16098.97,26.95
"2021-09-19 08:30:00",182,12.69,20.48,-0,16513.13,26.908
"2021-09-19 09:00:00",183,12.68,20.53,-0,16552.82,26.858
"2021-09-19 09:30:00",184,12.68,20.69,-0,16423.04,26.829
"2021-09-19 10:00:00",185,12.69,20.93,-0,16570.16,26.823
