"TOA5","TS_CO2","CR1000","93112","CR1000.Std.32.03","CPU:JacksonLaneV2.CR1","20188","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","GP_CO2Conc","GP_CO2HiConc","GP_Temp"
"TS","RN","Volts","Deg C","ppm CO2","ppm CO2","Deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2024-06-25 14:00:00",35137,12.76,31.55,1666.83,1686.54,29.27
"2024-06-25 14:30:00",35138,12.75,31.44,2646.57,2747.26,32.48
"2024-06-25 15:00:00",35139,12.75,31.33,2983.39,3103,32.75
"2024-06-25 15:30:00",35140,12.75,31.3,2750.06,2856.72,32.83
"2024-06-25 16:00:00",35141,12.74,31.33,2458.71,2544.44,33.08
"2024-06-25 16:30:00",35142,12.74,31.26,2310.32,2384.11,33.03
"2024-06-25 17:00:00",35143,12.74,31.05,2219.25,2285.75,32.75
"2024-06-25 17:30:00",35144,12.74,30.91,2025.74,2075.15,32.43
"2024-06-25 18:00:00",35145,12.72,30.74,1977.01,2022.36,32.14
"2024-06-25 18:30:00",35146,12.72,30.43,2055.97,2109.36,31.87
"2024-06-25 19:00:00",35147,12.72,30.05,2241.12,2311.84,31.64
"2024-06-25 19:30:00",35148,12.72,29.52,2434.15,2521.51,31.4
"2024-06-25 20:00:00",35149,12.71,28.95,2756.63,2867.37,31.13
"2024-06-25 20:30:00",35150,12.71,28.4,3298.7,3433.77,30.87
"2024-06-25 21:00:00",35151,12.71,27.82,3737.27,3876.37,30.64
"2024-06-25 21:30:00",35152,12.71,27.28,4172.7,4300.31,30.39
"2024-06-25 22:00:00",35153,12.7,26.87,4328.49,4448.19,30.19
"2024-06-25 22:30:00",35154,12.69,26.56,4491.72,4600.75,30.01
"2024-06-25 23:00:00",35155,12.69,26.25,4591.9,4693.37,29.79
"2024-06-25 23:30:00",35156,12.69,26.01,4701.54,4793.54,29.62
"2024-06-26 00:00:00",35157,12.69,25.73,4806.65,4888.55,29.44
"2024-06-26 00:30:00",35158,12.67,25.46,4880.18,4954.46,29.26
"2024-06-26 01:00:00",35159,12.67,25.19,4856.11,4933.21,29.09
"2024-06-26 01:30:00",35160,12.67,24.98,4926.16,4995.62,28.97
"2024-06-26 02:00:00",35161,12.67,24.84,4953.89,5020.25,28.86
"2024-06-26 02:30:00",35162,12.66,24.72,4967.83,5032.67,28.73
"2024-06-26 03:00:00",35163,12.66,24.63,5032.46,5089.57,28.63
"2024-06-26 03:30:00",35164,12.67,24.6,5156.3,5197.38,28.53
"2024-06-26 04:00:00",35165,12.66,24.51,5250.21,5278.19,28.44
"2024-06-26 04:30:00",35166,12.65,24.45,5336.13,5351.41,28.34
"2024-06-26 05:00:00",35167,12.65,24.28,5424.73,5426.16,28.27
"2024-06-26 05:30:00",35168,12.66,24.1,5441.72,5440.46,28.16
"2024-06-26 06:00:00",35169,12.65,23.93,5506.5,5494.56,28.08
"2024-06-26 06:30:00",35170,12.65,23.81,5446.89,5444.87,28.03
"2024-06-26 07:00:00",35171,12.64,23.81,5424.13,5425.82,27.99
"2024-06-26 07:30:00",35172,12.65,23.93,5360.02,5371.87,27.97
"2024-06-26 08:00:00",35173,12.65,24.36,5327.93,5344.66,28.04
"2024-06-26 08:30:00",35174,12.64,25.04,5262.36,5288.79,28.16
"2024-06-26 09:00:00",35175,12.64,25.83,5461.46,5456.92,28.27
"2024-06-26 09:30:00",35176,12.63,26.59,5613.92,5583.18,28.44
"2024-06-26 10:00:00",35177,12.64,27.56,5794.28,5729.84,28.72
"2024-06-26 10:30:00",35178,12.64,28.53,5712.14,5663.29,29.06
"2024-06-26 11:00:00",35179,12.64,29.35,5780.79,5718.85,29.38
"2024-06-26 11:30:00",35180,12.64,30.19,5994.85,5889.65,29.89
"2024-06-26 12:00:00",35181,12.64,30.78,6012.47,5903.63,30.58
"2024-06-26 12:30:00",35182,12.64,31.33,5838.75,5765.35,31.47
"2024-06-26 13:00:00",35183,12.64,31.97,6139.55,6003.61,32.4
"2024-06-26 13:30:00",35184,12.64,32.55,6396.01,6201.06,33.42
"2024-06-26 14:00:00",35185,12.64,32.99,6437.28,6232.66,33.99
"2024-06-26 14:30:00",35186,12.64,33.36,5844.16,5769.57,34.55
"2024-06-26 15:00:00",35187,12.64,33.7,5201.83,5231.53,34.83
"2024-06-26 15:30:00",35188,12.63,33.85,4566.41,4662.51,35.07
"2024-06-26 16:00:00",35189,12.64,33.92,3946.54,4073.78,35.04
"2024-06-26 16:30:00",35190,12.64,34,3386.98,3515.43,34.97
"2024-06-26 17:00:00",35191,12.63,34.08,3114.25,3235.2,34.74
"2024-06-26 17:30:00",35192,12.63,34,2945.64,3059.55,34.53
"2024-06-26 18:00:00",35193,12.64,33.73,2854.69,2964.4,34.26
"2024-06-26 18:30:00",35194,12.64,33.43,2912.41,3025.75,34.02
"2024-06-26 19:00:00",35195,12.63,33.03,2988.37,3106.05,33.75
"2024-06-26 19:30:00",35196,12.63,32.55,3078.91,3201.13,33.5
"2024-06-26 20:00:00",35197,12.63,32.04,3292.12,3422.02,33.25
"2024-06-26 20:30:00",35198,12.63,31.62,3463.56,3597.36,33.01
"2024-06-26 21:00:00",35199,12.62,31.26,3583.42,3718.69,32.79
"2024-06-26 21:30:00",35200,12.62,30.91,3763.24,3898.44,32.53
"2024-06-26 22:00:00",35201,12.63,30.36,4059.03,4187.95,32.29
"2024-06-26 22:30:00",35202,12.63,29.68,4468.31,4576.06,32.04
"2024-06-26 23:00:00",35203,12.61,29.05,4762.18,4845.72,31.75
"2024-06-26 23:30:00",35204,12.61,28.53,5030.22,5084.8,31.47
"2024-06-27 00:00:00",35205,12.62,28.14,5344.7,5356.79,31.19
"2024-06-27 00:30:00",35206,12.61,27.31,5427.85,5427.25,30.93
"2024-06-27 01:00:00",35207,12.61,26.41,5328.78,5343.6,30.67
"2024-06-27 01:30:00",35208,12.61,25.76,5245.08,5272.23,30.48
"2024-06-27 02:00:00",35209,12.61,25.28,5177.74,5214.41,30.29
"2024-06-27 02:30:00",35210,12.61,24.92,5140.96,5182.72,30.12
"2024-06-27 03:00:00",35211,12.61,24.69,5092.51,5140.73,29.99
"2024-06-27 03:30:00",35212,12.6,24.45,4948.85,5014.76,29.83
"2024-06-27 04:00:00",35213,12.59,24.25,4836.84,4915.28,29.7
"2024-06-27 04:30:00",35214,12.6,24.16,4871.99,4946.8,29.58
"2024-06-27 05:00:00",35215,12.6,24.04,4920.94,4990.46,29.45
"2024-06-27 05:30:00",35216,12.59,23.9,4936.52,5004.35,29.37
"2024-06-27 06:00:00",35217,12.59,23.78,5063.41,5116.01,29.27
"2024-06-27 06:30:00",35218,12.6,23.67,5196.58,5231.56,29.2
"2024-06-27 07:00:00",35219,12.6,23.67,5285.26,5307.63,29.1
"2024-06-27 07:30:00",35220,12.59,23.75,5456.96,5452.7,29.08
"2024-06-27 08:00:00",35221,12.59,23.96,5622.77,5590.22,29.09
"2024-06-27 08:30:00",35222,12.59,24.28,5722.65,5671.82,29.16
"2024-06-27 09:00:00",35223,12.59,24.66,5731.72,5679.17,29.21
"2024-06-27 09:30:00",35224,12.59,25.1,5569.48,5546.19,29.34
"2024-06-27 10:00:00",35225,12.59,25.46,5408.41,5411.71,29.51
"2024-06-27 10:30:00",35226,12.59,25.85,5393.7,5399.13,29.82
"2024-06-27 11:00:00",35227,12.59,26.41,5430.34,5429.76,30.2
"2024-06-27 11:30:00",35228,12.59,26.93,5601.64,5572.28,30.61
"2024-06-27 12:00:00",35229,12.59,27.47,5677.06,5634.14,31.07
"2024-06-27 12:30:00",35230,12.59,27.94,5586.71,5559.63,31.4
"2024-06-27 13:00:00",35231,12.6,28.2,5819.17,5749.54,31.83
"2024-06-27 13:30:00",35232,12.59,28.53,5681.69,5637.62,32.26
"2024-06-27 14:00:00",35233,12.59,28.69,5510.7,5495.92,32.58
"2024-06-27 14:30:00",35234,12.6,28.66,4841.74,4916.11,32.75
"2024-06-27 15:00:00",35235,12.59,28.56,4268.11,4386.99,32.8
"2024-06-27 15:30:00",35236,12.59,28.59,3734.8,3869.13,33.11
"2024-06-27 16:00:00",35237,12.59,28.72,3240.03,3368.52,33.24
"2024-06-27 16:30:00",35238,12.58,28.89,2868.76,2981.5,33.22
"2024-06-27 17:00:00",35239,12.59,28.92,2612.34,2709.54,33.01
"2024-06-27 17:30:00",35240,12.59,28.89,2458.56,2544.77,32.85
"2024-06-27 18:00:00",35241,12.59,28.82,2343.63,2421.03,32.64
"2024-06-27 18:30:00",35242,12.58,28.66,2303.66,2378.13,32.43
"2024-06-27 19:00:00",35243,12.59,28.4,2408.18,2491.81,32.18
"2024-06-27 19:30:00",35244,12.59,28.04,2681.51,2785.72,31.93
"2024-06-27 20:00:00",35245,12.58,27.59,3190.09,3320.3,31.69
"2024-06-27 20:30:00",35246,12.58,27.09,3588.56,3726.58,31.43
"2024-06-27 21:00:00",35247,12.59,26.53,3870.9,4007.1,31.14
"2024-06-27 21:30:00",35248,12.59,25.98,4148.26,4276.11,30.89
"2024-06-27 22:00:00",35249,12.58,25.46,4430.02,4542.55,30.62
"2024-06-27 22:30:00",35250,12.58,24.95,4642.95,4739.2,30.42
"2024-06-27 23:00:00",35251,12.58,24.54,4754.54,4840.74,30.2
"2024-06-27 23:30:00",35252,12.58,24.13,4808.79,4889.82,29.99
"2024-06-28 00:00:00",35253,12.57,23.84,4827.66,4906.97,29.79
"2024-06-28 00:30:00",35254,12.57,23.61,4856.21,4932.72,29.59
"2024-06-28 01:00:00",35255,12.58,23.55,4750.18,4837.74,29.45
"2024-06-28 01:30:00",35256,12.58,23.55,4753.11,4840.57,29.3
"2024-06-28 02:00:00",35257,12.56,23.41,4846.82,4924.92,29.09
"2024-06-28 02:30:00",35258,12.56,23.1,4902.14,4974.36,28.91
"2024-06-28 03:00:00",35259,12.57,22.84,4949.07,5016.16,28.71
"2024-06-28 03:30:00",35260,12.57,22.53,5004.86,5065.48,28.52
"2024-06-28 04:00:00",35261,12.56,22.25,5058.12,5112.3,28.32
"2024-06-28 04:30:00",35262,12.56,21.92,5089.01,5139.4,28.13
"2024-06-28 05:00:00",35263,12.57,21.59,5144.4,5187.61,27.94
"2024-06-28 05:30:00",35264,12.57,21.29,5173.02,5212.45,27.78
"2024-06-28 06:00:00",35265,12.57,21.1,5176.95,5216.02,27.57
"2024-06-28 06:30:00",35266,12.56,20.96,5223.94,5256.52,27.4
"2024-06-28 07:00:00",35267,12.56,20.91,5227.02,5259.28,27.25
"2024-06-28 07:30:00",35268,12.56,20.93,5262.1,5289.28,27.21
"2024-06-28 08:00:00",35269,12.56,21.1,5303.95,5324.96,27.14
"2024-06-28 08:30:00",35270,12.55,21.42,5348.81,5363.01,27.06
"2024-06-28 09:00:00",35271,12.55,21.78,5314.34,5333.92,26.95
"2024-06-28 09:30:00",35272,12.56,22.25,5320.68,5339.33,26.9
"2024-06-28 10:00:00",35273,12.56,22.78,5385.46,5393.48,27.74
"2024-06-28 10:30:00",35274,12.55,23.44,5369.04,5379.07,28.61
"2024-06-28 11:00:00",35275,12.55,24.25,5349.96,5362.63,29.09
"2024-06-28 11:30:00",35276,12.56,24.87,5117.12,5162.66,29.41
"2024-06-28 12:00:00",35277,12.56,25.34,4883.2,4955.98,30.3
"2024-06-28 12:30:00",35278,12.56,25.61,4785.04,4867.22,31.02
"2024-06-28 13:00:00",35279,12.56,25.95,4277.95,4397.76,31.92
"2024-06-28 13:30:00",35280,12.56,26.22,3817.77,3952,32.67
"2024-06-28 14:00:00",35281,12.56,26.37,3352.68,3484.06,33.24
"2024-06-28 14:30:00",35282,12.56,26.44,2895.85,3009.41,33.52
"2024-06-28 15:00:00",35283,12.56,26.5,2659.72,2758.82,33.63
"2024-06-28 15:30:00",35284,12.56,26.47,2471.78,2557.18,33.7
"2024-06-28 16:00:00",35285,12.56,26.37,2428.44,2510.67,33.6
"2024-06-28 16:30:00",35286,12.56,26.25,2531.06,2621.89,33.25
"2024-06-28 17:00:00",35287,12.56,26.13,2666.34,2767.64,32.82
"2024-06-28 17:30:00",35288,12.56,26.01,2831.54,2944.08,32.36
"2024-06-28 18:00:00",35289,12.56,25.83,3032.24,3155.84,31.93
"2024-06-28 18:30:00",35290,12.56,25.49,3365.52,3500.72,31.53
"2024-06-28 19:00:00",35291,12.56,25.1,3557.76,3696.01,31.25
"2024-06-28 19:30:00",35292,12.55,24.75,3859.98,3996.81,30.92
"2024-06-28 20:00:00",35293,12.56,24.3,4048.29,4180.62,30.58
"2024-06-28 20:30:00",35294,12.56,23.75,4172.14,4299.99,30.26
"2024-06-28 21:00:00",35295,12.55,23.21,4216.86,4343.06,29.96
"2024-06-28 21:30:00",35296,12.55,22.75,4195.85,4323.55,29.67
"2024-06-28 22:00:00",35297,12.56,22.31,4257.08,4382.09,29.41
"2024-06-28 22:30:00",35298,12.55,21.97,4232.63,4359.36,29.14
"2024-06-28 23:00:00",35299,12.55,21.59,4196.39,4325.37,28.9
"2024-06-28 23:30:00",35300,12.54,21.21,4179.78,4309.98,28.64
"2024-06-29 00:00:00",35301,12.56,20.85,4211.17,4340.32,28.34
"2024-06-29 00:30:00",35302,12.56,20.58,4290.85,4416.06,28.11
"2024-06-29 01:00:00",35303,12.54,20.31,4347.87,4470.02,27.87
"2024-06-29 01:30:00",35304,12.54,20.18,4436.41,4552.9,27.69
"2024-06-29 02:00:00",35305,12.55,20.08,4460.38,4575.44,27.48
"2024-06-29 02:30:00",35306,12.54,20,4506.85,4618.63,27.33
"2024-06-29 03:00:00",35307,12.54,19.94,4592.97,4697.88,27.21
"2024-06-29 03:30:00",35308,12.54,19.89,4635.67,4737.05,27.06
"2024-06-29 04:00:00",35309,12.54,19.89,4692.87,4789.14,26.95
