"TOA5","TS-SW","CR1000","93112","CR1000.Std.32.03","CPU:JacksonLaneV2.CR1","20188","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","GP_CO2Conc","GP_CO2HiConc","GP_Temp"
"TS","RN","Volts","Deg C","ppm CO2","ppm CO2","Deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2022-04-22 18:30:00",7118,13.22,20.53,3261.72,3317.61,21.822
"2022-04-22 19:00:00",7119,13.21,20.42,5919.49,5875.05,22.446
"2022-04-22 19:30:00",7120,13.2,20,7962.85,7517.01,22.362
"2022-04-22 20:00:00",7121,13.18,19.26,9150.88,8338.12,22.211
"2022-04-22 20:30:00",7122,13.18,18.38,9816.76,8757.58,21.956
"2022-04-22 21:00:00",7123,13.18,17.54,-0,8960.99,21.653
"2022-04-22 21:30:00",7124,13.17,16.76,9575.86,8610.56,21.336
"2022-04-22 22:00:00",7125,13.16,16.02,8884.02,8164.11,21.049
"2022-04-22 22:30:00",7126,13.16,15.43,8515.72,7913.56,20.794
"2022-04-22 23:00:00",7127,13.16,14.9,8263.4,7736.65,20.564
"2022-04-22 23:30:00",7128,13.15,14.44,8178.05,7676.02,20.378
"2022-04-23 00:00:00",7129,13.13,14.16,8131.11,7642.52,20.241
"2022-04-23 00:30:00",7130,13.13,14.09,8195.89,7689.28,20.129
"2022-04-23 01:00:00",7131,13.12,14.04,8048.04,7582.79,20.028
"2022-04-23 01:30:00",7132,13.13,13.97,8012.21,7556.9,19.931
"2022-04-23 02:00:00",7133,13.12,13.8,7925.64,7493.72,19.829
"2022-04-23 02:30:00",7134,13.11,13.68,7889.03,7466.92,19.742
"2022-04-23 03:00:00",7135,13.11,13.59,7807.53,7406.74,19.643
"2022-04-23 03:30:00",7136,13.11,13.49,7817.12,7413.99,19.567
"2022-04-23 04:00:00",7137,13.11,13.42,7768.34,7377.84,19.49
"2022-04-23 04:30:00",7138,13.1,13.05,7738.49,7355.75,19.367
"2022-04-23 05:00:00",7139,13.09,12.53,7773.09,7381.83,19.248
"2022-04-23 05:30:00",7140,13.09,12.02,7755.25,7368.76,19.124
"2022-04-23 06:00:00",7141,13.09,11.59,7754.93,7368.75,18.999
"2022-04-23 06:30:00",7142,13.09,11.18,7777.96,7386.2,18.876
"2022-04-23 07:00:00",7143,13.08,10.95,7829.59,7424.82,18.771
"2022-04-23 07:30:00",7144,13.08,10.99,7837.73,7431.01,18.701
"2022-04-23 08:00:00",7145,13.07,11.47,7828.21,7424.01,18.667
"2022-04-23 08:30:00",7146,13.07,12.3,7866.99,7452.73,18.68
"2022-04-23 09:00:00",7147,13.06,13.26,7848.32,7438.77,18.744
"2022-04-23 09:30:00",7148,13.06,14.49,7826.72,7422.52,18.858
"2022-04-23 10:00:00",7149,13.06,15.58,7863.91,7449.75,19.015
"2022-04-23 10:30:00",7150,13.06,16.89,7917.4,7488.78,19.236
"2022-04-23 11:00:00",7151,13.06,17.44,8011.82,7557.66,19.389
"2022-04-23 11:30:00",7152,13.05,18.89,8118.44,7634.31,19.749
"2022-04-23 12:00:00",7153,13.05,20.18,8201.48,7693.32,20.102
"2022-04-23 12:30:00",7154,13.06,21.07,8299.02,7762.17,20.452
"2022-04-23 13:00:00",7155,13.06,21.78,8671.27,8020.54,20.884
"2022-04-23 13:30:00",7156,13.05,23.01,9070.15,8286.83,21.387
"2022-04-23 14:00:00",7157,13.05,23.58,9429.51,8517.6,21.852
"2022-04-23 14:30:00",7158,13.05,24.07,9825.89,8762.46,22.296
"2022-04-23 15:00:00",7159,13.05,24.01,-0,8996.96,22.563
"2022-04-23 15:30:00",7160,13.04,23.61,-0,9186.38,22.931
"2022-04-23 16:00:00",7161,13.04,22.75,-0,9256.07,22.983
"2022-04-23 16:30:00",7162,13.05,22.11,-0,9284.85,23.095
"2022-04-23 17:00:00",7163,13.04,21.67,-0,9275.55,23.116
"2022-04-23 17:30:00",7164,13.04,21.26,-0,9172.51,23.102
"2022-04-23 18:00:00",7165,13.03,20.8,9969.35,8847.53,23.027
"2022-04-23 18:30:00",7166,13.03,20.13,9525.29,8575.99,22.922
"2022-04-23 19:00:00",7167,13.03,19.42,9584.76,8613.36,22.771
"2022-04-23 19:30:00",7168,13.03,18.56,9596.87,8621.31,22.54
"2022-04-23 20:00:00",7169,13.02,17.62,8637.08,7994.8,22.251
"2022-04-23 20:30:00",7170,13.02,16.74,7997.03,7542.54,21.942
"2022-04-23 21:00:00",7171,13.02,15.95,7653.16,7288.01,21.644
"2022-04-23 21:30:00",7172,13.01,15.26,7496.79,7169.67,21.377
"2022-04-23 22:00:00",7173,13.01,14.68,7353.86,7060,21.133
"2022-04-23 22:30:00",7174,13,14.28,7246.39,6976.6,20.929
"2022-04-23 23:00:00",7175,13,14.06,7123.71,6880.31,20.768
"2022-04-23 23:30:00",7176,13,13.8,7061.77,6831.4,20.593
"2022-04-24 00:00:00",7177,13,13.56,6994.97,6778.33,20.433
"2022-04-24 00:30:00",7178,12.99,13.47,6937.48,6732.36,20.314
"2022-04-24 01:00:00",7179,12.99,13.42,6911.15,6711.32,20.205
"2022-04-24 01:30:00",7180,12.99,13.47,6791.36,6614.33,20.12
"2022-04-24 02:00:00",7181,12.99,13.4,6725.85,6560.93,20.017
"2022-04-24 02:30:00",7182,12.97,13.16,6577.08,6438.41,19.888
"2022-04-24 03:00:00",7183,12.97,12.91,6501.12,6375.31,19.774
"2022-04-24 03:30:00",7184,12.97,12.7,6460.72,6341.65,19.661
"2022-04-24 04:00:00",7185,12.97,12.49,6451.66,6334.19,19.551
"2022-04-24 04:30:00",7186,12.97,12.26,6459.32,6340.76,19.442
"2022-04-24 05:00:00",7187,12.96,12.02,6437.72,6322.77,19.344
"2022-04-24 05:30:00",7188,12.96,11.89,6434.44,6320.15,19.252
"2022-04-24 06:00:00",7189,12.96,11.75,6468.6,6348.93,19.168
"2022-04-24 06:30:00",7190,12.96,11.59,6477.54,6356.54,19.081
"2022-04-24 07:00:00",7191,12.95,11.52,6470.25,6350.54,19
"2022-04-24 07:30:00",7192,12.95,11.61,6485.7,6363.56,18.943
"2022-04-24 08:00:00",7193,12.95,12.14,6476.09,6355.56,18.922
"2022-04-24 08:30:00",7194,12.95,13.12,6487.91,6365.39,18.961
"2022-04-24 09:00:00",7195,12.95,14.3,6498.17,6373.84,19.053
"2022-04-24 09:30:00",7196,12.95,16.12,6597.48,6456.27,19.217
"2022-04-24 10:00:00",7197,12.94,18.23,6670.35,6516.17,19.426
"2022-04-24 10:30:00",7198,12.95,19.78,6802.01,6623.46,19.792
"2022-04-24 11:00:00",7199,12.95,21.72,6976.73,6764.02,20.22
"2022-04-24 11:30:00",7200,12.94,23.1,7229.49,6963.52,20.824
"2022-04-24 12:00:00",7201,12.95,25.04,7527.62,7193,21.537
"2022-04-24 12:30:00",7202,12.95,27.06,8004.71,7547.34,22.536
"2022-04-24 13:00:00",7203,12.96,28.07,8403.21,7830.94,23.572
"2022-04-24 13:30:00",7204,12.95,28.43,8736.14,8059.65,24.349
"2022-04-24 14:00:00",7205,12.95,27.82,9084.19,8290.98,24.92
"2022-04-24 14:30:00",7206,12.96,26.25,9334.75,8452.37,25.547
"2022-04-24 15:00:00",7207,12.95,25.46,9698.31,8679.68,25.898
"2022-04-24 15:30:00",7208,12.95,24.92,9616.76,8629.14,26.221
"2022-04-24 16:00:00",7209,12.94,24.63,9857.1,8775.98,26.491
"2022-04-24 16:30:00",7210,12.94,24.13,-0,9016.99,26.348
"2022-04-24 17:00:00",7211,12.95,24.36,-0,8991.62,26.057
"2022-04-24 17:30:00",7212,12.94,24.13,-0,9307.56,25.939
"2022-04-24 18:00:00",7213,12.94,22.84,-0,9307.22,25.707
"2022-04-24 18:30:00",7214,12.93,21.62,9591.29,8614.07,25.323
"2022-04-24 19:00:00",7215,12.94,20.56,8301.04,7757.73,24.914
"2022-04-24 19:30:00",7216,12.93,19.55,7603.22,7247.36,24.496
"2022-04-24 20:00:00",7217,12.92,18.56,7410.06,7100.27,24.083
"2022-04-24 20:30:00",7218,12.92,17.64,7149.72,6897.74,23.7
"2022-04-24 21:00:00",7219,12.92,16.81,6996.58,6776.45,23.344
"2022-04-24 21:30:00",7220,12.92,16.14,6974.9,6759.36,23.022
"2022-04-24 22:00:00",7221,12.92,15.58,6921.42,6716.71,22.703
"2022-04-24 22:30:00",7222,12.91,15.12,6889.23,6691.01,22.445
"2022-04-24 23:00:00",7223,12.9,14.75,6873.9,6678.84,22.205
"2022-04-24 23:30:00",7224,12.91,14.44,6833,6645.97,21.983
"2022-04-25 00:00:00",7225,12.91,14.13,6786.62,6608.48,21.779
"2022-04-25 00:30:00",7226,12.9,13.9,6684.69,6525.29,21.574
"2022-04-25 01:00:00",7227,12.9,13.64,6637.52,6486.62,21.401
"2022-04-25 01:30:00",7228,12.9,13.4,6553.67,6417.34,21.234
"2022-04-25 02:00:00",7229,12.9,13.19,6493.39,6367.29,21.07
"2022-04-25 02:30:00",7230,12.89,12.95,6418.74,6304.89,20.912
"2022-04-25 03:00:00",7231,12.89,12.72,6381.2,6273.45,20.75
"2022-04-25 03:30:00",7232,12.88,12.49,6344.19,6242.34,20.608
"2022-04-25 04:00:00",7233,12.89,12.26,6288.93,6195.62,20.471
"2022-04-25 04:30:00",7234,12.88,12.02,6241.52,6155.38,20.337
"2022-04-25 05:00:00",7235,12.88,11.82,6229.99,6145.68,20.211
"2022-04-25 05:30:00",7236,12.88,11.59,6211.82,6130.29,20.078
"2022-04-25 06:00:00",7237,12.88,11.4,6237.81,6152.66,19.956
"2022-04-25 06:30:00",7238,12.88,11.36,6254.83,6167.29,19.858
"2022-04-25 07:00:00",7239,12.86,11.47,6259.99,6171.79,19.785
"2022-04-25 07:30:00",7240,12.86,11.84,6229.27,6145.62,19.74
"2022-04-25 08:00:00",7241,12.87,12.49,6186.87,6109.31,19.747
"2022-04-25 08:30:00",7242,12.86,13.4,6184.04,6106.81,19.807
"2022-04-25 09:00:00",7243,12.86,14.49,6222.54,6139.67,19.901
"2022-04-25 09:30:00",7244,12.86,15.24,6246.4,6159.93,20.003
"2022-04-25 10:00:00",7245,12.86,15.51,6291.18,6197.94,20.113
"2022-04-25 10:30:00",7246,12.86,15.77,6351.41,6248.88,20.23
"2022-04-25 11:00:00",7247,12.86,16.36,6435.57,6319.63,20.386
"2022-04-25 11:30:00",7248,12.85,17.72,6470.47,6348.66,20.584
"2022-04-25 12:00:00",7249,12.86,19,6569.58,6430.96,20.879
"2022-04-25 12:30:00",7250,12.87,20.53,6681.86,6523.05,21.489
"2022-04-25 13:00:00",7251,12.87,22.64,6933.55,6727.05,22.107
"2022-04-25 13:30:00",7252,12.86,23.87,7533.89,7196.31,22.75
"2022-04-25 14:00:00",7253,12.86,23.99,8309.96,7765.3,23.548
"2022-04-25 14:30:00",7254,12.86,23.18,8823.51,8118.68,24.304
"2022-04-25 15:00:00",7255,12.87,22.87,9042.79,8263.96,24.778
"2022-04-25 15:30:00",7256,12.87,22.45,9040.3,8262.14,24.982
"2022-04-25 16:00:00",7257,12.86,21.72,9182.01,8354.72,24.907
"2022-04-25 16:30:00",7258,12.86,20.83,9264.29,8407.91,24.827
"2022-04-25 17:00:00",7259,12.87,19.97,8691.25,8028.79,24.718
"2022-04-25 17:30:00",7260,12.86,19.36,8217.05,7698.36,24.539
"2022-04-25 18:00:00",7261,12.85,19,7730.64,7343.29,24.305
"2022-04-25 18:30:00",7262,12.85,18.56,7630.91,7268.59,24.077
"2022-04-25 19:00:00",7263,12.86,18.12,7479.19,7153.51,23.858
"2022-04-25 19:30:00",7264,12.86,17.62,7287.33,7005.65,23.588
"2022-04-25 20:00:00",7265,12.85,17.11,6969.62,6754.9,23.309
"2022-04-25 20:30:00",7266,12.85,16.71,6717.67,6550.96,23.064
"2022-04-25 21:00:00",7267,12.84,16.36,6637.25,6485.05,22.835
"2022-04-25 21:30:00",7268,12.85,16.09,6536.57,6401.81,22.636
"2022-04-25 22:00:00",7269,12.85,15.92,6441.87,6322.83,22.459
"2022-04-25 22:30:00",7270,12.84,15.77,6380.73,6271.54,22.306
"2022-04-25 23:00:00",7271,12.84,15.73,6294.67,6198.82,22.178
"2022-04-25 23:30:00",7272,12.84,15.7,6222.92,6137.8,22.069
"2022-04-26 00:00:00",7273,12.84,15.7,6216.7,6132.56,21.976
"2022-04-26 00:30:00",7274,12.84,15.7,6204.36,6122.08,21.889
"2022-04-26 01:00:00",7275,12.83,15.7,6201.16,6119.41,21.811
"2022-04-26 01:30:00",7276,12.84,15.7,6232.25,6146.05,21.738
"2022-04-26 02:00:00",7277,12.84,15.73,6288.31,6193.87,21.676
"2022-04-26 02:30:00",7278,12.83,15.73,6350.56,6246.69,21.611
"2022-04-26 03:00:00",7279,12.83,15.68,6384.72,6275.58,21.549
"2022-04-26 03:30:00",7280,12.83,15.6,6397.39,6286.33,21.484
"2022-04-26 04:00:00",7281,12.83,15.51,6487.74,6362.2,21.417
"2022-04-26 04:30:00",7282,12.83,15.41,6547.68,6412.24,21.352
"2022-04-26 05:00:00",7283,12.82,15.34,6561.46,6423.76,21.289
"2022-04-26 05:30:00",7284,12.82,15.24,6560.37,6422.93,21.227
"2022-04-26 06:00:00",7285,12.83,15.19,6611.58,6465.44,21.179
"2022-04-26 06:30:00",7286,12.83,15.17,6588.59,6446.44,21.139
"2022-04-26 07:00:00",7287,12.81,15.17,6555.4,6418.93,21.098
"2022-04-26 07:30:00",7288,12.81,15.19,6525.41,6394,21.072
"2022-04-26 08:00:00",7289,12.82,15.36,6510.39,6381.48,21.073
"2022-04-26 08:30:00",7290,12.82,15.63,6433.22,6316.85,21.104
"2022-04-26 09:00:00",7291,12.82,16.07,6435.47,6318.67,21.168
