"TOA5","TS-SW","CR1000","93112","CR1000.Std.32.03","CPU:JacksonLn_deployment.CR1","31208","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2021-04-15 00:00:00",0,12.75
"2021-04-16 00:00:00",1,12.73
"2021-04-17 00:00:00",2,12.7
"2021-04-18 00:00:00",3,12.69
"2021-04-19 00:00:00",4,12.67
"2021-04-20 00:00:00",5,12.66
"2021-04-21 00:00:00",6,12.64
"2021-04-22 00:00:00",7,12.62
"2021-04-23 00:00:00",8,12.6
"2021-04-24 00:00:00",9,12.58
"2021-04-25 00:00:00",10,12.58
"2021-04-26 00:00:00",11,12.58
"2021-04-27 00:00:00",12,12.56
"2021-04-28 00:00:00",13,12.55
"2021-04-29 00:00:00",14,12.56
"2021-04-30 00:00:00",15,12.55
"2021-05-01 00:00:00",16,12.52
"2021-05-02 00:00:00",0,12.51
"2021-05-03 00:00:00",1,12.49
"2021-05-04 00:00:00",2,12.49
"2021-05-05 00:00:00",3,12.49
"2021-05-06 00:00:00",4,12.47
"2021-05-07 00:00:00",5,12.44
"2021-05-08 00:00:00",6,12.42
"2021-05-09 00:00:00",7,12.4
"2021-05-10 00:00:00",8,12.39
"2021-05-11 00:00:00",9,12.4
"2021-05-12 00:00:00",10,12.38
"2021-05-13 00:00:00",11,12.37
"2021-05-14 00:00:00",12,12.35
"2021-05-15 00:00:00",13,12.35
"2021-05-16 00:00:00",14,12.34
"2021-05-17 00:00:00",15,12.32
"2021-05-18 00:00:00",16,12.32
"2021-05-19 00:00:00",17,12.31
"2021-05-20 00:00:00",18,12.3
