7450-718499
OS REV: 1.05 Sensor Cal: 1575996871
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1685343780,+3.15,+16.757, +4.079,+0.926
1685344680,+3.15,+16.706, +4.693,+0.926
1685345580,+3.15,+16.655, +4.507,+0.926
1685346480,+3.15,+16.596, +4.392,+0.926
1685347380,+3.15,+16.579, +4.440,+0.925
1685348280,+3.15,+16.536, +4.592,+0.925
1685349180,+3.15,+16.511, +4.604,+0.926
1685350080,+3.15,+16.451, +4.640,+0.926
1685350980,+3.15,+16.426, +4.818,+0.925
1685351880,+3.15,+16.400, +4.839,+0.925
1685352780,+3.15,+16.358, +4.795,+0.926
1685353680,+3.15,+16.341, +4.717,+0.926
1685354580,+3.15,+16.323, +4.739,+0.926
1685355480,+3.15,+16.306, +4.747,+0.926
1685356380,+3.15,+16.298, +4.815,+0.925
1685357280,+3.15,+16.298, +5.068,+0.925
1685358180,+3.16,+16.281, +4.752,+0.925
1685359080,+3.15,+16.306, +4.532,+0.926
1685359980,+3.15,+16.341, +4.505,+0.926
1685360880,+3.15,+16.349, +4.570,+0.926
1685361780,+3.15,+16.375, +4.791,+0.926
1685362680,+3.15,+16.400, +4.755,+0.925
1685363580,+3.15,+16.426, +4.317,+0.925
1685364480,+3.15,+16.451, +4.439,+0.926
1685365380,+3.15,+16.494, +4.445,+0.925
1685366280,+3.15,+16.579, +4.506,+0.925
1685367180,+3.15,+16.630, +4.454,+0.926
1685368080,+3.15,+16.723, +4.314,+0.926
1685368980,+3.15,+16.808, +4.295,+0.926
1685369880,+3.16,+16.927, +4.385,+0.926
1685370780,+3.16,+17.113, +4.291,+0.926
1685371680,+3.15,+17.249, +4.462,+0.926
1685372580,+3.15,+17.384, +4.296,+0.926
1685373480,+3.15,+17.561, +4.247,+0.926
1685374380,+3.15,+17.663, +3.944,+0.926
1685375280,+3.15,+17.739, +4.155,+0.926
1685376180,+3.15,+17.907, +4.125,+0.927
1685377080,+3.15,+18.059, +4.367,+0.927
1685377980,+3.15,+18.084, +4.239,+0.926
1685378880,+3.15,+18.312, +4.230,+0.926
1685379780,+3.15,+18.362, +3.773,+0.927
1685380680,+3.15,+18.388, +3.531,+0.927
1685381580,+3.15,+18.547, +3.603,+0.927
1685382480,+3.15,+18.615, +3.434,+0.927
1685383380,+3.15,+18.707, +3.280,+0.927
1685384280,+3.15,+18.808, +3.140,+0.927
1685385180,+3.15,+18.993, +3.448,+0.925
1685386080,+3.15,+19.152, +3.344,+0.926
1685386980,+3.15,+19.211, +3.070,+0.926
1685387880,+3.15,+19.286, +2.831,+0.927
1685388780,+3.15,+19.429, +2.737,+0.926
1685389680,+3.15,+19.488, +2.648,+0.926
1685390580,+3.15,+19.496, +2.550,+0.928
1685391480,+3.15,+19.521, +2.330,+0.925
1685392380,+3.15,+19.479, +2.305,+0.928
1685393280,+3.15,+19.538, +2.746,+0.924
1685394180,+3.15,+19.680, +3.484,+0.927
1685395080,+3.15,+19.655, +3.379,+0.927
1685395980,+3.15,+19.672, +3.427,+0.927
1685396880,+3.15,+19.647, +3.475,+0.927
1685397780,+3.15,+19.622, +3.497,+0.927
1685398680,+3.15,+19.672, +3.874,+0.928
1685399580,+3.15,+19.655, +3.905,+0.927
1685400480,+3.15,+19.571, +3.991,+0.928
1685401380,+3.15,+19.496, +3.899,+0.928
1685402280,+3.15,+19.446, +3.952,+0.927
1685403180,+3.15,+19.387, +4.171,+0.928
1685404080,+3.15,+19.345, +4.247,+0.928
1685404980,+3.15,+19.278, +4.043,+0.928
1685405880,+3.15,+19.177, +3.792,+0.927
1685406780,+3.15,+19.110, +4.002,+0.927
1685407680,+3.15,+19.018, +3.976,+0.927
1685408580,+3.15,+18.951, +3.604,+0.927
1685409480,+3.15,+18.883, +3.519,+0.927
1685410380,+3.15,+18.799, +3.740,+0.927
1685411280,+3.15,+18.715, +4.102,+0.927
1685412180,+3.15,+18.623, +4.066,+0.927
1685413080,+3.15,+18.522, +4.458,+0.927
1685413980,+3.15,+18.438, +4.598,+0.927
1685414880,+3.15,+18.379, +4.116,+0.927
1685415780,+3.15,+18.287, +4.094,+0.927
1685416680,+3.15,+18.228, +4.078,+0.927
1685417580,+3.15,+18.143, +3.998,+0.927
1685418480,+3.15,+18.059, +3.998,+0.927
1685419380,+3.15,+18.009, +3.549,+0.927
1685420280,+3.15,+17.950, +3.751,+0.926
1685421180,+3.15,+17.865, +4.191,+0.927
1685422080,+3.15,+17.806, +4.208,+0.927
1685422980,+3.15,+17.764, +4.492,+0.927
1685423880,+3.15,+17.696, +4.129,+0.927
1685424780,+3.15,+17.629, +4.369,+0.927
1685425680,+3.15,+17.561, +4.199,+0.927
1685426580,+3.15,+17.477, +4.326,+0.927
1685427480,+3.15,+17.443, +4.175,+0.927
1685428380,+3.15,+17.367, +4.058,+0.927
1685429280,+3.15,+17.316, +3.909,+0.927
1685430180,+3.15,+17.257, +3.890,+0.926
