MiniDOT Logger Concatenated Data File
Sensor:             7450-718499
Concatenation Date: 2020Sep19 11:35:30 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1599410760,           2020-09-06 16:46:00,           2020-09-06 12:46:00,      3.480000,     31.541000,          7.411000,                   100.665877,      0.993000
                1599411660,           2020-09-06 17:01:00,           2020-09-06 13:01:00,      3.500000,     22.005000,          0.816000,                     9.333821,      0.984000
                1599412560,           2020-09-06 17:16:00,           2020-09-06 13:16:00,      3.500000,     21.629000,          0.686000,                     7.790042,      0.987000
                1599413460,           2020-09-06 17:31:00,           2020-09-06 13:31:00,      3.500000,     21.412000,          0.594000,                     6.716976,      0.986000
                1599414360,           2020-09-06 17:46:00,           2020-09-06 13:46:00,      3.500000,     21.646000,          0.684000,                     7.769889,      0.987000
                1599415260,           2020-09-06 18:01:00,           2020-09-06 14:01:00,      3.500000,     21.663000,          0.739000,                     8.397424,      0.988000
                1599416160,           2020-09-06 18:16:00,           2020-09-06 14:16:00,      3.500000,     21.738000,          0.758000,                     8.625832,      0.988000
                1599417060,           2020-09-06 18:31:00,           2020-09-06 14:31:00,      3.500000,     21.847000,          0.726000,                     8.279097,      0.988000
                1599417960,           2020-09-06 18:46:00,           2020-09-06 14:46:00,      3.500000,     21.913000,          0.626000,                     7.147822,      0.987000
                1599418860,           2020-09-06 19:01:00,           2020-09-06 15:01:00,      3.500000,     22.031000,          0.656000,                     7.507417,      0.987000
                1599419760,           2020-09-06 19:16:00,           2020-09-06 15:16:00,      3.500000,     22.106000,          0.650000,                     7.449493,      0.987000
                1599420660,           2020-09-06 19:31:00,           2020-09-06 15:31:00,      3.500000,     22.164000,          0.662000,                     7.595484,      0.987000
                1599421560,           2020-09-06 19:46:00,           2020-09-06 15:46:00,      3.510000,     22.214000,          0.635000,                     7.292697,      0.986000
                1599422460,           2020-09-06 20:01:00,           2020-09-06 16:01:00,      3.510000,     22.248000,          0.557000,                     6.401076,      0.986000
                1599423360,           2020-09-06 20:16:00,           2020-09-06 16:16:00,      3.510000,     22.323000,          0.636000,                     7.319467,      0.987000
                1599424260,           2020-09-06 20:31:00,           2020-09-06 16:31:00,      3.510000,     22.340000,          0.616000,                     7.091605,      0.987000
                1599425160,           2020-09-06 20:46:00,           2020-09-06 16:46:00,      3.510000,     22.373000,          0.603000,                     6.946334,      0.986000
                1599426060,           2020-09-06 21:01:00,           2020-09-06 17:01:00,      3.510000,     22.398000,          0.601000,                     6.926609,      0.987000
                1599426960,           2020-09-06 21:16:00,           2020-09-06 17:16:00,      3.510000,     22.423000,          0.584000,                     6.733903,      0.986000
                1599427860,           2020-09-06 21:31:00,           2020-09-06 17:31:00,      3.510000,     22.415000,          0.566000,                     6.525352,      0.986000
                1599428760,           2020-09-06 21:46:00,           2020-09-06 17:46:00,      3.510000,     22.440000,          0.585000,                     6.747628,      0.986000
                1599429660,           2020-09-06 22:01:00,           2020-09-06 18:01:00,      3.510000,     22.448000,          0.570000,                     6.575618,      0.986000
                1599430560,           2020-09-06 22:16:00,           2020-09-06 18:16:00,      3.510000,     22.432000,          0.704000,                     8.118979,      0.987000
                1599431460,           2020-09-06 22:31:00,           2020-09-06 18:31:00,      3.510000,     22.440000,          0.855000,                     9.861917,      0.988000
                1599432360,           2020-09-06 22:46:00,           2020-09-06 18:46:00,      3.510000,     22.415000,          0.934000,                    10.767983,      0.988000
                1599433260,           2020-09-06 23:01:00,           2020-09-06 19:01:00,      3.510000,     22.440000,          0.946000,                    10.911548,      0.989000
                1599434160,           2020-09-06 23:16:00,           2020-09-06 19:16:00,      3.510000,     22.398000,          1.202000,                    13.853218,      0.989000
                1599435060,           2020-09-06 23:31:00,           2020-09-06 19:31:00,      3.510000,     22.365000,          2.142000,                    24.671256,      0.990000
                1599435960,           2020-09-06 23:46:00,           2020-09-06 19:46:00,      3.510000,     22.323000,          2.117000,                    24.363698,      0.990000
                1599436860,           2020-09-07 00:01:00,           2020-09-06 20:01:00,      3.510000,     22.256000,          2.201000,                    25.297901,      0.990000
                1599437760,           2020-09-07 00:16:00,           2020-09-06 20:16:00,      3.510000,     22.189000,          1.684000,                    19.330722,      0.989000
                1599438660,           2020-09-07 00:31:00,           2020-09-06 20:31:00,      3.510000,     22.089000,          1.125000,                    12.889139,      0.987000
                1599439560,           2020-09-07 00:46:00,           2020-09-06 20:46:00,      3.510000,     21.980000,          1.111000,                    12.702063,      0.988000
                1599440460,           2020-09-07 01:01:00,           2020-09-06 21:01:00,      3.510000,     21.888000,          1.831000,                    20.896729,      0.990000
                1599441360,           2020-09-07 01:16:00,           2020-09-06 21:16:00,      3.510000,     21.788000,          1.634000,                    18.612451,      0.990000
                1599442260,           2020-09-07 01:31:00,           2020-09-06 21:31:00,      3.510000,     21.696000,          1.042000,                    11.848046,      0.988000
                1599443160,           2020-09-07 01:46:00,           2020-09-06 21:46:00,      3.510000,     21.613000,          1.579000,                    17.925168,      0.990000
                1599444060,           2020-09-07 02:01:00,           2020-09-06 22:01:00,      3.520000,     21.529000,          1.730000,                    19.607400,      0.990000
                1599444960,           2020-09-07 02:16:00,           2020-09-06 22:16:00,      3.520000,     21.445000,          1.435000,                    16.237445,      0.990000
                1599445860,           2020-09-07 02:31:00,           2020-09-06 22:31:00,      3.520000,     21.362000,          1.851000,                    20.910846,      0.990000
                1599446760,           2020-09-07 02:46:00,           2020-09-06 22:46:00,      3.520000,     21.287000,          1.941000,                    21.895601,      0.990000
                1599447660,           2020-09-07 03:01:00,           2020-09-06 23:01:00,      3.520000,     21.186000,          1.952000,                    21.976392,      0.990000
