MiniDOT Logger Concatenated Data File
Sensor:             7450-718499
Concatenation Date: 2022Aug18 14:12:37 GMT-05:00

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,                     GMT-05:00,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1645540140,           2022-02-22 14:29:00,           2022-02-22 09:29:00,      3.220000,     19.001000,          9.181000,                    98.977785,      0.950000
                1645541040,           2022-02-22 14:44:00,           2022-02-22 09:44:00,      3.220000,     17.992000,          9.349000,                    98.739729,      0.948000
                1645541940,           2022-02-22 14:59:00,           2022-02-22 09:59:00,      3.230000,     10.548000,          7.129000,                    63.974138,      0.937000
                1645542840,           2022-02-22 15:14:00,           2022-02-22 10:14:00,      3.230000,      7.939000,          7.744000,                    65.292217,      0.941000
                1645543740,           2022-02-22 15:29:00,           2022-02-22 10:29:00,      3.230000,      7.864000,          7.103000,                    59.777854,      0.943000
                1645544640,           2022-02-22 15:44:00,           2022-02-22 10:44:00,      3.230000,      7.939000,          7.301000,                    61.557138,      0.944000
                1645545540,           2022-02-22 15:59:00,           2022-02-22 10:59:00,      3.230000,      7.987000,          7.214000,                    60.895062,      0.944000
                1645546440,           2022-02-22 16:14:00,           2022-02-22 11:14:00,      3.220000,      7.579000,          7.040000,                    58.834279,      0.944000
                1645547340,           2022-02-22 16:29:00,           2022-02-22 11:29:00,      3.230000,      7.864000,          7.062000,                    59.432804,      0.944000
                1645548240,           2022-02-22 16:44:00,           2022-02-22 11:44:00,      3.220000,      8.391000,          6.971000,                    59.425767,      0.944000
                1645549140,           2022-02-22 16:59:00,           2022-02-22 11:59:00,      3.230000,      8.269000,          6.773000,                    57.566988,      0.944000
                1645550040,           2022-02-22 17:14:00,           2022-02-22 12:14:00,      3.230000,      8.213000,          6.538000,                    55.493933,      0.944000
                1645550940,           2022-02-22 17:29:00,           2022-02-22 12:29:00,      3.220000,      8.578000,          6.549000,                    56.081845,      0.944000
                1645551840,           2022-02-22 17:44:00,           2022-02-22 12:44:00,      3.220000,      8.606000,          6.562000,                    56.231227,      0.944000
                1645552740,           2022-02-22 17:59:00,           2022-02-22 12:59:00,      3.220000,      8.812000,          6.394000,                    55.064621,      0.944000
                1645553640,           2022-02-22 18:14:00,           2022-02-22 13:14:00,      3.230000,      9.081000,          6.594000,                    57.155195,      0.944000
                1645554540,           2022-02-22 18:29:00,           2022-02-22 13:29:00,      3.220000,      9.543000,          6.849000,                    60.023686,      0.944000
                1645555440,           2022-02-22 18:44:00,           2022-02-22 13:44:00,      3.220000,      9.956000,          7.120000,                    63.011910,      0.944000
                1645556340,           2022-02-22 18:59:00,           2022-02-22 13:59:00,      3.220000,      9.837000,          7.427000,                    65.544395,      0.943000
                1645557240,           2022-02-22 19:14:00,           2022-02-22 14:14:00,      3.230000,     10.175000,          7.579000,                    67.420801,      0.944000
                1645558140,           2022-02-22 19:29:00,           2022-02-22 14:29:00,      3.230000,     10.157000,          7.661000,                    68.121427,      0.943000
                1645559040,           2022-02-22 19:44:00,           2022-02-22 14:44:00,      3.230000,     10.357000,          7.711000,                    68.888546,      0.943000
                1645559940,           2022-02-22 19:59:00,           2022-02-22 14:59:00,      3.230000,     10.129000,          7.668000,                    68.138798,      0.943000
                1645560840,           2022-02-22 20:14:00,           2022-02-22 15:14:00,      3.220000,      9.864000,          7.481000,                    66.063099,      0.943000
                1645561740,           2022-02-22 20:29:00,           2022-02-22 15:29:00,      3.230000,     10.321000,          7.723000,                    68.937581,      0.944000
                1645562640,           2022-02-22 20:44:00,           2022-02-22 15:44:00,      3.230000,     10.148000,          7.689000,                    68.355939,      0.943000
                1645563540,           2022-02-22 20:59:00,           2022-02-22 15:59:00,      3.220000,      9.736000,          7.388000,                    65.044573,      0.943000
                1645564440,           2022-02-22 21:14:00,           2022-02-22 16:14:00,      3.220000,     10.011000,          7.565000,                    67.037037,      0.943000
                1645565340,           2022-02-22 21:29:00,           2022-02-22 16:29:00,      3.230000,     10.202000,          7.437000,                    66.199583,      0.943000
                1645566240,           2022-02-22 21:44:00,           2022-02-22 16:44:00,      3.230000,     10.284000,          7.436000,                    66.318189,      0.943000
                1645567140,           2022-02-22 21:59:00,           2022-02-22 16:59:00,      3.230000,     10.439000,          7.428000,                    66.487759,      0.943000
