MiniDOT Logger Concatenated Data File
Sensor:             7450-718499
Concatenation Date: 2023Jan31 11:50:47 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1660850940,           2022-08-18 19:29:00,           2022-08-18 15:29:00,      3.120000,     27.889000,          7.853000,                   100.129531,      0.945000
                1660851840,           2022-08-18 19:44:00,           2022-08-18 15:44:00,      3.120000,     27.183000,          7.942000,                    99.999869,      0.944000
                1660852740,           2022-08-18 19:59:00,           2022-08-18 15:59:00,      3.120000,     26.776000,          8.003000,                   100.035306,      0.944000
                1660853640,           2022-08-18 20:14:00,           2022-08-18 16:14:00,      3.120000,     26.573000,          8.041000,                   100.143657,      0.944000
                1660854540,           2022-08-18 20:29:00,           2022-08-18 16:29:00,      3.120000,     26.446000,          8.052000,                   100.051135,      0.944000
                1660855440,           2022-08-18 20:44:00,           2022-08-18 16:44:00,      3.120000,     26.192000,          8.050000,                    99.567755,      0.943000
                1660856340,           2022-08-18 20:59:00,           2022-08-18 16:59:00,      3.120000,     26.099000,          8.066000,                    99.597564,      0.943000
                1660857240,           2022-08-18 21:14:00,           2022-08-18 17:14:00,      3.120000,     25.990000,          8.044000,                    99.129527,      0.943000
                1660858140,           2022-08-18 21:29:00,           2022-08-18 17:29:00,      3.120000,     25.585000,          8.111000,                    99.220263,      0.942000
                1660859040,           2022-08-18 21:44:00,           2022-08-18 17:44:00,      3.120000,     25.442000,          8.101000,                    98.839069,      0.942000
                1660859940,           2022-08-18 21:59:00,           2022-08-18 17:59:00,      3.120000,     25.172000,          8.143000,                    98.860638,      0.942000
                1660860840,           2022-08-18 22:14:00,           2022-08-18 18:14:00,      3.120000,     24.895000,          8.201000,                    99.058202,      0.942000
                1660861740,           2022-08-18 22:29:00,           2022-08-18 18:29:00,      3.120000,     24.660000,          8.213000,                    98.773207,      0.942000
                1660862640,           2022-08-18 22:44:00,           2022-08-18 18:44:00,      3.120000,     24.349000,          8.256000,                    98.719033,      0.941000
                1660863540,           2022-08-18 22:59:00,           2022-08-18 18:59:00,      3.120000,     24.072000,          8.298000,                    98.710419,      0.940000
                1660864440,           2022-08-18 23:14:00,           2022-08-18 19:14:00,      3.120000,     23.804000,          8.320000,                    98.477149,      0.940000
                1660865340,           2022-08-18 23:29:00,           2022-08-18 19:29:00,      3.120000,     23.519000,          8.362000,                    98.445836,      0.939000
                1660866240,           2022-08-18 23:44:00,           2022-08-18 19:44:00,      3.120000,     23.193000,          8.423000,                    98.555880,      0.939000
                1660867140,           2022-08-18 23:59:00,           2022-08-18 19:59:00,      3.120000,     22.867000,          8.465000,                    98.436975,      0.939000
                1660868040,           2022-08-19 00:14:00,           2022-08-18 20:14:00,      3.120000,     22.532000,          8.532000,                    98.584782,      0.938000
                1660868940,           2022-08-19 00:29:00,           2022-08-18 20:29:00,      3.120000,     22.081000,          8.591000,                    98.412049,      0.937000
                1660869840,           2022-08-19 00:44:00,           2022-08-18 20:44:00,      3.120000,     21.696000,          8.636000,                    98.195510,      0.936000
                1660870740,           2022-08-19 00:59:00,           2022-08-18 20:59:00,      3.120000,     21.420000,          8.679000,                    98.157738,      0.936000
