7450-712774
OS REV: 1.05 Sensor Cal: 1575994751
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1728241620,+3.23,+20.243, +8.392,+1.034
1728242520,+3.23,+20.218, +8.397,+1.035
1728243420,+3.23,+20.201, +8.391,+1.034
1728244320,+3.23,+20.210, +8.384,+1.034
1728245220,+3.23,+20.201, +8.388,+1.034
1728246120,+3.23,+20.193, +8.386,+1.034
1728247020,+3.23,+20.184, +8.384,+1.034
1728247920,+3.23,+20.168, +8.387,+1.034
1728248820,+3.23,+20.168, +8.380,+1.034
1728249720,+3.23,+20.151, +8.388,+1.034
1728250620,+3.23,+20.126, +8.395,+1.035
1728251520,+3.23,+20.134, +8.393,+1.035
1728252420,+3.23,+20.143, +8.389,+1.035
1728253320,+3.23,+20.134, +8.389,+1.034
1728254220,+3.23,+20.134, +8.385,+1.034
1728255120,+3.23,+20.134, +8.382,+1.034
1728256020,+3.23,+20.143, +8.381,+1.034
1728256920,+3.23,+20.134, +8.385,+1.034
1728257820,+3.23,+20.134, +8.382,+1.034
1728258720,+3.23,+20.134, +8.381,+1.034
1728259620,+3.23,+20.143, +8.382,+1.034
1728260520,+3.23,+20.126, +8.383,+1.034
1728261420,+3.23,+20.134, +8.388,+1.035
1728262320,+3.23,+20.151, +8.382,+1.035
1728263220,+3.23,+20.134, +8.383,+1.035
1728264120,+3.23,+20.126, +8.384,+1.035
1728265020,+3.23,+20.117, +8.377,+1.034
1728265920,+3.23,+20.126, +8.371,+1.034
1728266820,+3.23,+20.126, +8.377,+1.035
1728267720,+3.23,+20.126, +8.377,+1.035
1728268620,+3.23,+20.126, +8.367,+1.034
1728269520,+3.23,+20.109, +8.373,+1.035
1728270420,+3.23,+20.117, +8.372,+1.035
1728271320,+3.23,+20.084, +8.368,+1.034
1728272220,+3.23,+20.092, +8.368,+1.034
1728273120,+3.23,+20.101, +8.367,+1.034
1728274020,+3.23,+20.067, +8.366,+1.034
1728274920,+3.23,+20.067, +8.373,+1.034
1728275820,+3.23,+20.067, +8.372,+1.035
1728276720,+3.23,+20.076, +8.373,+1.034
1728277620,+3.23,+20.092, +8.368,+1.035
1728278520,+3.23,+20.101, +8.356,+1.034
1728279420,+3.23,+20.109, +8.362,+1.035
1728280320,+3.23,+20.084, +8.362,+1.034
1728281220,+3.23,+20.084, +8.363,+1.034
1728282120,+3.23,+20.092, +8.366,+1.035
1728283020,+3.23,+20.076, +8.365,+1.035
1728283920,+3.23,+20.101, +8.360,+1.035
1728284820,+3.23,+20.101, +8.359,+1.035
1728285720,+3.23,+20.076, +8.366,+1.035
1728286620,+3.23,+20.101, +8.360,+1.035
1728287520,+3.23,+20.076, +8.360,+1.034
1728288420,+3.23,+20.084, +8.360,+1.034
1728289320,+3.23,+20.067, +8.364,+1.035
1728290220,+3.23,+20.076, +8.359,+1.034
1728291120,+3.23,+20.067, +8.362,+1.034
1728292020,+3.23,+20.076, +8.355,+1.034
1728292920,+3.23,+20.076, +8.361,+1.034
1728293820,+3.23,+20.059, +8.364,+1.034
1728294720,+3.23,+20.059, +8.362,+1.035
1728295620,+3.23,+20.050, +8.358,+1.034
1728296520,+3.23,+20.025, +8.377,+1.034
1728297420,+3.23,+20.034, +8.379,+1.034
1728298320,+3.23,+20.042, +8.374,+1.034
1728299220,+3.23,+20.042, +8.377,+1.034
1728300120,+3.23,+20.017, +8.391,+1.035
1728301020,+3.23,+20.050, +8.380,+1.034
1728301920,+3.23,+20.017, +8.393,+1.035
1728302820,+3.23,+20.050, +8.395,+1.035
1728303720,+3.23,+20.050, +8.393,+1.035
1728304620,+3.23,+20.101, +8.380,+1.034
1728305520,+3.23,+20.159, +8.369,+1.034
1728306420,+3.23,+20.151, +8.378,+1.034
1728307320,+3.23,+20.193, +8.378,+1.035
1728308220,+3.23,+20.201, +8.379,+1.034
1728309120,+3.23,+20.235, +8.374,+1.034
1728310020,+3.23,+20.243, +8.369,+1.034
1728310920,+3.23,+20.243, +8.376,+1.034
1728311820,+3.23,+20.243, +8.383,+1.035
1728312720,+3.23,+20.251, +8.374,+1.034
1728313620,+3.23,+20.235, +8.382,+1.034
1728314520,+3.23,+20.260, +8.376,+1.034
1728315420,+3.23,+20.260, +8.384,+1.034
1728316320,+3.23,+20.285, +8.384,+1.035
1728317220,+3.23,+20.285, +8.383,+1.034
1728318120,+3.23,+20.268, +8.402,+1.035
1728319020,+3.23,+20.268, +8.396,+1.034
1728319920,+3.23,+20.260, +8.402,+1.034
1728320820,+3.23,+20.251, +8.402,+1.034
1728321720,+3.23,+20.268, +8.398,+1.034
1728322620,+3.23,+20.251, +8.409,+1.035
1728323520,+3.23,+20.243, +8.416,+1.035
1728324420,+3.23,+20.243, +8.415,+1.035
1728325320,+3.23,+20.260, +8.405,+1.034
1728326220,+3.23,+20.260, +8.406,+1.034
1728327120,+3.23,+20.260, +8.408,+1.034
1728328020,+3.23,+20.251, +8.417,+1.035
