MiniDOT Logger Concatenated Data File
Sensor:             7450-712774
Concatenation Date: 2020Oct26 13:26:34 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1600540260,           2020-09-19 18:31:00,           2020-09-19 14:31:00,      3.420000,     17.621000,          3.089000,                    32.376297,      1.111000
                1600541160,           2020-09-19 18:46:00,           2020-09-19 14:46:00,      3.430000,     18.868000,          2.562000,                    27.546051,      1.114000
                1600542060,           2020-09-19 19:01:00,           2020-09-19 15:01:00,      3.440000,     18.725000,          2.282000,                    24.464579,      1.114000
                1600542960,           2020-09-19 19:16:00,           2020-09-19 15:16:00,      3.440000,     18.884000,          2.305000,                    24.790868,      1.114000
                1600543860,           2020-09-19 19:31:00,           2020-09-19 15:31:00,      3.450000,     18.758000,          1.869000,                    20.050352,      1.114000
                1600544760,           2020-09-19 19:46:00,           2020-09-19 15:46:00,      3.450000,     19.220000,          2.327000,                    25.197712,      1.113000
                1600545660,           2020-09-19 20:01:00,           2020-09-19 16:01:00,      3.460000,     18.994000,          2.076000,                    22.377610,      1.113000
                1600546560,           2020-09-19 20:16:00,           2020-09-19 16:16:00,      3.450000,     18.893000,          2.137000,                    22.988170,      1.114000
                1600547460,           2020-09-19 20:31:00,           2020-09-19 16:31:00,      3.460000,     19.002000,          2.208000,                    23.804309,      1.113000
                1600548360,           2020-09-19 20:46:00,           2020-09-19 16:46:00,      3.460000,     18.893000,          1.983000,                    21.331559,      1.113000
                1600549260,           2020-09-19 21:01:00,           2020-09-19 17:01:00,      3.460000,     18.851000,          2.507000,                    26.945431,      1.113000
                1600550160,           2020-09-19 21:16:00,           2020-09-19 17:16:00,      3.460000,     18.792000,          2.614000,                    28.061929,      1.113000
                1600551060,           2020-09-19 21:31:00,           2020-09-19 17:31:00,      3.460000,     18.708000,          2.636000,                    28.249954,      1.113000
                1600551960,           2020-09-19 21:46:00,           2020-09-19 17:46:00,      3.470000,     18.590000,          3.417000,                    36.532269,      1.112000
