MiniDOT Logger Concatenated Data File
Sensor:             7450-712774
Concatenation Date: 2020Dec21 17:14:56 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1603734300,           2020-10-26 17:45:00,           2020-10-26 13:45:00,      3.390000,     19.648000,          9.006000,                    98.361153,      1.106000
                1603735200,           2020-10-26 18:00:00,           2020-10-26 14:00:00,      3.410000,     19.497000,          9.031000,                    98.336684,      1.106000
                1603736100,           2020-10-26 18:15:00,           2020-10-26 14:15:00,      3.420000,     19.724000,          8.989000,                    98.324596,      1.106000
                1603737000,           2020-10-26 18:30:00,           2020-10-26 14:30:00,      3.430000,     19.631000,          9.012000,                    98.393251,      1.107000
                1603737900,           2020-10-26 18:45:00,           2020-10-26 14:45:00,      3.430000,     19.942000,          8.950000,                    98.324108,      1.106000
                1603738800,           2020-10-26 19:00:00,           2020-10-26 15:00:00,      3.430000,     19.950000,          8.953000,                    98.372715,      1.107000
                1603739700,           2020-10-26 19:15:00,           2020-10-26 15:15:00,      3.440000,     19.606000,          9.018000,                    98.409564,      1.107000
                1603740600,           2020-10-26 19:30:00,           2020-10-26 15:30:00,      3.450000,     19.388000,          9.046000,                    98.285010,      1.106000
                1603741500,           2020-10-26 19:45:00,           2020-10-26 15:45:00,      3.450000,     19.237000,          9.072000,                    98.268945,      1.107000
                1603742400,           2020-10-26 20:00:00,           2020-10-26 16:00:00,      3.450000,     19.086000,          9.108000,                    98.359340,      1.106000
                1603743300,           2020-10-26 20:15:00,           2020-10-26 16:15:00,      3.460000,     15.331000,          0.989000,                     9.877939,      1.109000
                1603744200,           2020-10-26 20:30:00,           2020-10-26 16:30:00,      3.460000,     15.271000,          0.939000,                     9.366472,      1.109000
                1603745100,           2020-10-26 20:45:00,           2020-10-26 16:45:00,      3.460000,     15.323000,          1.015000,                    10.135881,      1.109000
                1603746000,           2020-10-26 21:00:00,           2020-10-26 17:00:00,      3.460000,     15.305000,          1.179000,                    11.769051,      1.110000
                1603746900,           2020-10-26 21:15:00,           2020-10-26 17:15:00,      3.460000,     15.305000,          1.086000,                    10.840703,      1.109000
                1603747800,           2020-10-26 21:30:00,           2020-10-26 17:30:00,      3.460000,     15.314000,          0.945000,                     9.435032,      1.109000
                1603748700,           2020-10-26 21:45:00,           2020-10-26 17:45:00,      3.460000,     15.417000,          1.069000,                    10.696677,      1.110000
                1603749600,           2020-10-26 22:00:00,           2020-10-26 18:00:00,      3.460000,     15.434000,          1.102000,                    11.030901,      1.110000
                1603750500,           2020-10-26 22:15:00,           2020-10-26 18:15:00,      3.470000,     15.443000,          0.932000,                     9.331018,      1.109000
                1603751400,           2020-10-26 22:30:00,           2020-10-26 18:30:00,      3.470000,     15.460000,          0.818000,                     8.192653,      1.108000
                1603752300,           2020-10-26 22:45:00,           2020-10-26 18:45:00,      3.470000,     15.520000,          0.783000,                     7.852191,      1.108000
                1603753200,           2020-10-26 23:00:00,           2020-10-26 19:00:00,      3.470000,     15.477000,          0.660000,                     6.612616,      1.107000
                1603754100,           2020-10-26 23:15:00,           2020-10-26 19:15:00,      3.470000,     15.511000,          0.688000,                     6.898170,      1.107000
                1603755000,           2020-10-26 23:30:00,           2020-10-26 19:30:00,      3.470000,     15.520000,          0.594000,                     5.956834,      1.106000
                1603755900,           2020-10-26 23:45:00,           2020-10-26 19:45:00,      3.470000,     15.528000,          0.727000,                     7.291852,      1.107000
                1603756800,           2020-10-27 00:00:00,           2020-10-26 20:00:00,      3.470000,     15.528000,          0.758000,                     7.602784,      1.108000
                1603757700,           2020-10-27 00:15:00,           2020-10-26 20:15:00,      3.470000,     15.520000,          0.720000,                     7.220405,      1.107000
                1603758600,           2020-10-27 00:30:00,           2020-10-26 20:30:00,      3.470000,     15.511000,          0.857000,                     8.592633,      1.109000
                1603759500,           2020-10-27 00:45:00,           2020-10-26 20:45:00,      3.470000,     15.511000,          0.857000,                     8.592633,      1.109000
                1603760400,           2020-10-27 01:00:00,           2020-10-26 21:00:00,      3.470000,     15.511000,          0.791000,                     7.930890,      1.108000
                1603761300,           2020-10-27 01:15:00,           2020-10-26 21:15:00,      3.470000,     15.511000,          0.758000,                     7.600019,      1.108000
                1603762200,           2020-10-27 01:30:00,           2020-10-26 21:30:00,      3.470000,     15.503000,          0.716000,                     7.177680,      1.107000
                1603763100,           2020-10-27 01:45:00,           2020-10-26 21:45:00,      3.470000,     15.477000,          0.746000,                     7.474260,      1.108000
                1603764000,           2020-10-27 02:00:00,           2020-10-26 22:00:00,      3.470000,     15.468000,          0.733000,                     7.342596,      1.107000
                1603764900,           2020-10-27 02:15:00,           2020-10-26 22:15:00,      3.480000,     15.468000,          0.792000,                     7.933610,      1.108000
                1603765800,           2020-10-27 02:30:00,           2020-10-26 22:30:00,      3.480000,     15.460000,          0.800000,                     8.012375,      1.109000
                1603766700,           2020-10-27 02:45:00,           2020-10-26 22:45:00,      3.480000,     15.468000,          0.817000,                     8.184040,      1.109000
                1603767600,           2020-10-27 03:00:00,           2020-10-26 23:00:00,      3.480000,     15.443000,          0.768000,                     7.689079,      1.108000
                1603768500,           2020-10-27 03:15:00,           2020-10-26 23:15:00,      3.480000,     15.434000,          0.599000,                     5.995925,      1.106000
                1603769400,           2020-10-27 03:30:00,           2020-10-26 23:30:00,      3.480000,     15.417000,          0.695000,                     6.954341,      1.107000
                1603770300,           2020-10-27 03:45:00,           2020-10-26 23:45:00,      3.480000,     15.417000,          0.731000,                     7.314566,      1.108000
                1603771200,           2020-10-27 04:00:00,           2020-10-27 00:00:00,      3.480000,     15.400000,          0.806000,                     8.062096,      1.109000
                1603772100,           2020-10-27 04:15:00,           2020-10-27 00:15:00,      3.480000,     15.400000,          1.025000,                    10.252665,      1.110000
                1603773000,           2020-10-27 04:30:00,           2020-10-27 00:30:00,      3.480000,     15.391000,          1.052000,                    10.520705,      1.110000
                1603773900,           2020-10-27 04:45:00,           2020-10-27 00:45:00,      3.480000,     15.374000,          0.687000,                     6.867956,      1.106000
                1603774800,           2020-10-27 05:00:00,           2020-10-27 01:00:00,      3.480000,     15.365000,          1.553000,                    15.522382,      1.112000
                1603775700,           2020-10-27 05:15:00,           2020-10-27 01:15:00,      3.480000,     15.357000,          1.401000,                    14.000725,      1.112000
                1603776600,           2020-10-27 05:30:00,           2020-10-27 01:30:00,      3.480000,     15.340000,          1.540000,                    15.384191,      1.112000
                1603777500,           2020-10-27 05:45:00,           2020-10-27 01:45:00,      3.480000,     15.323000,          1.987000,                    19.842361,      1.113000
                1603778400,           2020-10-27 06:00:00,           2020-10-27 02:00:00,      3.480000,     15.280000,          1.911000,                    19.065803,      1.112000
                1603779300,           2020-10-27 06:15:00,           2020-10-27 02:15:00,      3.480000,     15.262000,          1.424000,                    14.201573,      1.112000
                1603780200,           2020-10-27 06:30:00,           2020-10-27 02:30:00,      3.480000,     15.237000,          1.557000,                    15.519642,      1.112000
                1603781100,           2020-10-27 06:45:00,           2020-10-27 02:45:00,      3.480000,     15.211000,          2.084000,                    20.760986,      1.113000
                1603782000,           2020-10-27 07:00:00,           2020-10-27 03:00:00,      3.490000,     15.202000,          2.120000,                    21.115533,      1.113000
                1603782900,           2020-10-27 07:15:00,           2020-10-27 03:15:00,      3.490000,     15.185000,          1.629000,                    16.219162,      1.112000
                1603783800,           2020-10-27 07:30:00,           2020-10-27 03:30:00,      3.490000,     15.142000,          1.961000,                    19.506661,      1.113000
                1603784700,           2020-10-27 07:45:00,           2020-10-27 03:45:00,      3.490000,     15.151000,          1.857000,                    18.475721,      1.113000
                1603785600,           2020-10-27 08:00:00,           2020-10-27 04:00:00,      3.490000,     15.125000,          1.848000,                    18.375886,      1.113000
                1603786500,           2020-10-27 08:15:00,           2020-10-27 04:15:00,      3.490000,     15.116000,          1.873000,                    18.620867,      1.113000
                1603787400,           2020-10-27 08:30:00,           2020-10-27 04:30:00,      3.490000,     15.099000,          1.682000,                    16.715872,      1.112000
