MiniDOT Logger Concatenated Data File
Sensor:             7450-712774
Concatenation Date: 2021Jul01 11:46:09 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1621624500,           2021-05-21 19:15:00,           2021-05-21 15:15:00,      3.520000,     28.118000,          8.117000,                   103.915776,      1.106000
                1621625400,           2021-05-21 19:30:00,           2021-05-21 15:30:00,      3.520000,     28.042000,          8.139000,                   104.057568,      1.106000
                1621626300,           2021-05-21 19:45:00,           2021-05-21 15:45:00,      3.520000,     24.203000,          5.662000,                    67.518173,      1.107000
                1621627200,           2021-05-21 20:00:00,           2021-05-21 16:00:00,      3.520000,     22.879000,          5.316000,                    61.832288,      1.107000
                1621628100,           2021-05-21 20:15:00,           2021-05-21 16:15:00,      3.530000,     23.373000,          5.451000,                    63.998316,      1.106000
                1621629000,           2021-05-21 20:30:00,           2021-05-21 16:30:00,      3.530000,     23.590000,          5.998000,                    70.708848,      1.106000
                1621629900,           2021-05-21 20:45:00,           2021-05-21 16:45:00,      3.530000,     23.498000,          5.424000,                    63.831517,      1.106000
                1621630800,           2021-05-21 21:00:00,           2021-05-21 17:00:00,      3.530000,     23.507000,          6.288000,                    74.011910,      1.105000
                1621631700,           2021-05-21 21:15:00,           2021-05-21 17:15:00,      3.530000,     23.540000,          5.821000,                    68.557730,      1.106000
                1621632600,           2021-05-21 21:30:00,           2021-05-21 17:30:00,      3.530000,     23.632000,          5.517000,                    65.089833,      1.106000
                1621633500,           2021-05-21 21:45:00,           2021-05-21 17:45:00,      3.530000,     23.649000,          5.315000,                    62.726661,      1.105000
                1621634400,           2021-05-21 22:00:00,           2021-05-21 18:00:00,      3.530000,     23.590000,          5.256000,                    61.961604,      1.106000
                1621635300,           2021-05-21 22:15:00,           2021-05-21 18:15:00,      3.530000,     23.658000,          5.307000,                    62.642837,      1.106000
                1621636200,           2021-05-21 22:30:00,           2021-05-21 18:30:00,      3.530000,     23.557000,          5.124000,                    60.368011,      1.105000
                1621637100,           2021-05-21 22:45:00,           2021-05-21 18:45:00,      3.530000,     23.515000,          5.210000,                    61.332718,      1.106000
                1621638000,           2021-05-21 23:00:00,           2021-05-21 19:00:00,      3.530000,     23.423000,          5.505000,                    64.693279,      1.105000
                1621638900,           2021-05-21 23:15:00,           2021-05-21 19:15:00,      3.530000,     23.381000,          5.938000,                    69.726537,      1.105000
                1621639800,           2021-05-21 23:30:00,           2021-05-21 19:30:00,      3.520000,     23.280000,          6.016000,                    70.507897,      1.105000
                1621640700,           2021-05-21 23:45:00,           2021-05-21 19:45:00,      3.520000,     23.180000,          5.993000,                    70.105682,      1.105000
                1621641600,           2021-05-22 00:00:00,           2021-05-21 20:00:00,      3.520000,     23.054000,          5.795000,                    67.627944,      1.105000
                1621642500,           2021-05-22 00:15:00,           2021-05-21 20:15:00,      3.520000,     22.912000,          4.784000,                    55.679304,      1.106000
                1621643400,           2021-05-22 00:30:00,           2021-05-21 20:30:00,      3.530000,     22.745000,          4.188000,                    48.588108,      1.105000
                1621644300,           2021-05-22 00:45:00,           2021-05-21 20:45:00,      3.530000,     22.586000,          4.062000,                    46.983652,      1.106000
                1621645200,           2021-05-22 01:00:00,           2021-05-21 21:00:00,      3.530000,     22.435000,          4.217000,                    48.635938,      1.106000
                1621646100,           2021-05-22 01:15:00,           2021-05-21 21:15:00,      3.530000,     22.243000,          4.858000,                    55.823061,      1.106000
                1621647000,           2021-05-22 01:30:00,           2021-05-21 21:30:00,      3.520000,     22.092000,          5.256000,                    60.221531,      1.105000
                1621647900,           2021-05-22 01:45:00,           2021-05-21 21:45:00,      3.520000,     21.925000,          5.222000,                    59.639877,      1.105000
                1621648800,           2021-05-22 02:00:00,           2021-05-21 22:00:00,      3.520000,     21.799000,          5.422000,                    61.773658,      1.105000
                1621649700,           2021-05-22 02:15:00,           2021-05-21 22:15:00,      3.530000,     21.640000,          5.249000,                    59.619016,      1.105000
                1621650600,           2021-05-22 02:30:00,           2021-05-21 22:30:00,      3.530000,     21.498000,          5.234000,                    59.285215,      1.105000
                1621651500,           2021-05-22 02:45:00,           2021-05-21 22:45:00,      3.530000,     21.356000,          5.399000,                    60.985674,      1.104000
                1621652400,           2021-05-22 03:00:00,           2021-05-21 23:00:00,      3.530000,     21.281000,          5.506000,                    62.103604,      1.104000
