MiniDOT Logger Concatenated Data File
Sensor:             7450-712774
Concatenation Date: 2022Aug18 15:03:25 GMT-05:00

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,                     GMT-05:00,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1645534800,           2022-02-22 13:00:00,           2022-02-22 08:00:00,      3.220000,     15.065000,         10.019000,                    99.496800,      1.078000
                1645535700,           2022-02-22 13:15:00,           2022-02-22 08:15:00,      3.220000,     14.910000,         10.033000,                    99.302940,      1.078000
                1645536600,           2022-02-22 13:30:00,           2022-02-22 08:30:00,      3.230000,      6.912000,          6.108000,                    50.208602,      1.082000
                1645537500,           2022-02-22 13:45:00,           2022-02-22 08:45:00,      3.230000,      6.777000,          6.540000,                    53.578824,      1.082000
                1645538400,           2022-02-22 14:00:00,           2022-02-22 09:00:00,      3.220000,      6.292000,          6.644000,                    53.772052,      1.083000
                1645539300,           2022-02-22 14:15:00,           2022-02-22 09:15:00,      3.220000,      6.351000,          7.116000,                    57.677813,      1.082000
                1645540200,           2022-02-22 14:30:00,           2022-02-22 09:30:00,      3.220000,      7.028000,          5.878000,                    48.457774,      1.083000
                1645541100,           2022-02-22 14:45:00,           2022-02-22 09:45:00,      3.220000,      6.979000,          5.461000,                    44.965181,      1.083000
                1645542000,           2022-02-22 15:00:00,           2022-02-22 10:00:00,      3.230000,      6.883000,          5.354000,                    43.978798,      1.083000
                1645542900,           2022-02-22 15:15:00,           2022-02-22 10:15:00,      3.230000,      6.825000,          5.511000,                    45.202939,      1.083000
                1645543800,           2022-02-22 15:30:00,           2022-02-22 10:30:00,      3.230000,      6.874000,          5.298000,                    43.509032,      1.083000
                1645544700,           2022-02-22 15:45:00,           2022-02-22 10:45:00,      3.220000,      7.191000,          5.262000,                    43.555540,      1.083000
                1645545600,           2022-02-22 16:00:00,           2022-02-22 11:00:00,      3.220000,      6.989000,          5.587000,                    46.014106,      1.083000
                1645546500,           2022-02-22 16:15:00,           2022-02-22 11:15:00,      3.230000,      6.893000,          5.469000,                    44.934638,      1.082000
                1645547400,           2022-02-22 16:30:00,           2022-02-22 11:30:00,      3.220000,      6.999000,          5.711000,                    47.047072,      1.082000
                1645548300,           2022-02-22 16:45:00,           2022-02-22 11:45:00,      3.230000,      6.922000,          5.460000,                    44.893144,      1.083000
                1645549200,           2022-02-22 17:00:00,           2022-02-22 12:00:00,      3.220000,      8.225000,          6.070000,                    51.536646,      1.082000
                1645550100,           2022-02-22 17:15:00,           2022-02-22 12:15:00,      3.220000,      8.254000,          5.888000,                    50.026689,      1.082000
                1645551000,           2022-02-22 17:30:00,           2022-02-22 12:30:00,      3.220000,      7.668000,          5.813000,                    48.686590,      1.082000
                1645551900,           2022-02-22 17:45:00,           2022-02-22 12:45:00,      3.220000,      8.871000,          6.337000,                    54.651301,      1.081000
                1645552800,           2022-02-22 18:00:00,           2022-02-22 13:00:00,      3.230000,      9.122000,          6.366000,                    55.233173,      1.081000
                1645553700,           2022-02-22 18:15:00,           2022-02-22 13:15:00,      3.220000,      8.329000,          5.439000,                    46.296156,      1.082000
                1645554600,           2022-02-22 18:30:00,           2022-02-22 13:30:00,      3.220000,      9.131000,          6.367000,                    55.253756,      1.081000
                1645555500,           2022-02-22 18:45:00,           2022-02-22 13:45:00,      3.220000,      9.261000,          6.367000,                    55.425818,      1.081000
                1645556400,           2022-02-22 19:00:00,           2022-02-22 14:00:00,      3.220000,      9.400000,          6.383000,                    55.749681,      1.080000
                1645557300,           2022-02-22 19:15:00,           2022-02-22 14:15:00,      3.220000,      9.455000,          6.425000,                    56.190069,      1.080000
                1645558200,           2022-02-22 19:30:00,           2022-02-22 14:30:00,      3.220000,      9.630000,          6.555000,                    57.565927,      1.081000
                1645559100,           2022-02-22 19:45:00,           2022-02-22 14:45:00,      3.220000,      9.703000,          6.464000,                    56.865123,      1.080000
                1645560000,           2022-02-22 20:00:00,           2022-02-22 15:00:00,      3.220000,      9.648000,          6.346000,                    55.754298,      1.080000
                1645560900,           2022-02-22 20:15:00,           2022-02-22 15:15:00,      3.220000,      9.749000,          6.473000,                    57.006384,      1.081000
                1645561800,           2022-02-22 20:30:00,           2022-02-22 15:30:00,      3.220000,      9.316000,          6.284000,                    54.775174,      1.080000
                1645562700,           2022-02-22 20:45:00,           2022-02-22 15:45:00,      3.220000,      8.526000,          5.912000,                    50.563282,      1.081000
                1645563600,           2022-02-22 21:00:00,           2022-02-22 16:00:00,      3.220000,      9.575000,          6.220000,                    54.552680,      1.080000
                1645564500,           2022-02-22 21:15:00,           2022-02-22 16:15:00,      3.220000,      8.834000,          6.149000,                    52.982760,      1.081000
                1645565400,           2022-02-22 21:30:00,           2022-02-22 16:30:00,      3.220000,      8.843000,          6.119000,                    52.735689,      1.081000
                1645566300,           2022-02-22 21:45:00,           2022-02-22 16:45:00,      3.220000,      9.104000,          6.295000,                    54.593614,      1.081000
                1645567200,           2022-02-22 22:00:00,           2022-02-22 17:00:00,      3.220000,      9.344000,          6.234000,                    54.375657,      1.080000
                1645568100,           2022-02-22 22:15:00,           2022-02-22 17:15:00,      3.220000,      9.316000,          6.213000,                    54.156295,      1.080000
                1645569000,           2022-02-22 22:30:00,           2022-02-22 17:30:00,      3.220000,      9.951000,          6.587000,                    58.287991,      1.080000
                1645569900,           2022-02-22 22:45:00,           2022-02-22 17:45:00,      3.220000,      9.960000,          6.649000,                    58.849119,      1.080000
                1645570800,           2022-02-22 23:00:00,           2022-02-22 18:00:00,      3.220000,     10.042000,          6.629000,                    58.785620,      1.080000
                1645571700,           2022-02-22 23:15:00,           2022-02-22 18:15:00,      3.220000,     10.189000,          6.807000,                    60.573212,      1.080000
                1645572600,           2022-02-22 23:30:00,           2022-02-22 18:30:00,      3.220000,      9.740000,          6.145000,                    54.106222,      1.080000
                1645573500,           2022-02-22 23:45:00,           2022-02-22 18:45:00,      3.220000,     10.343000,          7.205000,                    64.346937,      1.080000
                1645574400,           2022-02-23 00:00:00,           2022-02-22 19:00:00,      3.220000,     10.316000,          6.796000,                    60.655821,      1.080000
