MiniDOT Logger Concatenated Data File
Sensor:             7450-712774
Concatenation Date: 2023Jan31 11:47:54 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1660854540,           2022-08-18 20:29:00,           2022-08-18 16:29:00,      3.120000,     23.985000,          8.251000,                    97.991913,      1.071000
                1660855440,           2022-08-18 20:44:00,           2022-08-18 16:44:00,      3.120000,     23.808000,          8.315000,                    98.425347,      1.072000
                1660856340,           2022-08-18 20:59:00,           2022-08-18 16:59:00,      3.120000,     23.582000,          8.357000,                    98.503660,      1.072000
                1660857240,           2022-08-18 21:14:00,           2022-08-18 17:14:00,      3.120000,     23.850000,          8.257000,                    97.815745,      1.071000
                1660858140,           2022-08-18 21:29:00,           2022-08-18 17:29:00,      3.120000,     23.624000,          8.337000,                    98.345543,      1.072000
                1660859040,           2022-08-18 21:44:00,           2022-08-18 17:44:00,      3.120000,     23.674000,          8.319000,                    98.225436,      1.072000
                1660859940,           2022-08-18 21:59:00,           2022-08-18 17:59:00,      3.120000,     23.532000,          8.380000,                    98.681892,      1.072000
                1660860840,           2022-08-18 22:14:00,           2022-08-18 18:14:00,      3.110000,     23.213000,          8.408000,                    98.417586,      1.071000
                1660861740,           2022-08-18 22:29:00,           2022-08-18 18:29:00,      3.110000,     23.088000,          8.410000,                    98.208379,      1.072000
                1660862640,           2022-08-18 22:44:00,           2022-08-18 18:44:00,      3.120000,     22.820000,          8.447000,                    98.139918,      1.071000
                1660863540,           2022-08-18 22:59:00,           2022-08-18 18:59:00,      3.120000,     22.544000,          8.494000,                    98.168202,      1.072000
                1660864440,           2022-08-18 23:14:00,           2022-08-18 19:14:00,      3.120000,     22.217000,          8.553000,                    98.233114,      1.072000
                1660865340,           2022-08-18 23:29:00,           2022-08-18 19:29:00,      3.120000,     21.967000,          8.590000,                    98.184877,      1.071000
                1660866240,           2022-08-18 23:44:00,           2022-08-18 19:44:00,      3.120000,     21.682000,          8.626000,                    98.055237,      1.071000
                1660867140,           2022-08-18 23:59:00,           2022-08-18 19:59:00,      3.120000,     21.381000,          8.685000,                    98.151166,      1.071000
                1660868040,           2022-08-19 00:14:00,           2022-08-18 20:14:00,      3.120000,     20.988000,          8.756000,                    98.198033,      1.071000
                1660868940,           2022-08-19 00:29:00,           2022-08-18 20:29:00,      3.120000,     20.745000,          8.790000,                    98.110959,      1.071000
                1660869840,           2022-08-19 00:44:00,           2022-08-18 20:44:00,      3.120000,     20.427000,          8.834000,                    97.986739,      1.070000
                1660870740,           2022-08-19 00:59:00,           2022-08-18 20:59:00,      3.120000,     20.151000,          8.880000,                    97.960753,      1.070000
                1660871640,           2022-08-19 01:14:00,           2022-08-18 21:14:00,      3.120000,     19.858000,          8.938000,                    98.028265,      1.070000
                1660872540,           2022-08-19 01:29:00,           2022-08-18 21:29:00,      3.120000,     19.598000,          8.979000,                    97.968300,      1.069000
                1660873440,           2022-08-19 01:44:00,           2022-08-18 21:44:00,      3.120000,     19.388000,          9.019000,                    97.991654,      1.070000
                1660874340,           2022-08-19 01:59:00,           2022-08-18 21:59:00,      3.120000,     19.052000,          9.080000,                    97.989743,      1.069000
                1660875240,           2022-08-19 02:14:00,           2022-08-18 22:14:00,      3.120000,     18.767000,          9.128000,                    97.941681,      1.069000
                1660876140,           2022-08-19 02:29:00,           2022-08-18 22:29:00,      3.120000,     18.582000,          9.157000,                    97.884574,      1.069000
                1660877040,           2022-08-19 02:44:00,           2022-08-18 22:44:00,      3.120000,     18.397000,          9.207000,                    98.049047,      1.070000
                1660877940,           2022-08-19 02:59:00,           2022-08-18 22:59:00,      3.120000,     18.304000,          9.216000,                    97.958810,      1.069000
                1660878840,           2022-08-19 03:14:00,           2022-08-18 23:14:00,      3.120000,     18.161000,          9.226000,                    97.778802,      1.068000
                1660879740,           2022-08-19 03:29:00,           2022-08-18 23:29:00,      3.120000,     18.017000,          9.266000,                    97.913345,      1.069000
                1660880640,           2022-08-19 03:44:00,           2022-08-18 23:44:00,      3.120000,     17.874000,          9.290000,                    97.879000,      1.069000
                1660881540,           2022-08-19 03:59:00,           2022-08-18 23:59:00,      3.120000,     17.815000,          9.299000,                    97.854952,      1.069000
                1660882440,           2022-08-19 04:14:00,           2022-08-19 00:14:00,      3.120000,     17.680000,          9.326000,                    97.866401,      1.069000
                1660883340,           2022-08-19 04:29:00,           2022-08-19 00:29:00,      3.120000,     17.587000,          9.338000,                    97.804330,      1.068000
                1660884240,           2022-08-19 04:44:00,           2022-08-19 00:44:00,      3.120000,     17.502000,          9.360000,                    97.862586,      1.069000
                1660885140,           2022-08-19 04:59:00,           2022-08-19 00:59:00,      3.120000,     17.468000,          9.364000,                    97.835527,      1.069000
                1660886040,           2022-08-19 05:14:00,           2022-08-19 01:14:00,      3.120000,     17.409000,          9.380000,                    97.882988,      1.069000
                1660886940,           2022-08-19 05:29:00,           2022-08-19 01:29:00,      3.120000,     17.358000,          9.398000,                    97.967171,      1.070000
                1660887840,           2022-08-19 05:44:00,           2022-08-19 01:44:00,      3.120000,     17.308000,          9.399000,                    97.875986,      1.069000
                1660888740,           2022-08-19 05:59:00,           2022-08-19 01:59:00,      3.120000,     17.257000,          9.410000,                    97.886793,      1.069000
                1660889640,           2022-08-19 06:14:00,           2022-08-19 02:14:00,      3.120000,     17.189000,          9.409000,                    97.738117,      1.068000
                1660890540,           2022-08-19 06:29:00,           2022-08-19 02:29:00,      3.120000,     17.147000,          9.433000,                    97.901820,      1.069000
                1660891440,           2022-08-19 06:44:00,           2022-08-19 02:44:00,      3.120000,     17.062000,          9.439000,                    97.790785,      1.068000
                1660892340,           2022-08-19 06:59:00,           2022-08-19 02:59:00,      3.120000,     17.020000,          9.454000,                    97.860442,      1.069000
                1660893240,           2022-08-19 07:14:00,           2022-08-19 03:14:00,      3.120000,     16.986000,          9.458000,                    97.832413,      1.069000
                1660894140,           2022-08-19 07:29:00,           2022-08-19 03:29:00,      3.130000,     16.969000,          9.462000,                    97.839061,      1.069000
                1660895040,           2022-08-19 07:44:00,           2022-08-19 03:44:00,      3.130000,     16.943000,          9.474000,                    97.909968,      1.070000
                1660895940,           2022-08-19 07:59:00,           2022-08-19 03:59:00,      3.130000,     16.901000,          9.476000,                    97.844732,      1.069000
                1660896840,           2022-08-19 08:14:00,           2022-08-19 04:14:00,      3.130000,     16.875000,          9.482000,                    97.853480,      1.069000
                1660897740,           2022-08-19 08:29:00,           2022-08-19 04:29:00,      3.120000,     16.825000,          9.499000,                    97.926434,      1.069000
                1660898640,           2022-08-19 08:44:00,           2022-08-19 04:44:00,      3.120000,     16.799000,          9.487000,                    97.749507,      1.069000
                1660899540,           2022-08-19 08:59:00,           2022-08-19 04:59:00,      3.120000,     16.740000,          9.502000,                    97.783130,      1.069000
                1660900440,           2022-08-19 09:14:00,           2022-08-19 05:14:00,      3.120000,     16.663000,          9.533000,                    97.943851,      1.069000
                1660901340,           2022-08-19 09:29:00,           2022-08-19 05:29:00,      3.120000,     16.544000,          9.549000,                    97.863292,      1.069000
                1660902240,           2022-08-19 09:44:00,           2022-08-19 05:44:00,      3.120000,     16.382000,          9.589000,                    97.938579,      1.069000
                1660903140,           2022-08-19 09:59:00,           2022-08-19 05:59:00,      3.120000,     16.340000,          9.578000,                    97.739603,      1.068000
                1660904040,           2022-08-19 10:14:00,           2022-08-19 06:14:00,      3.120000,     16.331000,          9.590000,                    97.843474,      1.069000
                1660904940,           2022-08-19 10:29:00,           2022-08-19 06:29:00,      3.120000,     16.297000,          9.605000,                    97.926205,      1.069000
                1660905840,           2022-08-19 10:44:00,           2022-08-19 06:44:00,      3.120000,     16.357000,          9.590000,                    97.897163,      1.069000
                1660906740,           2022-08-19 10:59:00,           2022-08-19 06:59:00,      3.120000,     16.357000,          9.595000,                    97.948204,      1.069000
                1660907640,           2022-08-19 11:14:00,           2022-08-19 07:14:00,      3.120000,     16.434000,          9.592000,                    98.076648,      1.070000
                1660908540,           2022-08-19 11:29:00,           2022-08-19 07:29:00,      3.120000,     16.646000,          9.533000,                    97.908910,      1.069000
                1660909440,           2022-08-19 11:44:00,           2022-08-19 07:44:00,      3.120000,     16.892000,          9.482000,                    97.888268,      1.069000
                1660910340,           2022-08-19 11:59:00,           2022-08-19 07:59:00,      3.120000,     17.282000,          9.413000,                    97.968867,      1.069000
                1660911240,           2022-08-19 12:14:00,           2022-08-19 08:14:00,      3.120000,     17.671000,          9.339000,                    97.984624,      1.069000
                1660912140,           2022-08-19 12:29:00,           2022-08-19 08:29:00,      3.120000,     18.203000,          9.251000,                    98.128055,      1.070000
                1660913040,           2022-08-19 12:44:00,           2022-08-19 08:44:00,      3.120000,     19.019000,          9.103000,                    98.172557,      1.070000
                1660913940,           2022-08-19 12:59:00,           2022-08-19 08:59:00,      3.120000,     19.707000,          8.987000,                    98.269368,      1.070000
                1660914840,           2022-08-19 13:14:00,           2022-08-19 09:14:00,      3.120000,     20.770000,          8.812000,                    98.404803,      1.071000
                1660915740,           2022-08-19 13:29:00,           2022-08-19 09:29:00,      3.120000,     21.473000,          8.703000,                    98.530551,      1.071000
                1660916640,           2022-08-19 13:44:00,           2022-08-19 09:44:00,      3.120000,     23.423000,          8.402000,                    98.738044,      1.073000
                1660917540,           2022-08-19 13:59:00,           2022-08-19 09:59:00,      3.110000,     23.859000,          8.374000,                    99.218499,      1.072000
                1660918440,           2022-08-19 14:14:00,           2022-08-19 10:14:00,      3.110000,     23.959000,          8.362000,                    99.261921,      1.072000
                1660919340,           2022-08-19 14:29:00,           2022-08-19 10:29:00,      3.110000,     24.791000,          8.373000,                   100.941723,      1.073000
                1660920240,           2022-08-19 14:44:00,           2022-08-19 10:44:00,      3.110000,     30.233000,          7.753000,                   102.984002,      1.074000
                1660921140,           2022-08-19 14:59:00,           2022-08-19 10:59:00,      3.110000,     29.086000,          7.797000,                   101.529989,      1.074000
                1660922040,           2022-08-19 15:14:00,           2022-08-19 11:14:00,      3.100000,     32.739000,          7.372000,                   102.178438,      1.072000
                1660922940,           2022-08-19 15:29:00,           2022-08-19 11:29:00,      3.110000,     30.683000,          7.586000,                   101.547235,      1.075000
                1660923840,           2022-08-19 15:44:00,           2022-08-19 11:44:00,      3.110000,     30.138000,          7.661000,                   101.595592,      1.075000
                1660924740,           2022-08-19 15:59:00,           2022-08-19 11:59:00,      3.110000,     29.568000,          7.708000,                   101.216397,      1.075000
                1660925640,           2022-08-19 16:14:00,           2022-08-19 12:14:00,      3.110000,     28.837000,          7.809000,                   101.244667,      1.075000
                1660926540,           2022-08-19 16:29:00,           2022-08-19 12:29:00,      3.110000,     28.221000,          7.852000,                   100.706123,      1.075000
                1660927440,           2022-08-19 16:44:00,           2022-08-19 12:44:00,      3.110000,     27.641000,          7.916000,                   100.489613,      1.075000
                1660928340,           2022-08-19 16:59:00,           2022-08-19 12:59:00,      3.110000,     27.863000,          7.938000,                   101.166704,      1.075000
                1660929240,           2022-08-19 17:14:00,           2022-08-19 13:14:00,      3.110000,     28.383000,          7.850000,                   100.968318,      1.075000
                1660930140,           2022-08-19 17:29:00,           2022-08-19 13:29:00,      3.110000,     27.999000,          7.916000,                   101.129561,      1.076000
                1660931040,           2022-08-19 17:44:00,           2022-08-19 13:44:00,      3.110000,     28.272000,          7.861000,                   100.912273,      1.075000
                1660931940,           2022-08-19 17:59:00,           2022-08-19 13:59:00,      3.110000,     28.666000,          7.851000,                   101.484642,      1.075000
                1660932840,           2022-08-19 18:14:00,           2022-08-19 14:14:00,      3.110000,     28.606000,          7.848000,                   101.339103,      1.076000
                1660933740,           2022-08-19 18:29:00,           2022-08-19 14:29:00,      3.110000,     28.803000,          7.793000,                   100.977095,      1.075000
                1660934640,           2022-08-19 18:44:00,           2022-08-19 14:44:00,      3.110000,     28.829000,          7.830000,                   101.502718,      1.075000
                1660935540,           2022-08-19 18:59:00,           2022-08-19 14:59:00,      3.110000,     28.752000,          7.836000,                   101.443592,      1.075000
                1660936440,           2022-08-19 19:14:00,           2022-08-19 15:14:00,      3.110000,     28.880000,          7.840000,                   101.723105,      1.076000
                1660937340,           2022-08-19 19:29:00,           2022-08-19 15:29:00,      3.110000,     29.155000,          7.757000,                   101.130772,      1.075000
                1660938240,           2022-08-19 19:44:00,           2022-08-19 15:44:00,      3.110000,     29.249000,          7.804000,                   101.910330,      1.076000
                1660939140,           2022-08-19 19:59:00,           2022-08-19 15:59:00,      3.110000,     29.439000,          7.739000,                   101.396106,      1.076000
                1660940040,           2022-08-19 20:14:00,           2022-08-19 16:14:00,      3.110000,     29.189000,          7.774000,                   101.412499,      1.076000
                1660940940,           2022-08-19 20:29:00,           2022-08-19 16:29:00,      3.110000,     28.520000,          7.832000,                   100.979845,      1.075000
                1660941840,           2022-08-19 20:44:00,           2022-08-19 16:44:00,      3.110000,     28.495000,          7.833000,                   100.948368,      1.075000
                1660942740,           2022-08-19 20:59:00,           2022-08-19 16:59:00,      3.110000,     28.178000,          7.866000,                   100.809160,      1.076000
                1660943640,           2022-08-19 21:14:00,           2022-08-19 17:14:00,      3.110000,     28.358000,          7.864000,                   101.103874,      1.076000
                1660944540,           2022-08-19 21:29:00,           2022-08-19 17:29:00,      3.110000,     28.435000,          7.829000,                   100.790408,      1.076000
                1660945440,           2022-08-19 21:44:00,           2022-08-19 17:44:00,      3.110000,     28.375000,          7.854000,                   101.005539,      1.076000
                1660946340,           2022-08-19 21:59:00,           2022-08-19 17:59:00,      3.110000,     28.247000,          7.877000,                   101.073102,      1.076000
                1660947240,           2022-08-19 22:14:00,           2022-08-19 18:14:00,      3.110000,     27.880000,          7.932000,                   101.120694,      1.076000
                1660948140,           2022-08-19 22:29:00,           2022-08-19 18:29:00,      3.110000,     27.216000,          8.013000,                   100.953387,      1.076000
                1660949040,           2022-08-19 22:44:00,           2022-08-19 18:44:00,      3.110000,     26.309000,          8.104000,                   100.448227,      1.075000
                1660949940,           2022-08-19 22:59:00,           2022-08-19 18:59:00,      3.120000,     25.802000,          8.162000,                   100.240228,      1.075000
                1660950840,           2022-08-19 23:14:00,           2022-08-19 19:14:00,      3.110000,     25.346000,          8.202000,                    99.895494,      1.075000
                1660951740,           2022-08-19 23:29:00,           2022-08-19 19:29:00,      3.120000,     24.824000,          8.287000,                    99.965866,      1.074000
                1660952640,           2022-08-19 23:44:00,           2022-08-19 19:44:00,      3.120000,     24.413000,          8.358000,                   100.057632,      1.075000
                1660953540,           2022-08-19 23:59:00,           2022-08-19 19:59:00,      3.110000,     23.959000,          8.400000,                    99.713003,      1.074000
                1660954440,           2022-08-20 00:14:00,           2022-08-19 20:14:00,      3.120000,     23.557000,          8.474000,                    99.835777,      1.074000
                1660955340,           2022-08-20 00:29:00,           2022-08-19 20:29:00,      3.110000,     23.180000,          8.533000,                    99.818419,      1.074000
                1660956240,           2022-08-20 00:44:00,           2022-08-19 20:44:00,      3.120000,     22.845000,          8.609000,                   100.069649,      1.074000
                1660957140,           2022-08-20 00:59:00,           2022-08-19 20:59:00,      3.120000,     22.544000,          8.624000,                    99.670659,      1.074000
                1660958040,           2022-08-20 01:14:00,           2022-08-19 21:14:00,      3.120000,     22.259000,          8.661000,                    99.553718,      1.072000
                1660958940,           2022-08-20 01:29:00,           2022-08-19 21:29:00,      3.110000,     21.975000,          8.715000,                    99.628999,      1.073000
                1660959840,           2022-08-20 01:44:00,           2022-08-19 21:44:00,      3.120000,     21.799000,          8.718000,                    99.325479,      1.072000
                1660960740,           2022-08-20 01:59:00,           2022-08-19 21:59:00,      3.120000,     21.624000,          8.758000,                    99.444002,      1.073000
                1660961640,           2022-08-20 02:14:00,           2022-08-19 22:14:00,      3.120000,     21.498000,          8.771000,                    99.348609,      1.072000
                1660962540,           2022-08-20 02:29:00,           2022-08-19 22:29:00,      3.120000,     21.389000,          8.786000,                    99.308035,      1.072000
                1660963440,           2022-08-20 02:44:00,           2022-08-19 22:44:00,      3.120000,     21.356000,          8.782000,                    99.199147,      1.072000
