7450-695497
OS REV: 1.05 Sensor Cal: 1618510905
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1720018920,+3.15,+24.777, +8.226,+0.971
1720019820,+3.15,+25.290, +8.188,+0.971
1720020720,+3.14,+27.149, +8.011,+0.974
1720021620,+3.15,+27.735, +7.905,+0.973
1720022520,+3.15,+27.693, +7.912,+0.972
1720023420,+3.15,+28.768, +7.816,+0.973
1720024320,+3.14,+29.386, +7.741,+0.974
1720025220,+3.14,+31.099, +7.572,+0.974
1720026120,+3.13,+36.093, +7.154,+0.968
1720027020,+3.13,+36.455, +7.072,+0.965
1720027920,+3.13,+36.464, +7.409,+0.965
1720028820,+3.12,+36.455, +7.328,+0.963
1720029720,+3.12,+36.455, +7.140,+0.961
1720030620,+3.12,+36.464, +7.021,+0.961
1720031520,+3.13,+35.056, +6.980,+0.966
1720032420,+3.13,+33.000, +7.248,+0.969
1720033320,+3.14,+31.657, +7.409,+0.972
1720034220,+3.14,+30.864, +7.515,+0.973
1720035120,+3.14,+30.257, +7.581,+0.974
1720036020,+3.14,+29.834, +7.631,+0.974
1720036920,+3.14,+29.515, +7.672,+0.974
1720037820,+3.14,+29.240, +7.696,+0.974
1720038720,+3.14,+29.017, +7.711,+0.974
1720039620,+3.14,+28.751, +7.735,+0.974
1720040520,+3.14,+28.435, +7.779,+0.975
1720041420,+3.14,+28.042, +7.806,+0.973
1720042320,+3.15,+27.778, +7.818,+0.974
1720043220,+3.14,+27.454, +7.855,+0.973
1720044120,+3.14,+27.106, +7.902,+0.974
1720045020,+3.15,+26.793, +7.929,+0.973
1720045920,+3.14,+26.403, +7.992,+0.973
1720046820,+3.15,+26.023, +8.018,+0.973
1720047720,+3.15,+25.669, +8.040,+0.973
1720048620,+3.15,+25.231, +8.130,+0.973
1720049520,+3.15,+24.760, +8.150,+0.972
1720050420,+3.15,+24.366, +8.213,+0.972
1720051320,+3.15,+24.013, +8.246,+0.972
1720052220,+3.15,+23.653, +8.310,+0.972
1720053120,+3.15,+23.293, +8.352,+0.971
1720054020,+3.15,+22.975, +8.395,+0.971
1720054920,+3.15,+22.674, +8.441,+0.971
1720055820,+3.16,+22.432, +8.450,+0.970
1720056720,+3.15,+22.164, +8.506,+0.970
1720057620,+3.15,+21.922, +8.540,+0.970
1720058520,+3.15,+21.713, +8.559,+0.970
1720059420,+3.16,+21.546, +8.578,+0.970
1720060320,+3.16,+21.370, +8.599,+0.970
1720061220,+3.16,+21.153, +8.640,+0.970
1720062120,+3.15,+21.011, +8.662,+0.970
1720063020,+3.15,+20.877, +8.679,+0.970
1720063920,+3.15,+20.751, +8.688,+0.969
1720064820,+3.15,+20.668, +8.698,+0.970
1720065720,+3.16,+20.559, +8.728,+0.970
1720066620,+3.16,+20.425, +8.738,+0.970
1720067520,+3.16,+20.308, +8.741,+0.969
1720068420,+3.16,+20.208, +8.756,+0.969
1720069320,+3.16,+20.149, +8.775,+0.970
1720070220,+3.16,+20.090, +8.789,+0.970
1720071120,+3.16,+20.032, +8.778,+0.969
1720072020,+3.15,+19.982, +8.796,+0.970
1720072920,+3.15,+19.957, +8.787,+0.969
1720073820,+3.15,+19.923, +8.789,+0.969
1720074720,+3.15,+19.898, +8.796,+0.969
1720075620,+3.15,+19.839, +8.809,+0.970
1720076520,+3.15,+19.823, +8.787,+0.969
1720077420,+3.16,+19.789, +8.799,+0.970
1720078320,+3.16,+19.781, +8.794,+0.969
1720079220,+3.16,+19.756, +8.809,+0.970
1720080120,+3.16,+19.747, +8.801,+0.970
1720081020,+3.15,+19.781, +8.779,+0.969
1720081920,+3.15,+19.814, +8.770,+0.970
1720082820,+3.15,+19.814, +8.771,+0.969
1720083720,+3.15,+19.873, +8.769,+0.970
1720084620,+3.15,+19.906, +8.754,+0.970
1720085520,+3.15,+19.948, +8.740,+0.969
1720086420,+3.15,+19.973, +8.732,+0.969
1720087320,+3.16,+20.040, +8.720,+0.969
1720088220,+3.16,+20.107, +8.701,+0.969
1720089120,+3.16,+20.208, +8.681,+0.969
1720090020,+3.16,+20.467, +8.665,+0.970
1720090920,+3.15,+20.785, +8.618,+0.970
1720091820,+3.15,+21.111, +8.566,+0.970
1720092720,+3.15,+21.629, +8.490,+0.970
1720093620,+3.15,+22.005, +8.433,+0.970
1720094520,+3.15,+22.256, +8.396,+0.970
1720095420,+3.15,+22.616, +8.352,+0.971
1720096320,+3.15,+23.000, +8.296,+0.971
1720097220,+3.15,+23.511, +8.246,+0.971
1720098120,+3.15,+24.122, +8.171,+0.971
1720099020,+3.15,+24.382, +8.116,+0.970
1720099920,+3.15,+25.694, +7.987,+0.972
1720100820,+3.14,+26.361, +7.896,+0.972
1720101720,+3.15,+26.835, +7.864,+0.973
1720102620,+3.14,+27.200, +7.819,+0.973
1720103520,+3.14,+27.335, +7.789,+0.973
1720104420,+3.15,+27.769, +7.767,+0.973
1720105320,+3.14,+28.161, +7.719,+0.973
