7450-695497
OS REV: 1.05 Sensor Cal: 1618510905
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1635891240,+3.12, +9.537, +8.770,+0.984
1635891840,+3.12, +9.547, +8.754,+0.984
1635892440,+3.12, +9.556, +8.734,+0.984
1635893040,+3.12, +9.519, +8.754,+0.984
1635893640,+3.12, +9.510, +8.774,+0.983
1635894240,+3.12, +9.510, +8.786,+0.983
1635894840,+3.12, +9.501, +8.733,+0.984
1635895440,+3.12, +9.482, +8.761,+0.983
1635896040,+3.12, +9.482, +8.779,+0.984
1635896640,+3.12, +9.482, +8.805,+0.984
1635897240,+3.12, +9.464, +8.777,+0.983
1635897840,+3.12, +9.473, +8.765,+0.984
1635898440,+3.12, +9.464, +8.767,+0.984
1635899040,+3.12, +9.455, +8.758,+0.983
1635899640,+3.12, +9.445, +8.735,+0.983
1635900240,+3.12, +9.408, +8.758,+0.983
1635900840,+3.12, +9.455, +8.774,+0.983
1635901440,+3.12, +9.390, +8.778,+0.984
1635902040,+3.12, +9.371, +8.753,+0.984
1635902640,+3.12, +9.335, +8.752,+0.984
1635903240,+3.12, +9.316, +8.754,+0.984
1635903840,+3.12, +9.316, +8.734,+0.983
1635904440,+3.12, +9.335, +8.731,+0.984
1635905040,+3.12, +9.316, +8.724,+0.983
1635905640,+3.12, +9.325, +8.771,+0.984
1635906240,+3.12, +9.298, +8.846,+0.984
1635906840,+3.12, +9.298, +8.799,+0.983
1635907440,+3.13, +9.224, +8.845,+0.984
1635908040,+3.13, +9.233, +8.869,+0.983
1635908640,+3.13, +9.224, +8.823,+0.984
1635909240,+3.13, +9.187, +8.824,+0.984
1635909840,+3.13, +9.233, +8.828,+0.984
1635910440,+3.13, +9.159, +8.885,+0.983
1635911040,+3.13, +9.103, +8.864,+0.984
1635911640,+3.13, +9.066, +8.885,+0.983
1635912240,+3.13, +9.066, +8.885,+0.983
1635912840,+3.13, +9.038, +8.905,+0.983
1635913440,+3.13, +8.982, +8.945,+0.984
1635914040,+3.13, +9.020, +8.882,+0.983
1635914640,+3.13, +8.982, +8.968,+0.984
1635915240,+3.13, +8.908, +8.972,+0.983
1635915840,+3.12, +8.852, +8.965,+0.984
1635916440,+3.12, +8.843, +8.957,+0.983
1635917040,+3.12, +8.834, +9.010,+0.984
1635917640,+3.12, +8.806, +9.031,+0.984
1635918240,+3.12, +8.768, +9.048,+0.984
1635918840,+3.12, +8.759, +9.026,+0.984
1635919440,+3.12, +8.731, +9.036,+0.984
1635920040,+3.12, +8.684, +9.032,+0.984
1635920640,+3.12, +8.694, +9.052,+0.984
1635921240,+3.12, +8.684, +9.073,+0.984
1635921840,+3.12, +8.666, +9.129,+0.984
1635922440,+3.12, +8.656, +9.100,+0.984
1635923040,+3.12, +8.600, +9.137,+0.984
1635923640,+3.12, +8.582, +9.166,+0.984
1635924240,+3.12, +8.544, +9.175,+0.984
1635924840,+3.12, +8.535, +9.152,+0.984
1635925440,+3.12, +8.525, +9.104,+0.984
1635926040,+3.12, +8.516, +9.143,+0.984
1635926640,+3.12, +8.469, +9.192,+0.984
1635927240,+3.12, +8.366, +9.210,+0.984
1635927840,+3.12, +8.328, +9.167,+0.983
1635928440,+3.12, +8.357, +9.167,+0.984
1635929040,+3.12, +8.357, +9.193,+0.984
1635929640,+3.12, +8.291, +9.193,+0.984
1635930240,+3.12, +8.300, +9.193,+0.984
1635930840,+3.12, +8.235, +9.202,+0.984
1635931440,+3.13, +8.216, +9.201,+0.984
1635932040,+3.13, +8.216, +9.158,+0.984
1635932640,+3.13, +8.225, +9.179,+0.984
1635933240,+3.13, +8.140, +9.261,+0.984
1635933840,+3.13, +8.178, +9.247,+0.984
1635934440,+3.13, +8.140, +9.216,+0.983
1635935040,+3.13, +8.140, +9.242,+0.984
1635935640,+3.13, +8.122, +9.267,+0.984
1635936240,+3.13, +8.093, +9.274,+0.984
1635936840,+3.13, +8.055, +9.310,+0.983
1635937440,+3.13, +8.055, +9.328,+0.983
1635938040,+3.13, +8.037, +9.295,+0.983
1635938640,+3.13, +8.027, +9.312,+0.984
1635939240,+3.13, +8.046, +9.224,+0.984
1635939840,+3.13, +7.989, +9.272,+0.983
1635940440,+3.13, +7.952, +9.324,+0.983
1635941040,+3.13, +7.904, +9.356,+0.984
1635941640,+3.13, +7.933, +9.317,+0.983
1635942240,+3.13, +7.914, +9.377,+0.983
1635942840,+3.13, +7.876, +9.370,+0.983
1635943440,+3.13, +7.876, +9.441,+0.983
1635944040,+3.13, +7.857, +9.417,+0.983
1635944640,+3.13, +7.876, +9.345,+0.984
1635945240,+3.13, +7.866, +9.269,+0.984
1635945840,+3.13, +7.885, +9.355,+0.984
1635946440,+3.13, +7.904, +9.524,+0.984
1635947040,+3.13, +7.866, +9.449,+0.984
1635947640,+3.13, +7.857, +9.485,+0.983
1635948240,+3.13, +7.895, +9.390,+0.983
1635948840,+3.13, +7.857, +9.398,+0.984
1635949440,+3.13, +7.848, +9.419,+0.983
1635950040,+3.13, +7.876, +9.423,+0.984
1635950640,+3.13, +7.866, +9.454,+0.983
1635951240,+3.13, +7.885, +9.420,+0.983
1635951840,+3.13, +7.857, +9.377,+0.984
1635952440,+3.13, +7.857, +9.424,+0.983
1635953040,+3.13, +7.885, +9.439,+0.983
1635953640,+3.13, +7.942, +9.401,+0.983
1635954240,+3.13, +7.933, +9.449,+0.984
1635954840,+3.13, +7.971, +9.446,+0.983
1635955440,+3.13, +8.018, +9.418,+0.983
1635956040,+3.13, +7.999, +9.359,+0.983
1635956640,+3.13, +8.027, +9.351,+0.983
1635957240,+3.13, +7.989, +9.391,+0.983
1635957840,+3.13, +8.027, +9.392,+0.983
1635958440,+3.13, +8.037, +9.369,+0.983
1635959040,+3.13, +8.084, +9.340,+0.983
1635959640,+3.13, +8.074, +9.341,+0.983
1635960240,+3.13, +8.093, +9.342,+0.983
1635960840,+3.13, +8.084, +9.375,+0.983
1635961440,+3.13, +8.074, +9.367,+0.983
1635962040,+3.13, +8.131, +9.304,+0.983
1635962640,+3.13, +8.169, +9.330,+0.983
1635963240,+3.13, +8.178, +9.338,+0.983
1635963840,+3.13, +8.169, +9.396,+0.983
1635964440,+3.12, +8.169, +9.376,+0.983
1635965040,+3.12, +8.197, +9.372,+0.983
1635965640,+3.12, +8.187, +9.327,+0.983
1635966240,+3.12, +8.216, +9.336,+0.983
1635966840,+3.12, +8.216, +9.321,+0.984
1635967440,+3.13, +8.216, +9.316,+0.983
1635968040,+3.12, +8.253, +9.275,+0.983
1635968640,+3.12, +8.225, +9.279,+0.984
1635969240,+3.13, +8.235, +9.289,+0.983
1635969840,+3.12, +8.291, +9.280,+0.984
1635970440,+3.12, +8.300, +9.293,+0.984
1635971040,+3.12, +8.328, +9.279,+0.983
1635971640,+3.12, +8.310, +9.278,+0.984
1635972240,+3.12, +8.347, +9.289,+0.984
1635972840,+3.12, +8.338, +9.259,+0.983
1635973440,+3.12, +8.357, +9.241,+0.983
1635974040,+3.12, +8.357, +9.259,+0.983
1635974640,+3.12, +8.366, +9.217,+0.983
1635975240,+3.12, +8.357, +9.219,+0.983
1635975840,+3.12, +8.394, +9.207,+0.983
1635976440,+3.12, +8.366, +9.214,+0.983
1635977040,+3.12, +8.366, +9.267,+0.983
1635977640,+3.12, +8.385, +9.254,+0.984
