MiniDOT Logger Concatenated Data File
Sensor:             7450-722934
Concatenation Date: 2020Sep19 15:18:48 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1599417060,           2020-09-06 18:31:00,           2020-09-06 14:31:00,      3.510000,     30.830000,          7.503000,                   100.689115,      0.962000
                1599417960,           2020-09-06 18:46:00,           2020-09-06 14:46:00,      3.530000,     22.801000,          1.474000,                    17.119210,      0.956000
                1599418860,           2020-09-06 19:01:00,           2020-09-06 15:01:00,      3.530000,     22.140000,          1.507000,                    17.282654,      0.957000
                1599419760,           2020-09-06 19:16:00,           2020-09-06 15:16:00,      3.530000,     21.965000,          1.740000,                    19.887672,      0.956000
                1599420660,           2020-09-06 19:31:00,           2020-09-06 15:31:00,      3.530000,     22.090000,          1.849000,                    21.184423,      0.955000
                1599421560,           2020-09-06 19:46:00,           2020-09-06 15:46:00,      3.530000,     22.124000,          1.943000,                    22.275960,      0.955000
                1599422460,           2020-09-06 20:01:00,           2020-09-06 16:01:00,      3.530000,     22.174000,          1.930000,                    22.148187,      0.954000
                1599423360,           2020-09-06 20:16:00,           2020-09-06 16:16:00,      3.530000,     22.199000,          1.927000,                    22.124379,      0.953000
                1599424260,           2020-09-06 20:31:00,           2020-09-06 16:31:00,      3.530000,     22.257000,          1.906000,                    21.907644,      0.954000
                1599425160,           2020-09-06 20:46:00,           2020-09-06 16:46:00,      3.530000,     22.282000,          1.921000,                    22.090644,      0.955000
                1599426060,           2020-09-06 21:01:00,           2020-09-06 17:01:00,      3.530000,     22.107000,          1.353000,                    15.506704,      0.956000
                1599426960,           2020-09-06 21:16:00,           2020-09-06 17:16:00,      3.530000,     22.425000,          1.357000,                    15.647698,      0.956000
                1599427860,           2020-09-06 21:31:00,           2020-09-06 17:31:00,      3.530000,     21.931000,          1.113000,                    12.712919,      0.955000
                1599428760,           2020-09-06 21:46:00,           2020-09-06 17:46:00,      3.530000,     22.266000,          1.391000,                    15.990973,      0.956000
                1599429660,           2020-09-06 22:01:00,           2020-09-06 18:01:00,      3.530000,     22.015000,          1.307000,                    14.953007,      0.956000
                1599430560,           2020-09-06 22:16:00,           2020-09-06 18:16:00,      3.530000,     22.157000,          1.450000,                    16.634396,      0.956000
                1599431460,           2020-09-06 22:31:00,           2020-09-06 18:31:00,      3.530000,     22.207000,          1.462000,                    16.788173,      0.955000
                1599432360,           2020-09-06 22:46:00,           2020-09-06 18:46:00,      3.530000,     22.241000,          1.526000,                    17.534525,      0.956000
                1599433260,           2020-09-06 23:01:00,           2020-09-06 19:01:00,      3.530000,     22.241000,          1.470000,                    16.891056,      0.956000
                1599434160,           2020-09-06 23:16:00,           2020-09-06 19:16:00,      3.540000,     22.224000,          1.399000,                    16.069986,      0.956000
                1599435060,           2020-09-06 23:31:00,           2020-09-06 19:31:00,      3.530000,     22.190000,          1.189000,                    13.648854,      0.955000
                1599435960,           2020-09-06 23:46:00,           2020-09-06 19:46:00,      3.530000,     22.182000,          1.442000,                    16.550566,      0.956000
                1599436860,           2020-09-07 00:01:00,           2020-09-06 20:01:00,      3.530000,     22.124000,          1.423000,                    16.314303,      0.956000
                1599437760,           2020-09-07 00:16:00,           2020-09-06 20:16:00,      3.530000,     22.057000,          1.984000,                    22.716724,      0.957000
                1599438660,           2020-09-07 00:31:00,           2020-09-06 20:31:00,      3.530000,     21.965000,          2.468000,                    28.208491,      0.957000
