MiniDOT Logger Concatenated Data File
Sensor:             7450-722934
Concatenation Date: 2022Jan07 14:36:59 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1631734200,           2021-09-15 19:30:00,           2021-09-15 15:30:00,      3.490000,     31.439000,          7.452000,                   101.047729,      0.945000
                1631735100,           2021-09-15 19:45:00,           2021-09-15 15:45:00,      3.490000,     30.778000,          7.476000,                   100.237605,      0.944000
                1631736000,           2021-09-15 20:00:00,           2021-09-15 16:00:00,      3.500000,     30.587000,          7.505000,                   100.297850,      0.945000
                1631736900,           2021-09-15 20:15:00,           2021-09-15 16:15:00,      3.500000,     30.276000,          7.550000,                   100.361768,      0.945000
                1631737800,           2021-09-15 20:30:00,           2021-09-15 16:30:00,      3.510000,     25.183000,          2.658000,                    32.276152,      0.937000
                1631738700,           2021-09-15 20:45:00,           2021-09-15 16:45:00,      3.510000,     23.152000,          3.546000,                    41.458881,      0.935000
                1631739600,           2021-09-15 21:00:00,           2021-09-15 17:00:00,      3.510000,     22.985000,          3.028000,                    35.290706,      0.935000
                1631740500,           2021-09-15 21:15:00,           2021-09-15 17:15:00,      3.510000,     23.077000,          3.317000,                    38.726434,      0.934000
                1631741400,           2021-09-15 21:30:00,           2021-09-15 17:30:00,      3.510000,     23.111000,          3.353000,                    39.171959,      0.935000
                1631742300,           2021-09-15 21:45:00,           2021-09-15 17:45:00,      3.510000,     23.119000,          3.070000,                    35.871200,      0.935000
                1631743200,           2021-09-15 22:00:00,           2021-09-15 18:00:00,      3.510000,     23.127000,          3.012000,                    35.198835,      0.935000
                1631744100,           2021-09-15 22:15:00,           2021-09-15 18:15:00,      3.510000,     23.161000,          2.428000,                    28.392360,      0.935000
                1631745000,           2021-09-15 22:30:00,           2021-09-15 18:30:00,      3.510000,     23.186000,          2.373000,                    27.762334,      0.935000
                1631745900,           2021-09-15 22:45:00,           2021-09-15 18:45:00,      3.510000,     23.203000,          2.341000,                    27.396765,      0.935000
                1631746800,           2021-09-15 23:00:00,           2021-09-15 19:00:00,      3.520000,     23.253000,          2.291000,                    26.836970,      0.935000
                1631747700,           2021-09-15 23:15:00,           2021-09-15 19:15:00,      3.520000,     23.244000,          2.217000,                    25.965711,      0.935000
                1631748600,           2021-09-15 23:30:00,           2021-09-15 19:30:00,      3.520000,     23.270000,          2.196000,                    25.732396,      0.935000
                1631749500,           2021-09-15 23:45:00,           2021-09-15 19:45:00,      3.520000,     23.253000,          2.300000,                    26.942397,      0.935000
                1631750400,           2021-09-16 00:00:00,           2021-09-15 20:00:00,      3.520000,     23.261000,          2.263000,                    26.512983,      0.935000
                1631751300,           2021-09-16 00:15:00,           2021-09-15 20:15:00,      3.520000,     23.261000,          1.988000,                    23.291123,      0.936000
                1631752200,           2021-09-16 00:30:00,           2021-09-15 20:30:00,      3.520000,     23.261000,          2.085000,                    24.427561,      0.935000
