MiniDOT Logger Concatenated Data File
Sensor:             7450-722934
Concatenation Date: 2022Aug18 13:37:31 GMT-05:00

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,                     GMT-05:00,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1645539300,           2022-02-22 14:15:00,           2022-02-22 09:15:00,      3.230000,     19.371000,          9.135000,                    99.218142,      0.934000
                1645540200,           2022-02-22 14:30:00,           2022-02-22 09:30:00,      3.250000,      7.953000,          8.347000,                    70.400419,      0.903000
                1645541100,           2022-02-22 14:45:00,           2022-02-22 09:45:00,      3.240000,      6.480000,          6.721000,                    54.653306,      0.922000
                1645542000,           2022-02-22 15:00:00,           2022-02-22 10:00:00,      3.240000,      6.837000,          7.622000,                    62.536755,      0.927000
                1645542900,           2022-02-22 15:15:00,           2022-02-22 10:15:00,      3.240000,      6.712000,          7.871000,                    64.378272,      0.926000
                1645543800,           2022-02-22 15:30:00,           2022-02-22 10:30:00,      3.240000,      6.615000,          7.858000,                    64.115975,      0.926000
                1645544700,           2022-02-22 15:45:00,           2022-02-22 10:45:00,      3.240000,      6.664000,          8.063000,                    65.869467,      0.927000
                1645545600,           2022-02-22 16:00:00,           2022-02-22 11:00:00,      3.240000,      6.780000,          8.070000,                    66.118277,      0.925000
                1645546500,           2022-02-22 16:15:00,           2022-02-22 11:15:00,      3.240000,      6.905000,          8.315000,                    68.338517,      0.923000
                1645547400,           2022-02-22 16:30:00,           2022-02-22 11:30:00,      3.240000,      6.924000,          8.684000,                    71.405036,      0.922000
                1645548300,           2022-02-22 16:45:00,           2022-02-22 11:45:00,      3.240000,      7.087000,          8.618000,                    71.150434,      0.925000
                1645549200,           2022-02-22 17:00:00,           2022-02-22 12:00:00,      3.240000,      7.087000,          8.724000,                    72.025573,      0.925000
                1645550100,           2022-02-22 17:15:00,           2022-02-22 12:15:00,      3.240000,      7.154000,          8.761000,                    72.451518,      0.925000
                1645551000,           2022-02-22 17:30:00,           2022-02-22 12:30:00,      3.230000,      7.489000,          8.520000,                    71.045053,      0.926000
                1645551900,           2022-02-22 17:45:00,           2022-02-22 12:45:00,      3.240000,      7.688000,          8.342000,                    69.902511,      0.925000
                1645552800,           2022-02-22 18:00:00,           2022-02-22 13:00:00,      3.230000,      7.555000,          8.182000,                    68.337717,      0.924000
                1645553700,           2022-02-22 18:15:00,           2022-02-22 13:15:00,      3.230000,      7.546000,          5.990000,                    50.018595,      0.929000
