MiniDOT Logger Concatenated Data File
Sensor:             7450-718499
Concatenation Date: 2020Oct26 13:43:16 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1600531260,           2020-09-19 16:01:00,           2020-09-19 12:01:00,      3.450000,     22.641000,          8.625000,                    99.866929,      0.985000
                1600532160,           2020-09-19 16:16:00,           2020-09-19 12:16:00,      3.460000,     20.149000,          9.036000,                    99.677734,      0.983000
                1600533060,           2020-09-19 16:31:00,           2020-09-19 12:31:00,      3.470000,     16.859000,          1.389000,                    14.329573,      0.984000
                1600533960,           2020-09-19 16:46:00,           2020-09-19 12:46:00,      3.470000,     16.341000,          1.373000,                    14.011203,      0.985000
                1600534860,           2020-09-19 17:01:00,           2020-09-19 13:01:00,      3.470000,     16.341000,          1.357000,                    13.847926,      0.986000
                1600535760,           2020-09-19 17:16:00,           2020-09-19 13:16:00,      3.470000,     16.341000,          1.428000,                    14.572468,      0.986000
                1600536660,           2020-09-19 17:31:00,           2020-09-19 13:31:00,      3.470000,     16.366000,          1.363000,                    13.916493,      0.986000
                1600537560,           2020-09-19 17:46:00,           2020-09-19 13:46:00,      3.470000,     16.426000,          1.286000,                    13.146926,      0.986000
                1600538460,           2020-09-19 18:01:00,           2020-09-19 14:01:00,      3.470000,     16.460000,          1.259000,                    12.880123,      0.986000
                1600539360,           2020-09-19 18:16:00,           2020-09-19 14:16:00,      3.470000,     16.553000,          1.221000,                    12.515833,      0.985000
                1600540260,           2020-09-19 18:31:00,           2020-09-19 14:31:00,      3.470000,     16.570000,          1.214000,                    12.448528,      0.985000
                1600541160,           2020-09-19 18:46:00,           2020-09-19 14:46:00,      3.470000,     16.579000,          1.120000,                    11.486811,      0.985000
