MiniDOT Logger Concatenated Data File
Sensor:             7450-718499
Concatenation Date: 2020Dec21 16:59:37 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1603735260,           2020-10-26 18:01:00,           2020-10-26 14:01:00,      3.400000,     18.967000,          8.986000,                    96.809044,      0.983000
                1603736160,           2020-10-26 18:16:00,           2020-10-26 14:16:00,      3.420000,     19.521000,          8.880000,                    96.738961,      0.984000
                1603737060,           2020-10-26 18:31:00,           2020-10-26 14:31:00,      3.430000,     19.404000,          8.923000,                    96.979737,      0.983000
                1603737960,           2020-10-26 18:46:00,           2020-10-26 14:46:00,      3.430000,     19.739000,          8.863000,                    96.975389,      0.984000
                1603738860,           2020-10-26 19:01:00,           2020-10-26 15:01:00,      3.440000,     19.764000,          8.859000,                    96.979976,      0.984000
                1603739760,           2020-10-26 19:16:00,           2020-10-26 15:16:00,      3.440000,     19.504000,          8.925000,                    97.196099,      0.984000
                1603740660,           2020-10-26 19:31:00,           2020-10-26 15:31:00,      3.450000,     19.379000,          8.939000,                    97.104913,      0.984000
                1603741560,           2020-10-26 19:46:00,           2020-10-26 15:46:00,      3.450000,     19.219000,          8.961000,                    97.031438,      0.983000
                1603742460,           2020-10-26 20:01:00,           2020-10-26 16:01:00,      3.460000,     19.102000,          8.984000,                    97.051537,      0.983000
                1603743360,           2020-10-26 20:16:00,           2020-10-26 16:16:00,      3.460000,     18.917000,          9.013000,                    97.001852,      0.983000
                1603744260,           2020-10-26 20:31:00,           2020-10-26 16:31:00,      3.460000,     14.515000,          0.505000,                     4.955656,      0.973000
                1603745160,           2020-10-26 20:46:00,           2020-10-26 16:46:00,      3.470000,     14.342000,          0.476000,                     4.653491,      0.976000
                1603746060,           2020-10-26 21:01:00,           2020-10-26 17:01:00,      3.470000,     14.229000,          0.376000,                     3.666800,      0.975000
                1603746960,           2020-10-26 21:16:00,           2020-10-26 17:16:00,      3.470000,     14.229000,          0.246000,                     2.399023,      0.974000
                1603747860,           2020-10-26 21:31:00,           2020-10-26 17:31:00,      3.470000,     14.246000,          0.181000,                     1.765792,      0.973000
                1603748760,           2020-10-26 21:46:00,           2020-10-26 17:46:00,      3.470000,     14.298000,          0.183000,                     1.787334,      0.973000
                1603749660,           2020-10-26 22:01:00,           2020-10-26 18:01:00,      3.470000,     14.333000,          0.205000,                     2.003736,      0.973000
                1603750560,           2020-10-26 22:16:00,           2020-10-26 18:16:00,      3.470000,     14.342000,          0.166000,                     1.622856,      0.973000
                1603751460,           2020-10-26 22:31:00,           2020-10-26 18:31:00,      3.470000,     14.350000,          0.197000,                     1.926256,      0.973000
                1603752360,           2020-10-26 22:46:00,           2020-10-26 18:46:00,      3.470000,     14.359000,          0.143000,                     1.398521,      0.972000
                1603753260,           2020-10-26 23:01:00,           2020-10-26 19:01:00,      3.470000,     14.394000,          0.128000,                     1.252780,      0.972000
                1603754160,           2020-10-26 23:16:00,           2020-10-26 19:16:00,      3.470000,     14.402000,          0.184000,                     1.801185,      0.973000
                1603755060,           2020-10-26 23:31:00,           2020-10-26 19:31:00,      3.470000,     14.437000,          0.138000,                     1.351920,      0.972000
                1603755960,           2020-10-26 23:46:00,           2020-10-26 19:46:00,      3.470000,     14.463000,          0.119000,                     1.166447,      0.972000
                1603756860,           2020-10-27 00:01:00,           2020-10-26 20:01:00,      3.470000,     14.454000,          0.119000,                     1.166218,      0.972000
                1603757760,           2020-10-27 00:16:00,           2020-10-26 20:16:00,      3.470000,     14.463000,          0.119000,                     1.166447,      0.972000
                1603758660,           2020-10-27 00:31:00,           2020-10-26 20:31:00,      3.470000,     14.463000,          0.104000,                     1.019416,      0.972000
                1603759560,           2020-10-27 00:46:00,           2020-10-26 20:46:00,      3.470000,     14.480000,          0.077000,                     0.755039,      0.971000
                1603760460,           2020-10-27 01:01:00,           2020-10-26 21:01:00,      3.470000,     14.480000,          0.076000,                     0.745234,      0.971000
                1603761360,           2020-10-27 01:16:00,           2020-10-26 21:16:00,      3.470000,     14.497000,          0.073000,                     0.716082,      0.971000
                1603762260,           2020-10-27 01:31:00,           2020-10-26 21:31:00,      3.470000,     14.489000,          0.072000,                     0.706149,      0.971000
                1603763160,           2020-10-27 01:46:00,           2020-10-26 21:46:00,      3.480000,     14.497000,          0.071000,                     0.696463,      0.971000
