MiniDOT Logger Concatenated Data File
Sensor:             7450-718499
Concatenation Date: 2021Aug26 19:04:33 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1625165940,           2021-07-01 18:59:00,           2021-07-01 14:59:00,      3.430000,     28.221000,          7.553000,                    96.871287,      0.974000
                1625166840,           2021-07-01 19:14:00,           2021-07-01 15:14:00,      3.440000,     28.144000,          1.783000,                    22.836877,      0.971000
                1625167740,           2021-07-01 19:29:00,           2021-07-01 15:29:00,      3.450000,     27.931000,          1.161000,                    14.814325,      0.971000
                1625168640,           2021-07-01 19:44:00,           2021-07-01 15:44:00,      3.450000,     27.957000,          1.207000,                    15.408374,      0.972000
                1625169540,           2021-07-01 19:59:00,           2021-07-01 15:59:00,      3.460000,     27.906000,          0.873000,                    11.134523,      0.970000
                1625170440,           2021-07-01 20:14:00,           2021-07-01 16:14:00,      3.460000,     27.889000,          0.697000,                     8.887086,      0.969000
                1625171340,           2021-07-01 20:29:00,           2021-07-01 16:29:00,      3.470000,     27.991000,          2.897000,                    37.004911,      0.971000
                1625172240,           2021-07-01 20:44:00,           2021-07-01 16:44:00,      3.470000,     27.625000,          3.324000,                    42.184498,      0.971000
                1625173140,           2021-07-01 20:59:00,           2021-07-01 16:59:00,      3.470000,     27.293000,          3.192000,                    40.270405,      0.970000
                1625174040,           2021-07-01 21:14:00,           2021-07-01 17:14:00,      3.470000,     27.115000,          3.278000,                    41.224008,      0.970000
                1625174940,           2021-07-01 21:29:00,           2021-07-01 17:29:00,      3.480000,     26.962000,          3.369000,                    42.252450,      0.970000
                1625175840,           2021-07-01 21:44:00,           2021-07-01 17:44:00,      3.480000,     26.852000,          3.110000,                    38.927270,      0.969000
                1625176740,           2021-07-01 21:59:00,           2021-07-01 17:59:00,      3.480000,     26.759000,          2.610000,                    32.614314,      0.970000
                1625177640,           2021-07-01 22:14:00,           2021-07-01 18:14:00,      3.480000,     26.657000,          2.693000,                    33.589767,      0.969000
                1625178540,           2021-07-01 22:29:00,           2021-07-01 18:29:00,      3.490000,     26.590000,          2.444000,                    30.447221,      0.970000
                1625179440,           2021-07-01 22:44:00,           2021-07-01 18:44:00,      3.490000,     26.514000,          2.485000,                    30.915600,      0.969000
                1625180340,           2021-07-01 22:59:00,           2021-07-01 18:59:00,      3.480000,     26.429000,          2.365000,                    29.377583,      0.969000
                1625181240,           2021-07-01 23:14:00,           2021-07-01 19:14:00,      3.480000,     26.370000,          2.405000,                    29.842624,      0.969000
