MiniDOT Logger Concatenated Data File
Sensor:             7450-712774
Concatenation Date: 2020Sep19 14:11:04 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1599424380,           2020-09-06 20:33:00,           2020-09-06 16:33:00,      3.520000,     26.639000,          5.249000,                    65.449516,      1.111000
                1599425280,           2020-09-06 20:48:00,           2020-09-06 16:48:00,      3.520000,     25.372000,          5.345000,                    65.129963,      1.113000
                1599426180,           2020-09-06 21:03:00,           2020-09-06 17:03:00,      3.520000,     25.228000,          4.757000,                    57.812126,      1.113000
                1599427080,           2020-09-06 21:18:00,           2020-09-06 17:18:00,      3.520000,     25.110000,          5.294000,                    64.198933,      1.114000
                1599427980,           2020-09-06 21:33:00,           2020-09-06 17:33:00,      3.520000,     25.169000,          4.841000,                    58.769245,      1.112000
                1599428880,           2020-09-06 21:48:00,           2020-09-06 17:48:00,      3.520000,     25.153000,          5.884000,                    71.410153,      1.112000
                1599429780,           2020-09-06 22:03:00,           2020-09-06 18:03:00,      3.520000,     25.094000,          5.809000,                    70.423469,      1.112000
                1599430680,           2020-09-06 22:18:00,           2020-09-06 18:18:00,      3.520000,     24.976000,          6.305000,                    76.270647,      1.112000
                1599431580,           2020-09-06 22:33:00,           2020-09-06 18:33:00,      3.520000,     24.875000,          6.317000,                    76.273595,      1.113000
                1599432480,           2020-09-06 22:48:00,           2020-09-06 18:48:00,      3.520000,     24.724000,          3.819000,                    45.983427,      1.112000
                1599433380,           2020-09-06 23:03:00,           2020-09-06 19:03:00,      3.520000,     24.572000,          3.781000,                    45.397926,      1.114000
                1599434280,           2020-09-06 23:18:00,           2020-09-06 19:18:00,      3.530000,     24.429000,          3.494000,                    41.840787,      1.114000
