MiniDOT Logger Concatenated Data File
Sensor:             7450-712774
Concatenation Date: 2021Aug26 18:54:36 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1625156160,           2021-07-01 16:16:00,           2021-07-01 12:16:00,      3.440000,     28.632000,          6.464000,                    83.505986,      1.100000
                1625157060,           2021-07-01 16:31:00,           2021-07-01 12:31:00,      3.440000,     28.614000,          7.056000,                    91.125018,      1.101000
                1625157960,           2021-07-01 16:46:00,           2021-07-01 12:46:00,      3.450000,     28.932000,          6.165000,                    80.062954,      1.101000
                1625158860,           2021-07-01 17:01:00,           2021-07-01 13:01:00,      3.460000,     29.009000,          6.758000,                    87.882243,      1.101000
                1625159760,           2021-07-01 17:16:00,           2021-07-01 13:16:00,      3.460000,     29.292000,          8.274000,                   108.128861,      1.101000
                1625160660,           2021-07-01 17:31:00,           2021-07-01 13:31:00,      3.460000,     29.559000,          8.554000,                   112.307975,      1.101000
                1625161560,           2021-07-01 17:46:00,           2021-07-01 13:46:00,      3.460000,     29.697000,          8.298000,                   109.207842,      1.100000
                1625162460,           2021-07-01 18:01:00,           2021-07-01 14:01:00,      3.470000,     30.163000,          8.494000,                   112.690870,      1.100000
                1625163360,           2021-07-01 18:16:00,           2021-07-01 14:16:00,      3.470000,     30.380000,          8.150000,                   108.531440,      1.100000
                1625164260,           2021-07-01 18:31:00,           2021-07-01 14:31:00,      3.470000,     30.536000,          8.188000,                   109.329900,      1.100000
                1625165160,           2021-07-01 18:46:00,           2021-07-01 14:46:00,      3.470000,     30.831000,          7.912000,                   106.179647,      1.099000
                1625166060,           2021-07-01 19:01:00,           2021-07-01 15:01:00,      3.470000,     30.735000,          7.943000,                   106.420778,      1.101000
                1625166960,           2021-07-01 19:16:00,           2021-07-01 15:16:00,      3.480000,     30.970000,          7.973000,                   107.252630,      1.100000
                1625167860,           2021-07-01 19:31:00,           2021-07-01 15:31:00,      3.480000,     30.927000,          7.778000,                   104.552711,      1.100000
                1625168760,           2021-07-01 19:46:00,           2021-07-01 15:46:00,      3.490000,     31.031000,          7.663000,                   103.189863,      1.099000
                1625169660,           2021-07-01 20:01:00,           2021-07-01 16:01:00,      3.490000,     31.005000,          7.503000,                   100.990501,      1.100000
                1625170560,           2021-07-01 20:16:00,           2021-07-01 16:16:00,      3.490000,     31.014000,          7.626000,                   102.661846,      1.099000
                1625171460,           2021-07-01 20:31:00,           2021-07-01 16:31:00,      3.490000,     30.389000,          7.475000,                    99.558035,      1.100000
                1625172360,           2021-07-01 20:46:00,           2021-07-01 16:46:00,      3.490000,     29.697000,          7.345000,                    96.665654,      1.102000
                1625173260,           2021-07-01 21:01:00,           2021-07-01 17:01:00,      3.490000,     29.456000,          7.360000,                    96.458948,      1.102000
                1625174160,           2021-07-01 21:16:00,           2021-07-01 17:16:00,      3.490000,     29.232000,          6.852000,                    89.451927,      1.102000
                1625175060,           2021-07-01 21:31:00,           2021-07-01 17:31:00,      3.500000,     29.060000,          6.715000,                    87.400866,      1.101000
                1625175960,           2021-07-01 21:46:00,           2021-07-01 17:46:00,      3.500000,     28.906000,          6.439000,                    83.583296,      1.101000
                1625176860,           2021-07-01 22:01:00,           2021-07-01 18:01:00,      3.500000,     28.803000,          6.405000,                    82.992210,      1.102000
                1625177760,           2021-07-01 22:16:00,           2021-07-01 18:16:00,      3.500000,     28.674000,          5.996000,                    77.517171,      1.102000
                1625178660,           2021-07-01 22:31:00,           2021-07-01 18:31:00,      3.500000,     28.589000,          5.753000,                    74.264765,      1.102000
                1625179560,           2021-07-01 22:46:00,           2021-07-01 18:46:00,      3.500000,     28.503000,          5.554000,                    71.587654,      1.102000
                1625180460,           2021-07-01 23:01:00,           2021-07-01 19:01:00,      3.500000,     28.426000,          5.559000,                    71.555136,      1.102000
                1625181360,           2021-07-01 23:16:00,           2021-07-01 19:16:00,      3.500000,     28.341000,          5.205000,                    66.898286,      1.102000
                1625182260,           2021-07-01 23:31:00,           2021-07-01 19:31:00,      3.500000,     28.247000,          5.431000,                    69.687447,      1.102000
                1625183160,           2021-07-01 23:46:00,           2021-07-01 19:46:00,      3.500000,     28.127000,          5.441000,                    69.668058,      1.102000
                1625184060,           2021-07-02 00:01:00,           2021-07-01 20:01:00,      3.500000,     28.050000,          5.433000,                    69.471033,      1.102000
                1625184960,           2021-07-02 00:16:00,           2021-07-01 20:16:00,      3.510000,     27.965000,          5.372000,                    68.587828,      1.102000
                1625185860,           2021-07-02 00:31:00,           2021-07-01 20:31:00,      3.510000,     27.863000,          5.344000,                    68.107189,      1.102000
                1625186760,           2021-07-02 00:46:00,           2021-07-01 20:46:00,      3.510000,     27.786000,          5.507000,                    70.088803,      1.102000
                1625187660,           2021-07-02 01:01:00,           2021-07-01 21:01:00,      3.510000,     27.684000,          5.516000,                    70.076349,      1.102000
                1625188560,           2021-07-02 01:16:00,           2021-07-01 21:16:00,      3.510000,     27.615000,          5.400000,                    68.518591,      1.102000
                1625189460,           2021-07-02 01:31:00,           2021-07-01 21:31:00,      3.500000,     27.530000,          5.295000,                    67.084771,      1.102000
                1625190360,           2021-07-02 01:46:00,           2021-07-01 21:46:00,      3.500000,     27.462000,          5.224000,                    66.105147,      1.102000
                1625191260,           2021-07-02 02:01:00,           2021-07-01 22:01:00,      3.500000,     27.369000,          5.485000,                    69.292905,      1.101000
                1625192160,           2021-07-02 02:16:00,           2021-07-01 22:16:00,      3.510000,     27.301000,          5.225000,                    65.928234,      1.102000
                1625193060,           2021-07-02 02:31:00,           2021-07-01 22:31:00,      3.510000,     27.207000,          5.192000,                    65.401931,      1.102000
                1625193960,           2021-07-02 02:46:00,           2021-07-01 22:46:00,      3.510000,     27.156000,          5.024000,                    63.228005,      1.102000
