MiniDOT Logger Concatenated Data File
Sensor:             7450-722934
Concatenation Date: 2020Oct26 13:59:51 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1600544760,           2020-09-19 19:46:00,           2020-09-19 15:46:00,      3.440000,     16.580000,          1.790000,                    18.358772,      0.955000
                1600545660,           2020-09-19 20:01:00,           2020-09-19 16:01:00,      3.450000,     16.750000,          1.873000,                    19.278698,      0.956000
                1600546560,           2020-09-19 20:16:00,           2020-09-19 16:16:00,      3.450000,     16.724000,          2.097000,                    21.572560,      0.956000
                1600547460,           2020-09-19 20:31:00,           2020-09-19 16:31:00,      3.450000,     16.707000,          2.463000,                    25.328698,      0.957000
                1600548360,           2020-09-19 20:46:00,           2020-09-19 16:46:00,      3.460000,     16.656000,          2.356000,                    24.202435,      0.957000
                1600549260,           2020-09-19 21:01:00,           2020-09-19 17:01:00,      3.460000,     16.605000,          2.224000,                    22.821989,      0.957000
                1600550160,           2020-09-19 21:16:00,           2020-09-19 17:16:00,      3.460000,     16.563000,          2.723000,                    27.917920,      0.956000
                1600551060,           2020-09-19 21:31:00,           2020-09-19 17:31:00,      3.470000,     16.503000,          2.524000,                    25.845011,      0.957000
                1600551960,           2020-09-19 21:46:00,           2020-09-19 17:46:00,      3.470000,     16.418000,          2.478000,                    25.328609,      0.957000
                1600552860,           2020-09-19 22:01:00,           2020-09-19 18:01:00,      3.470000,     16.350000,          2.306000,                    23.536760,      0.957000
                1600553760,           2020-09-19 22:16:00,           2020-09-19 18:16:00,      3.470000,     16.308000,          2.167000,                    22.098425,      0.957000
                1600554660,           2020-09-19 22:31:00,           2020-09-19 18:31:00,      3.480000,     16.248000,          2.074000,                    21.123252,      0.956000
