MiniDOT Logger Concatenated Data File
Sensor:             7450-722934
Concatenation Date: 2020Dec21 17:05:51 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1603737060,           2020-10-26 18:31:00,           2020-10-26 14:31:00,      3.430000,     20.242000,          8.847000,                    97.772785,      0.953000
                1603737960,           2020-10-26 18:46:00,           2020-10-26 14:46:00,      3.440000,     20.376000,          8.816000,                    97.688670,      0.953000
                1603738860,           2020-10-26 19:01:00,           2020-10-26 15:01:00,      3.450000,     20.225000,          8.854000,                    97.817222,      0.953000
                1603739760,           2020-10-26 19:16:00,           2020-10-26 15:16:00,      3.450000,     19.840000,          8.906000,                    97.642290,      0.952000
                1603740660,           2020-10-26 19:31:00,           2020-10-26 15:31:00,      3.460000,     19.639000,          8.935000,                    97.568161,      0.953000
                1603741560,           2020-10-26 19:46:00,           2020-10-26 15:46:00,      3.460000,     19.405000,          8.972000,                    97.514251,      0.953000
                1603742460,           2020-10-26 20:01:00,           2020-10-26 16:01:00,      3.470000,     19.262000,          9.007000,                    97.613921,      0.952000
                1603743360,           2020-10-26 20:16:00,           2020-10-26 16:16:00,      3.470000,     16.469000,          1.777000,                    18.182936,      0.941000
                1603744260,           2020-10-26 20:31:00,           2020-10-26 16:31:00,      3.470000,     14.568000,          1.282000,                    12.595013,      0.946000
                1603745160,           2020-10-26 20:46:00,           2020-10-26 16:46:00,      3.480000,     14.352000,          1.167000,                    11.411364,      0.948000
                1603746060,           2020-10-26 21:01:00,           2020-10-26 17:01:00,      3.480000,     14.326000,          1.176000,                    11.492843,      0.949000
                1603746960,           2020-10-26 21:16:00,           2020-10-26 17:16:00,      3.480000,     14.335000,          1.289000,                    12.599648,      0.951000
                1603747860,           2020-10-26 21:31:00,           2020-10-26 17:31:00,      3.480000,     14.456000,          1.269000,                    12.436935,      0.952000
                1603748760,           2020-10-26 21:46:00,           2020-10-26 17:46:00,      3.480000,     14.490000,          1.245000,                    12.210762,      0.951000
                1603749660,           2020-10-26 22:01:00,           2020-10-26 18:01:00,      3.480000,     14.551000,          1.089000,                    10.694929,      0.951000
                1603750560,           2020-10-26 22:16:00,           2020-10-26 18:16:00,      3.480000,     14.551000,          1.068000,                    10.488691,      0.951000
                1603751460,           2020-10-26 22:31:00,           2020-10-26 18:31:00,      3.480000,     14.560000,          0.939000,                     9.223604,      0.950000
