MiniDOT Logger Concatenated Data File
Sensor:             7450-722934
Concatenation Date: 2021Jul01 09:17:25 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1621537260,           2021-05-20 19:01:00,           2021-05-20 15:01:00,      3.440000,     22.466000,          2.924000,                    33.743379,      0.947000
                1621538160,           2021-05-20 19:16:00,           2021-05-20 15:16:00,      3.450000,     21.789000,          2.756000,                    31.393455,      0.947000
                1621539060,           2021-05-20 19:31:00,           2021-05-20 15:31:00,      3.450000,     21.630000,          2.781000,                    31.580944,      0.947000
                1621539960,           2021-05-20 19:46:00,           2021-05-20 15:46:00,      3.460000,     21.338000,          2.163000,                    24.424122,      0.947000
                1621540860,           2021-05-20 20:01:00,           2021-05-20 16:01:00,      3.460000,     21.129000,          2.344000,                    26.360353,      0.947000
                1621541760,           2021-05-20 20:16:00,           2021-05-20 16:16:00,      3.470000,     21.463000,          2.401000,                    27.177516,      0.947000
                1621542660,           2021-05-20 20:31:00,           2021-05-20 16:31:00,      3.470000,     21.363000,          2.222000,                    25.102541,      0.947000
                1621543560,           2021-05-20 20:46:00,           2021-05-20 16:46:00,      3.470000,     21.405000,          2.094000,                    23.675815,      0.947000
                1621544460,           2021-05-20 21:01:00,           2021-05-20 17:01:00,      3.470000,     21.430000,          1.955000,                    22.114952,      0.947000
                1621545360,           2021-05-20 21:16:00,           2021-05-20 17:16:00,      3.470000,     21.472000,          2.040000,                    23.095303,      0.947000
                1621546260,           2021-05-20 21:31:00,           2021-05-20 17:31:00,      3.480000,     21.446000,          2.168000,                    24.532030,      0.947000
                1621547160,           2021-05-20 21:46:00,           2021-05-20 17:46:00,      3.480000,     21.396000,          2.536000,                    28.668273,      0.947000
                1621548060,           2021-05-20 22:01:00,           2021-05-20 18:01:00,      3.480000,     21.354000,          2.703000,                    30.531185,      0.947000
                1621548960,           2021-05-20 22:16:00,           2021-05-20 18:16:00,      3.480000,     21.263000,          3.014000,                    33.983773,      0.946000
                1621549860,           2021-05-20 22:31:00,           2021-05-20 18:31:00,      3.480000,     21.154000,          2.934000,                    33.011526,      0.947000
                1621550760,           2021-05-20 22:46:00,           2021-05-20 18:46:00,      3.480000,     21.070000,          3.044000,                    34.193054,      0.947000
                1621551660,           2021-05-20 23:01:00,           2021-05-20 19:01:00,      3.480000,     20.962000,          3.014000,                    33.784644,      0.946000
                1621552560,           2021-05-20 23:16:00,           2021-05-20 19:16:00,      3.480000,     20.836000,          2.828000,                    31.621579,      0.946000
                1621553460,           2021-05-20 23:31:00,           2021-05-20 19:31:00,      3.480000,     20.719000,          2.502000,                    27.912207,      0.946000
                1621554360,           2021-05-20 23:46:00,           2021-05-20 19:46:00,      3.490000,     20.594000,          2.610000,                    29.045568,      0.946000
                1621555260,           2021-05-21 00:01:00,           2021-05-20 20:01:00,      3.490000,     20.451000,          2.646000,                    29.363337,      0.946000
                1621556160,           2021-05-21 00:16:00,           2021-05-20 20:16:00,      3.490000,     20.317000,          2.584000,                    28.599523,      0.946000
                1621557060,           2021-05-21 00:31:00,           2021-05-20 20:31:00,      3.490000,     20.175000,          2.598000,                    28.673774,      0.946000
                1621557960,           2021-05-21 00:46:00,           2021-05-20 20:46:00,      3.490000,     20.025000,          2.526000,                    27.796284,      0.946000
                1621558860,           2021-05-21 01:01:00,           2021-05-20 21:01:00,      3.490000,     19.924000,          2.487000,                    27.312237,      0.946000
                1621559760,           2021-05-21 01:16:00,           2021-05-20 21:16:00,      3.490000,     19.782000,          2.439000,                    26.709457,      0.946000
                1621560660,           2021-05-21 01:31:00,           2021-05-20 21:31:00,      3.490000,     19.648000,          2.459000,                    26.856549,      0.946000
                1621561560,           2021-05-21 01:46:00,           2021-05-20 21:46:00,      3.490000,     19.514000,          2.811000,                    30.618818,      0.946000
                1621562460,           2021-05-21 02:01:00,           2021-05-20 22:01:00,      3.500000,     19.405000,          2.510000,                    27.280514,      0.946000
                1621563360,           2021-05-21 02:16:00,           2021-05-20 22:16:00,      3.500000,     19.287000,          2.383000,                    25.838892,      0.946000
                1621564260,           2021-05-21 02:31:00,           2021-05-20 22:31:00,      3.500000,     19.153000,          2.364000,                    25.563861,      0.946000
                1621565160,           2021-05-21 02:46:00,           2021-05-20 22:46:00,      3.500000,     19.019000,          2.332000,                    25.149775,      0.946000
                1621566060,           2021-05-21 03:01:00,           2021-05-20 23:01:00,      3.490000,     18.893000,          2.322000,                    24.978255,      0.946000
                1621566960,           2021-05-21 03:16:00,           2021-05-20 23:16:00,      3.490000,     18.792000,          2.253000,                    24.186505,      0.946000
                1621567860,           2021-05-21 03:31:00,           2021-05-20 23:31:00,      3.500000,     18.657000,          2.166000,                    23.188959,      0.946000
                1621568760,           2021-05-21 03:46:00,           2021-05-20 23:46:00,      3.500000,     18.565000,          2.068000,                    22.098432,      0.946000
                1621569660,           2021-05-21 04:01:00,           2021-05-21 00:01:00,      3.500000,     18.447000,          2.115000,                    22.546452,      0.946000
                1621570560,           2021-05-21 04:16:00,           2021-05-21 00:16:00,      3.500000,     18.338000,          2.073000,                    22.049655,      0.946000
                1621571460,           2021-05-21 04:31:00,           2021-05-21 00:31:00,      3.500000,     18.220000,          2.063000,                    21.890453,      0.946000
                1621572360,           2021-05-21 04:46:00,           2021-05-21 00:46:00,      3.500000,     18.144000,          1.991000,                    21.093632,      0.946000
                1621573260,           2021-05-21 05:01:00,           2021-05-21 01:01:00,      3.500000,     18.009000,          1.904000,                    20.116167,      0.946000
                1621574160,           2021-05-21 05:16:00,           2021-05-21 01:16:00,      3.500000,     17.934000,          1.894000,                    19.979722,      0.946000
                1621575060,           2021-05-21 05:31:00,           2021-05-21 01:31:00,      3.500000,     17.832000,          1.872000,                    19.706268,      0.945000
                1621575960,           2021-05-21 05:46:00,           2021-05-21 01:46:00,      3.500000,     17.723000,          1.787000,                    18.769294,      0.945000
                1621576860,           2021-05-21 06:01:00,           2021-05-21 02:01:00,      3.500000,     17.638000,          1.778000,                    18.642042,      0.945000
                1621577760,           2021-05-21 06:16:00,           2021-05-21 02:16:00,      3.500000,     17.545000,          1.866000,                    19.527147,      0.945000
                1621578660,           2021-05-21 06:31:00,           2021-05-21 02:31:00,      3.500000,     17.452000,          1.897000,                    19.813382,      0.945000
                1621579560,           2021-05-21 06:46:00,           2021-05-21 02:46:00,      3.500000,     17.385000,          1.831000,                    19.097506,      0.945000
                1621580460,           2021-05-21 07:01:00,           2021-05-21 03:01:00,      3.500000,     17.258000,          1.860000,                    19.348907,      0.946000
                1621581360,           2021-05-21 07:16:00,           2021-05-21 03:16:00,      3.500000,     17.173000,          1.767000,                    18.349004,      0.945000
                1621582260,           2021-05-21 07:31:00,           2021-05-21 03:31:00,      3.510000,     17.123000,          1.679000,                    17.417051,      0.945000
                1621583160,           2021-05-21 07:46:00,           2021-05-21 03:46:00,      3.510000,     17.046000,          1.655000,                    17.140563,      0.945000
                1621584060,           2021-05-21 08:01:00,           2021-05-21 04:01:00,      3.510000,     16.928000,          1.711000,                    17.676955,      0.945000
                1621584960,           2021-05-21 08:16:00,           2021-05-21 04:16:00,      3.510000,     16.868000,          1.756000,                    18.119127,      0.945000
                1621585860,           2021-05-21 08:31:00,           2021-05-21 04:31:00,      3.500000,     16.767000,          1.702000,                    17.524844,      0.945000
                1621586760,           2021-05-21 08:46:00,           2021-05-21 04:46:00,      3.500000,     16.699000,          1.686000,                    17.335372,      0.945000
                1621587660,           2021-05-21 09:01:00,           2021-05-21 05:01:00,      3.500000,     16.597000,          1.740000,                    17.852333,      0.945000
                1621588560,           2021-05-21 09:16:00,           2021-05-21 05:16:00,      3.500000,     16.503000,          1.695000,                    17.356297,      0.945000
                1621589460,           2021-05-21 09:31:00,           2021-05-21 05:31:00,      3.500000,     16.444000,          1.708000,                    17.467703,      0.945000
                1621590360,           2021-05-21 09:46:00,           2021-05-21 05:46:00,      3.500000,     16.359000,          1.554000,                    15.864297,      0.944000
                1621591260,           2021-05-21 10:01:00,           2021-05-21 06:01:00,      3.510000,     16.265000,          1.544000,                    15.730963,      0.944000
                1621592160,           2021-05-21 10:16:00,           2021-05-21 06:16:00,      3.510000,     16.189000,          1.447000,                    14.719016,      0.944000
                1621593060,           2021-05-21 10:31:00,           2021-05-21 06:31:00,      3.510000,     16.086000,          1.460000,                    14.818901,      0.944000
                1621593960,           2021-05-21 10:46:00,           2021-05-21 06:46:00,      3.510000,     16.018000,          1.393000,                    14.118485,      0.944000
                1621594860,           2021-05-21 11:01:00,           2021-05-21 07:01:00,      3.510000,     15.958000,          1.430000,                    14.475045,      0.944000
                1621595760,           2021-05-21 11:16:00,           2021-05-21 07:16:00,      3.510000,     15.907000,          1.468000,                    14.843604,      0.944000
                1621596660,           2021-05-21 11:31:00,           2021-05-21 07:31:00,      3.510000,     15.882000,          1.418000,                    14.330413,      0.944000
                1621597560,           2021-05-21 11:46:00,           2021-05-21 07:46:00,      3.510000,     15.839000,          1.425000,                    14.387988,      0.944000
                1621598460,           2021-05-21 12:01:00,           2021-05-21 08:01:00,      3.510000,     15.813000,          1.451000,                    14.642401,      0.944000
                1621599360,           2021-05-21 12:16:00,           2021-05-21 08:16:00,      3.510000,     15.796000,          1.498000,                    15.111219,      0.944000
                1621600260,           2021-05-21 12:31:00,           2021-05-21 08:31:00,      3.510000,     15.805000,          1.603000,                    16.173515,      0.944000
                1621601160,           2021-05-21 12:46:00,           2021-05-21 08:46:00,      3.510000,     15.796000,          1.633000,                    16.473044,      0.944000
                1621602060,           2021-05-21 13:01:00,           2021-05-21 09:01:00,      3.510000,     15.805000,          1.535000,                    15.487427,      0.944000
                1621602960,           2021-05-21 13:16:00,           2021-05-21 09:16:00,      3.510000,     15.813000,          1.400000,                    14.127747,      0.944000
                1621603860,           2021-05-21 13:31:00,           2021-05-21 09:31:00,      3.510000,     15.813000,          1.256000,                    12.674607,      0.943000
                1621604760,           2021-05-21 13:46:00,           2021-05-21 09:46:00,      3.510000,     15.873000,          1.401000,                    14.155900,      0.944000
                1621605660,           2021-05-21 14:01:00,           2021-05-21 10:01:00,      3.510000,     15.933000,          1.340000,                    13.556827,      0.943000
                1621606560,           2021-05-21 14:16:00,           2021-05-21 10:16:00,      3.510000,     15.992000,          1.357000,                    13.746028,      0.944000
                1621607460,           2021-05-21 14:31:00,           2021-05-21 10:31:00,      3.510000,     16.044000,          1.273000,                    12.909365,      0.943000
                1621608360,           2021-05-21 14:46:00,           2021-05-21 10:46:00,      3.510000,     16.129000,          1.326000,                    13.471075,      0.943000
                1621609260,           2021-05-21 15:01:00,           2021-05-21 11:01:00,      3.510000,     16.248000,          1.387000,                    14.126302,      0.944000
                1621610160,           2021-05-21 15:16:00,           2021-05-21 11:16:00,      3.500000,     16.401000,          1.403000,                    14.335476,      0.944000
                1621611060,           2021-05-21 15:31:00,           2021-05-21 11:31:00,      3.500000,     16.588000,          1.286000,                    13.191815,      0.943000
                1621611960,           2021-05-21 15:46:00,           2021-05-21 11:46:00,      3.500000,     16.750000,          1.342000,                    13.813141,      0.944000
                1621612860,           2021-05-21 16:01:00,           2021-05-21 12:01:00,      3.510000,     16.996000,          1.350000,                    13.967152,      0.944000
                1621613760,           2021-05-21 16:16:00,           2021-05-21 12:16:00,      3.510000,     17.300000,          1.239000,                    12.900118,      0.943000
                1621614660,           2021-05-21 16:31:00,           2021-05-21 12:31:00,      3.500000,     17.655000,          1.349000,                    14.149011,      0.944000
                1621615560,           2021-05-21 16:46:00,           2021-05-21 12:46:00,      3.510000,     18.026000,          1.272000,                    13.443641,      0.944000
                1621616460,           2021-05-21 17:01:00,           2021-05-21 13:01:00,      3.500000,     18.414000,          1.103000,                    11.750363,      0.944000
                1621617360,           2021-05-21 17:16:00,           2021-05-21 13:16:00,      3.500000,     18.742000,          1.148000,                    12.311578,      0.944000
                1621618260,           2021-05-21 17:31:00,           2021-05-21 13:31:00,      3.510000,     19.178000,          1.285000,                    13.902751,      0.945000
                1621619160,           2021-05-21 17:46:00,           2021-05-21 13:46:00,      3.500000,     19.514000,          1.184000,                    12.896720,      0.944000
                1621620060,           2021-05-21 18:01:00,           2021-05-21 14:01:00,      3.500000,     19.782000,          1.127000,                    12.341762,      0.944000
                1621620960,           2021-05-21 18:16:00,           2021-05-21 14:16:00,      3.500000,     20.125000,          1.092000,                    12.040317,      0.944000
                1621621860,           2021-05-21 18:31:00,           2021-05-21 14:31:00,      3.500000,     20.359000,          1.010000,                    11.187889,      0.944000
                1621622760,           2021-05-21 18:46:00,           2021-05-21 14:46:00,      3.500000,     20.560000,          0.953000,                    10.598430,      0.944000
                1621623660,           2021-05-21 19:01:00,           2021-05-21 15:01:00,      3.500000,     20.803000,          0.945000,                    10.559780,      0.944000
                1621624560,           2021-05-21 19:16:00,           2021-05-21 15:16:00,      3.500000,     20.895000,          0.850000,                     9.515361,      0.944000
                1621625460,           2021-05-21 19:31:00,           2021-05-21 15:31:00,      3.500000,     21.012000,          0.801000,                     8.987386,      0.943000
                1621626360,           2021-05-21 19:46:00,           2021-05-21 15:46:00,      3.500000,     21.095000,          0.822000,                     9.237982,      0.944000
                1621627260,           2021-05-21 20:01:00,           2021-05-21 16:01:00,      3.500000,     21.171000,          0.809000,                     9.105380,      0.944000
                1621628160,           2021-05-21 20:16:00,           2021-05-21 16:16:00,      3.500000,     21.212000,          0.864000,                     9.732188,      0.944000
                1621629060,           2021-05-21 20:31:00,           2021-05-21 16:31:00,      3.500000,     21.279000,          1.016000,                    11.459282,      0.943000
                1621629960,           2021-05-21 20:46:00,           2021-05-21 16:46:00,      3.500000,     21.296000,          1.003000,                    11.316402,      0.944000
                1621630860,           2021-05-21 21:01:00,           2021-05-21 17:01:00,      3.510000,     21.313000,          0.918000,                    10.360813,      0.944000
                1621631760,           2021-05-21 21:16:00,           2021-05-21 17:16:00,      3.510000,     21.321000,          1.036000,                    11.694416,      0.944000
                1621632660,           2021-05-21 21:31:00,           2021-05-21 17:31:00,      3.510000,     21.329000,          0.955000,                    10.781762,      0.944000
                1621633560,           2021-05-21 21:46:00,           2021-05-21 17:46:00,      3.510000,     21.321000,          0.982000,                    11.084861,      0.944000
                1621634460,           2021-05-21 22:01:00,           2021-05-21 18:01:00,      3.510000,     21.321000,          1.016000,                    11.468655,      0.944000
                1621635360,           2021-05-21 22:16:00,           2021-05-21 18:16:00,      3.510000,     21.304000,          0.994000,                    11.216606,      0.944000
                1621636260,           2021-05-21 22:31:00,           2021-05-21 18:31:00,      3.510000,     21.271000,          0.957000,                    10.792150,      0.944000
                1621637160,           2021-05-21 22:46:00,           2021-05-21 18:46:00,      3.510000,     21.254000,          0.880000,                     9.920530,      0.944000
                1621638060,           2021-05-21 23:01:00,           2021-05-21 19:01:00,      3.510000,     21.212000,          1.078000,                    12.142707,      0.944000
                1621638960,           2021-05-21 23:16:00,           2021-05-21 19:16:00,      3.510000,     21.171000,          1.155000,                    12.999646,      0.944000
                1621639860,           2021-05-21 23:31:00,           2021-05-21 19:31:00,      3.510000,     21.145000,          1.246000,                    14.016748,      0.945000
                1621640760,           2021-05-21 23:46:00,           2021-05-21 19:46:00,      3.510000,     21.095000,          1.324000,                    14.879670,      0.945000
                1621641660,           2021-05-22 00:01:00,           2021-05-21 20:01:00,      3.500000,     21.054000,          1.303000,                    14.631939,      0.945000
                1621642560,           2021-05-22 00:16:00,           2021-05-21 20:16:00,      3.500000,     20.962000,          1.959000,                    21.958898,      0.945000
                1621643460,           2021-05-22 00:31:00,           2021-05-21 20:31:00,      3.500000,     20.895000,          2.791000,                    31.243969,      0.946000
                1621644360,           2021-05-22 00:46:00,           2021-05-21 20:46:00,      3.510000,     20.778000,          3.121000,                    34.858105,      0.946000
                1621645260,           2021-05-22 01:01:00,           2021-05-21 21:01:00,      3.510000,     20.686000,          3.512000,                    39.154327,      0.945000
                1621646160,           2021-05-22 01:16:00,           2021-05-21 21:16:00,      3.510000,     20.568000,          3.384000,                    37.639810,      0.945000
                1621647060,           2021-05-22 01:31:00,           2021-05-21 21:31:00,      3.510000,     20.443000,          2.116000,                    23.478086,      0.946000
                1621647960,           2021-05-22 01:46:00,           2021-05-21 21:46:00,      3.510000,     20.309000,          2.083000,                    23.050846,      0.946000
                1621648860,           2021-05-22 02:01:00,           2021-05-21 22:01:00,      3.510000,     20.192000,          2.394000,                    26.431154,      0.946000
                1621649760,           2021-05-22 02:16:00,           2021-05-21 22:16:00,      3.510000,     20.041000,          2.818000,                    31.019327,      0.946000
                1621650660,           2021-05-22 02:31:00,           2021-05-21 22:31:00,      3.510000,     19.941000,          3.010000,                    33.067003,      0.946000
                1621651560,           2021-05-22 02:46:00,           2021-05-21 22:46:00,      3.510000,     19.824000,          2.710000,                    29.702029,      0.946000
                1621652460,           2021-05-22 03:01:00,           2021-05-21 23:01:00,      3.510000,     19.698000,          2.577000,                    28.173436,      0.946000
                1621653360,           2021-05-22 03:16:00,           2021-05-21 23:16:00,      3.510000,     19.589000,          2.814000,                    30.697537,      0.946000
                1621654260,           2021-05-22 03:31:00,           2021-05-21 23:31:00,      3.510000,     19.480000,          2.892000,                    31.479665,      0.946000
                1621655160,           2021-05-22 03:46:00,           2021-05-21 23:46:00,      3.510000,     19.363000,          2.967000,                    32.220357,      0.946000
                1621656060,           2021-05-22 04:01:00,           2021-05-22 00:01:00,      3.510000,     19.262000,          2.708000,                    29.348118,      0.946000
                1621656960,           2021-05-22 04:16:00,           2021-05-22 00:16:00,      3.510000,     19.145000,          2.687000,                    29.052042,      0.946000
                1621657860,           2021-05-22 04:31:00,           2021-05-22 00:31:00,      3.510000,     19.044000,          2.942000,                    31.744416,      0.946000
                1621658760,           2021-05-22 04:46:00,           2021-05-22 00:46:00,      3.510000,     18.985000,          2.670000,                    28.775222,      0.946000
                1621659660,           2021-05-22 05:01:00,           2021-05-22 01:01:00,      3.510000,     18.876000,          2.654000,                    28.539834,      0.946000
                1621660560,           2021-05-22 05:16:00,           2021-05-22 01:16:00,      3.510000,     18.792000,          2.530000,                    27.160168,      0.946000
                1621661460,           2021-05-22 05:31:00,           2021-05-22 01:31:00,      3.510000,     18.674000,          2.619000,                    28.048406,      0.946000
