GC_Number,GC_SampleID,CH4_RetTime,CH4_Area,CH4_ppm,CO2_RetTime,CO2_Area,CO2_ppm,GC_ID,Sample_ID,Rep,Site_ID,WaterT_C,Air_Location,AirV_mL,WaterV_mL
68,DD-10-001,6.139,"120,622",367.47,12.284,"34,815",6413,dd-10-001,BD-SW-GHG-R1-20201030,R1,BD-SW,12.3,JL Air,20,20
72,DD-10-002,6.061,"107,608",329.02,12.208,"38,988",7168,dd-10-002,BD-SW-GHG-R2-20201030,R2,BD-SW,12.3,JL Air,20,20
54,DD-10-003,6.104,"2,515",2.57,12.246,"3,905",758,dd-10-003,BD-SW-GHG-R3-20201030,R3,BD-SW,12.3,JL Air,20,20
74,DD-10-004,6.099,"2,056",1.28,12.268,"2,924",576,dd-10-004,JL Air,Air,NA,,JL Air,20,20
50,DD-10-005,6.101,"2,383",2.2,12.27,"3,539",690,dd-10-005,JL Air,Air,NA,,JL Air,20,20
76,DD-10-006,6.102,"2,042",1.24,12.258,"3,050",600,dd-10-006,JL Air,Air,NA,,JL Air,20,20
55,DD-10-007,6.054,"136,374",413.64,12.218,"19,958",3710,dd-10-007,DK-SW-GHG-R1-20201030,R1,DK-SW,13,JL Air,20,20
46,DD-10-008,6.053,"145,390",439.89,12.209,"27,886",5156,dd-10-008,DK-SW-GHG-R2-20201030,R2,DK-SW,13,JL Air,20,20
45,DD-10-009,6.102,"2,676",3.02,12.226,"3,310",648,dd-10-009,DK-SW-GHG-R3-20201030,R3,DK-SW,13,JL Air,20,20
43,DD-10-010,6.052,"45,941",143.05,12.153,"75,755",13720,dd-10-010,DK-UW1-GHG-R1-20201030,R1,DK-UW1,14.6,JL Air,20,20
61,DD-10-011,6.044,"48,437",150.7,12.127,"87,438",15766,dd-10-011,DK-UW1-GHG-R2-20201030,R2,DK-UW1,14.6,JL Air,20,20
49,DD-10-012,6.053,"67,283",208.11,12.133,"104,249",18680,dd-10-012,DK-UW1-GHG-R3-20201030,R3,DK-UW1,14.6,JL Air,20,20
41,DD-10-013,6.078,"4,041",6.91,12.233,"7,920",1499,dd-10-013,DK-UW2-GHG-R1-20201030,R1,DK-UW2,14.6,JL Air,20,20
65,DD-10-014,6.058,"74,569",230.15,12.132,"117,221",20905,dd-10-014,DK-UW2-GHG-R2-20201030,R2,DK-UW2,14.6,JL Air,20,20
71,DD-10-015,6.06,"45,098",140.46,12.196,"74,467",13493,dd-10-015,DK-UW2-GHG-R3-20201030,R3,DK-UW2,14.6,JL Air,20,20
53,DD-10-016,6.044,"34,082",106.57,12.196,"16,146",3012,dd-10-016,ND-SW-GHG-R1-20201030,R1,ND-SW,13.8,JL Air,20,20
